Cluster ID,Link Score,source file,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
324,0.6744842,0,china shenhua energy company ltd,"beijing,china",china,,,,," 77,029",,95340000000,,energy,thermal coal,,,,,,,,,
809,0.67448217,0,bp plc,"london,unitedkingdom",united kingdom,,,, 14 april 1909 as the anglo-persian oil company," 60,000",,96240000000,,energy,oil & gas integrated,,,,,,,,,
71,0.6744847,0,automatic data processing inc,"roseland,nj,unitedstates",united states,,,, 1949," 56,000",carlos a rodriguez,96980000000,,industrials,staffing & employment services,,,,,,,,,
483,0.67448384,0,metlife inc,"newyork,ny,unitedstates",united states,,,," march 24, 1868"," 49,000",michel abbas khalaf,62690000000,,financials,insurancelife,,,,,,,,,
115,0.6744846,0,dassault systemes se,"velizy-villacoublay,france",france,,,,," 20,496",bernard s charles,62750000000,,technology,softwareapplication,,,,,,,,,
847,0.6744766,0,pacificorp,"portland,or,unitedstates",united states,,,,," 4,800",william j fehrman,62870000000,,utilities,utilitiesdiversified,,,,,,,,,
374,0.6744841,0,boston scientific corporation,,united states,,,, 1979," 41,000",michael f mahoney,63080000000,,healthcare,medical devices,,,,,,,,,
751,0.6744829,0,fedex corporation,"memphis,tn,unitedstates",united states,,,," may 5, 1971"," 384,000",frederick w smith,63250000000,,industrials,integrated freight & logistics,,,,,,,,,
271,0.6744843,0,shin-etsu chemical co ltd,"tokyo,japan",japan,,,,," 24,629",,63430000000,,basic materials,chemicals,,,,,,,,,
942,0.67446566,0,ap moller - maersk a-s,"copenhagen,denmark",denmark,,,,," 95,000",soren skou,64400000000,,industrials,marine shipping,,,,,,,,,
427,0.67448395,0,sk hynix inc,"icheon-si,southkorea",south korea,,,,," 29,047",,64599999999,,technology,semiconductors,,,,,,,,,
340,0.67448413,0,oriental land co ltd,"urayasu,japan",japan,,,,," 8,782",toshio kagami,64660000000,,consumer discretionary,leisure,,,,,,,,,
370,0.6744841,0,snowflake inc,"sanmateo,ca,unitedstates",united states,,,," july 23, 2012"," 2,495",frank slootman,65040000000,,technology,softwareapplication,,,,,,,,,
16,0.67448515,0,exelon corporation,"chicago,il,unitedstates",united states,,,," october 20, 2000"," 31,518",christopher mark crane,65530000000,,utilities,utilitiesdiversified,,,,,,,,,
293,0.67448425,0,colgate-palmolive company,"newyork,ny,unitedstates",united states,,,, 1806," 33,800",noel r wallace,65640000000,,consumer staples,household & personal products,,,,,,,,,
792,0.6744826,0,ford motor company,"dearborn,mi,unitedstates",united states,,,," june 16, 1903"," 183,000",james d farley jr,65739999999,,consumer discretionary,auto manufacturers,,,,,,,,,
678,0.67448324,0,newmont corporation,"denver,co,unitedstates",united states,,,, 1921," 14,400",thomas ronald palmer,65890000000,,basic materials,gold,,,,,,,,,
632,0.6744834,0,equinix inc reit,"redwoodcity,ca,unitedstates",united states,,,, 1998," 10,944",charles j meyers,66349999999,,real estate,reitspecialty,,,,,,,,,
475,0.67448384,0,icici bank limited,"mumbai,india",india,,,, 5 january 1994," 98,750",sandeep bakhshi be,66620000000,,financials,banks,,,,,,,,,
630,0.6744834,0,dbs group holdings ltd,"singapore,singapore",singapore,,,,," 33,000",piyush gupta,66739999999,,financials,banks,,,,,,,,,
292,0.67448425,0,industrial bank co ltd,"fuzhou,china",china,,,,," 59,630",,66870000000,,financials,banks,,,,,,,,,
186,0.6744845,0,waste management inc,"houston,tx,unitedstates",united states,,,," january 1, 1968"," 48,500",james c fish jr,66950000000,,industrials,waste management,,,,,,,,,
776,0.67448276,0,abb ltd,"zurich,switzerland",switzerland,,,, 1988," 104,400",,67190000000,,industrials,electrical equipment & parts,,,,,,,,,
420,0.67448395,0,westpac banking corporation,"sydney,nsw,australia",australia,,,,," 40,143",peter francis king fca bec fca,67200000000,,financials,banks,,,,,,,,,
857,0.67447555,0,the progressive corporation,"mayfield,oh,unitedstates",united states,,,," march 10, 1937"," 49,077",susan patricia griffith,67310000000,,financials,insuranceproperty & casualty,,,,,,,,,
109,0.6744846,0,illinois tool works inc,"glenview,il,unitedstates",united states,,,, 1912," 45,000",e scott santi,67489999999,,industrials,specialty industrial machinery,,,,,,,,,
289,0.67448425,0,vertex pharmaceuticals incorporated,"boston,ma,unitedstates",united states,,,, 1989," 3,900",reshma kewalramani fasn md,67489999999,,healthcare,biotechnology,,,,,,,,,
870,0.6744739,0,the sherwin-williacompany,"cleveland,oh,unitedstates",united states,,,," cleveland, ohio, u.s. 1866"," 61,000",john g morikis,67540000000,,basic materials,specialty chemicals,,,,,,,,,
597,0.67448354,0,bayer ag,"leverkusen,germany",germany,,,,," 95,950",werner baumann,68090000000,,healthcare,drug manufacturersgeneral,,,,,,,,,
719,0.67448306,0,recruit holdings co ltd,"tokyo,japan",japan,,,,," 46,800",hisayuki idekoba,68110000000,,industrials,staffing & employment services,,,,,,,,,
318,0.6744842,0,iberdrola sa,"bilbao,spain",spain,,,,," 38,702",jose ignacio sanchez galan,68230000000,,utilities,utilitiesdiversified,,,,,,,,,
