name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
yuhan,,south-korea,,,,,,3010000000.0,42.0,pharmaceuticals biotech chemicals ,,,
ggroup,,india,,,,,,3010000000.0,0.0,,,,
papa john's pizza,,usa,,,,,,2980000000.0,84.0,pizza food restaurant-chains ,,,
hisense visual technology,,china,,,,,,3020000000.0,2.0,electronics tech tech-hardware ,,,
graham holdings,,usa,,,,,,3020000000.0,629.0,media-press ,,,
freshpet,,usa,,,,,,3020000000.0,62.0,food ,,,
viscofan,,spain,,,,,,3000000000.0,65.0,,,,
ats automation,,canada,,,,,,2990000000.0,32.0,,,,
samsung heavy industries,,south-korea,,,,,,3000000000.0,147.0,,,,
marel,,,,,,,,3000000000.0,3.0,food ,,,
archaea energy,,usa,,,,,,3010000000.0,26.0,energy renewable-energy ,,,
federal signal,,usa,,,,,,3020000000.0,49.0,,,,
cnx resources,,usa,,,,,,3020000000.0,16.0,,,,
nomad foods,,united-kingdom,,,,,,3000000000.0,17.0,food ,,,
pierer mobility,,,,,,,,3000000000.0,85.0,motorcycle-manufacturers ,,,
mainova,,germany,,,,,,3010000000.0,548.0,utility-companies energy electricity ,,,
bic,,france,,,,,,3020000000.0,69.0,,,,
syngene international,,india,,,,,,3020000000.0,7.0,,,,
guoco,,hong-kong,,,,,,3030000000.0,9.0,investment ,,,
squarespace,,usa,,,,,,3030000000.0,22.0,tech internet software ,,,
amot investment,,israel,,,,,,3040000000.0,6.0,real-estate investment ,,,
softcat,,united-kingdom,,,,,,3040000000.0,15.0,it-security it-services tech ,,,
livanova,,united-kingdom,,,,,,3030000000.0,56.0,medical-devices ,,,
multichoice group,,south-africa,,,,,,3040000000.0,7.0,media-press entertainment ,,,
rajesh exports,,india,,,,,,3020000000.0,10.0,retail luxury-goods ,,,
abm industries,,usa,,,,,,3020000000.0,46.0,,,,
vienna airport,,,,,,,,3030000000.0,36.0,airports infrastructure ,,,
pjt partners,,usa,,,,,,3040000000.0,76.0,,,,
main street capital,,usa,,,,,,3030000000.0,39.0,,,,
ingevity,,usa,,,,,,3020000000.0,80.0,,,,
axsome therapeutics,,usa,,,,,,3030000000.0,69.0,pharmaceuticals biotech ,,,
texas capital bancshares,,usa,,,,,,3040000000.0,61.0,financial-services banks ,,,
comstock resources,,usa,,,,,,3050000000.0,13.0,oil-gas energy ,,,
kumho petrochemical,,south-korea,,,,,,3050000000.0,118.0,chemicals ,,,
privia health group,,usa,,,,,,3070000000.0,26.0,healthcare ,,,
premium brands,,canada,,,,,,3070000000.0,68.0,food ,,,
wienerberger,,,,,,,,3050000000.0,28.0,building-materials ,,,
sabra health care reit,,usa,,,,,,3060000000.0,13.0,real-estate investment reit ,,,
epr properties,,usa,,,,,,3060000000.0,40.0,,,,
makemytrip,,india,,,,,,3080000000.0,29.0,travel internet online-travel tech ,,,
iluka resources,,australia,,,,,,3080000000.0,7.0,mining ,,,
aci worldwide,,usa,,,,,,3050000000.0,27.0,,,,
hostess brands,,usa,,,,,,3060000000.0,22.0,food ,,,
linamar,,canada,,,,,,3070000000.0,49.0,manufacturing ,,,
kb home,,usa,,,,,,3060000000.0,35.0,construction ,,,
santen pharmaceutical,,japan,,,,,,3070000000.0,7.0,pharmaceuticals ,,,
nordic semiconductor,,norway,,,,,,3050000000.0,16.0,semiconductors tech ,,,
ovh groupe,,france,,,,,,3060000000.0,16.0,internet tech telecommunication software ,,,
stroer,,germany,,,,,,3090000000.0,54.0,,,,
abcellera,,canada,,,,,,3080000000.0,10.0,biotech pharmaceuticals ,,,
eastern bankshares,,usa,,,,,,3090000000.0,17.0,banks financial-services ,,,
alvotech,,,,,,,,3080000000.0,12.0,biotech pharmaceuticals ,,,
cd projekt,,poland,,,,,,3090000000.0,31.0,video-games tech ,,,
exxaro resources,,south-africa,,,,,,3090000000.0,12.0,mining coal-mining energy ,,,
kansai paint,,japan,,,,,,3080000000.0,13.0,chemicals paint-and-coating ,,,
lion corp,,japan,,,,,,3090000000.0,10.0,consumer-goods ,,,
pagseguro,,brazil,,,,,,3080000000.0,9.0,,,,
amp limited,,australia,,,,,,3080000000.0,0.0,asset-management investment ,,,
national vision holdings,,usa,,,,,,3090000000.0,39.0,,,,
lxp industrial trust,,usa,,,,,,3090000000.0,11.0,,,,
ultragenyx,,usa,,,,,,3100000000.0,44.0,pharmaceuticals biotech ,,,
enel chile,,chile,,,,,,3100000000.0,2.0,utility-companies electricity energy ,,,
avista,,usa,,,,,,3100000000.0,42.0,,,,
vz holding,,switzerland,,,,,,3100000000.0,79.0,asset-management financial-services investment ,,,
tripadvisor,,usa,,,,,,3120000000.0,22.0,online-travel internet ,,,
tower bersama infrastructure,,indonesia,,,,,,3120000000.0,0.0,telecommunication ,,,
nextdc,,australia,,,,,,3100000000.0,6.0,it-services tech ,,,
frontline,,,,,,,,3120000000.0,14.0,transportation maritime-transportation oil-gas ,,,
oil india,,india,,,,,,3110000000.0,2.0,oil-gas energy ,,,
boralex,,canada,,,,,,3110000000.0,30.0,energy renewable-energy electricity ,,,
