name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
applied materials,,usa,,,,,"27,000",gary e dickerson,,,,,,,,,,,,,
hsbc holdings,,uk,,,,,"223,448",noel quinn,,,,,,,,,,,,,
the goldman sachs group,,usa,,,,,"43,900",david m solomon,,,,,,,,,,,,,
wuliangye yibin,,china,,,,,"26,348",chen lin,,,,,,,,,,,,,
citi group,,usa,,,,,"223,400",jane fraser,,,,,,,,,,,,,
china mobile,,china,,,,,"454,332",li yue,,,,,,,,,,,,,
amgen,,usa,,,,,"24,200",robert a bradway,,,,,,,,,,,,,
youtube,,usa,,,,,,susan wojcicki,,,,,,,,,,,,,
estee lauder companies,,usa,,,,,"62,000",fabrizio freda,,,,,,,,,,,,,
boeing company,,usa,,,,,"141,014",dave calhoun,,,,,,,,,,,,,
sanofi,,france,,,,,"95,442",paul hudson,,,,,,,,,,,,,
starbucks corporation,,usa,,,,,"383,000",laxman narasimhan,,,,,,,,,,,,,
commonwealth bank of australia,,australia,,,,,"49,245",matt comyn,,,,,,,,,,,,,
aia group,,hong kong,,,,,"23,000",lee yuan siong,,,,,,,,,,,,,
diageo,,uk,,,,,"28,025",ivan menezes,,,,,,,,,,,,,
american tower corporation reit,,usa,,,,,"5,618",tom bartlett,,,,,,,,,,,,,
caterpillar,,usa,,,,,"107,700",jim umpleby,,,,,,,,,,,,,
ibm,,usa,,,,,"375,300",arvind krishna,,,,,,,,,,,,,
rio tinto group,,uk,,,,,"49,000",jakob stausholm,,,,,,,,,,,,,
deere & company,,usa,,,,,"75,600",john c may,,,,,,,,,,,,,
intuitive surgical,,usa,,,,,"9,793",gary s guthart,,,,,,,,,,,,,
hdfc bank,,india,,,,,"161,027",sashidhar jagdishan,,,,,,,,,,,,,
prologis,,usa,,,,,"2,053",hamid moghadam,,,,,,,,,,,,,
servicenow,,usa,,,,,"16,881",bill mcdermott,,,,,,,,,,,,,
general electric company,,usa,,,,,"168,000",h lawrence culp jr,,,,,,,,,,,,,
target corporation,,usa,,,,,"409,000",brian cornell,,,,,,,,,,,,,
glaxosmithkline,,uk,,,,,"99,000",dame emma walmsley,,,,,,,,,,,,,
china life insurance company,,china,,,,,"104,160",dairen lin,,,,,,,,,,,,,
anheuser-busch inbev,,belgium,,,,,"164,000",michel doukeris,,,,,,,,,,,,,
charter communications,,usa,,,,,"93,700",thomas m rutledge,,,,,,,,,,,,,
gazprom,,russia,,,,,"473,800",alexey miller,,,,,,,,,,,,,
s&p global,,usa,,,,,"22,850",douglas l peterson,,,,,,,,,,,,,
schneider electric,,france,,,,,"166,025",jean-pascal tricoire,,,,,,,,,,,,,
