name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
swietelsky baugesellschaft mbh,,,,,,,,,,,,construction,,,,,,,,"via del sole 34, andriano, 39010, bolzano, italy",foreign company
cnh industrial italia spa,,,,,,,,,,,,manufacturing,,,,,,,,"viale delle nazioni 55, modena, 41122, modena, italy",corporation
iren mercato spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via dei santi giacomo e filippo 7, genova, 16122, genova, italy",corporation
duferco italia holding spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via armando diaz 248, san zeno naviglio, 25010, brescia, italy",corporation
trasporti internazionali agenzia marittima savino del bene spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via del botteghino 24/26, scandicci, 50018, firenze, italy",corporation
unieuro spa,,,,,,,,,,,,retail trade,,,,,,,,"via piero maroncelli 10, forli', 47121, forli'-cesena, italy",corporation
axpo italia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via xii ottobre 1, genova, 16121, genova, italy",corporation
sind international srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via bigli 21, milano, 20121, milano, italy",corporation
danieli & c officine meccaniche spa,,,,,,,,,,,,manufacturing,,,,,,,,"via nazionale 41, buttrio, 33042, udine, italy",corporation
md spa,,,,,,,,,,,,retail trade,,,,,,,,"zona a.s.i.capan  18, gricignano di aversa, 81030, caserta, italy",corporation
isab srl,,,,,,,,,,,,manufacturing,,,,,,,,"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy",corporation
astm spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"corso regina margherita 165, torino, 10144, torino, italy",corporation
alessanpatane' srl,,,,,,,,,,,,services,,,,,,,,"via amaseno 24, latina, 04100, latina, italy",corporation
fpt industrial spa,,,,,,,,,,,,manufacturing,,,,,,,,"via puglia 15, torino, 10156, torino, italy",corporation
luxottica group spa,,,,,,,,,,,,wholesale trade,,,,,,,,"piazzale luigi cadorna 3, milano, 20123, milano, italy",corporation
de' longhi spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via lodovico seitz 47, treviso, 31100, treviso, italy",corporation
bridgestone europe nv sa,,,,,,,,,,,,manufacturing,,,,,,,,"via energy park 14, vimercate, 20871, monza e brianza, italy",foreign company
gi group spa,,,,,,,,,,,,services,,,,,,,,"piazza iv novembre 5, milano, 20124, milano, italy",corporation
cnp unicredit vita spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via emilio cornalia 30, milano, 20124, milano, italy",corporation
mapei spa,,,,,,,,,,,,manufacturing,,,,,,,,"viale edoardo jenner 4, milano, 20159, milano, italy",corporation
emme esse vi srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via sassoferrato 1, milano, 20135, milano, italy",corporation
nintendo of europe gmbh,,,,,,,,,,,,services,,,,,,,,"via torri bianche 6, vimercate, 20871, monza e brianza, italy",foreign company
snam spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza santa barbara 7, san donato milanese, 20097, milano, italy",corporation
a2a energia spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"corso di porta vittoria 4, milano, 20122, milano, italy",corporation
grimaldi group spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via marchese campodisola 13, napoli, 80133, napoli, italy",corporation
veronesi holding spa,,,,,,,,,,,,services,,,,,,,,"via valpantena 18/g, verona, 37142, verona, italy",corporation
nuovo pig international srl,,,,,,,,,,,,manufacturing,,,,,,,,"via felice matteucci 2, firenze, 50127, firenze, italy",corporation
gruppo unicomm spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via enrico mattei 50, dueville, 36031, vicenza, italy",corporation
chiesi farmaceutici spa,,,,,,,,,,,,manufacturing,,,,,,,,"via palermo 26/a, parma, 43122, parma, italy",corporation
valline srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"stradello marche 6, parma, 43121, parma, italy",corporation
eni fuel spa,,,,,,,,,,,,retail trade,,,,,,,,"viale giorgio ribotta 51, roma, 00144, roma, italy",corporation
comifar spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via fratelli di dio 2, novate milanese, 20026, milano, italy",corporation
whirlpool emea spa,,,,,,,,,,,,manufacturing,,,,,,,,"strada provinciale arceviese 139/a, fabriano, 60044, ancona, italy",corporation
bmw italia spa,,,,,,,,,,,,retail trade,,,,,,,,"via dell'unione europea 1, san donato milanese, 20097, milano, italy",corporation
conad nord ovest societa' cooperativa a rl,,,,,,,,,,,,wholesale trade,,,,,,,,"via bure vecchia nord 10, pistoia, 51100, pistoia, italy",corporation
unicoop firenze soc coop,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via santa reparata 43, firenze, 50129, firenze, italy",corporation
spesa intelligente spa,,,,,,,,,,,,wholesale trade,,,,,,,,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",corporation
banca monte dei paschi di siena spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza salimbeni 3, siena, 53100, siena, italy",corporation
rai radiotelevisione italiana spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"viale giuseppe mazzini 14, roma, 00195, roma, italy",corporation
de la costa srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via portici umberto i 5/3, malcesine, 37018, verona, italy",corporation
calzedonia holding spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via monte baldo 20, villafranca di verona, 37062, verona, italy",corporation
eurizon capital sgr spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazzetta giordano dell'amore 3, milano, 20121, milano, italy",corporation
finiper canova group spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via amilcare ponchielli 7, milano, 20129, milano, italy",corporation
bper banca spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via san carlo 8/20, modena, 41121, modena, italy",corporation
gecos - generale di commercio e servizi spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via delle industrie 8, spinea, 30038, venezia, italy",corporation
gruppo pam spa,,,,,,,,,,,,wholesale trade,,,,,,,,"via delle industrie 8, spinea, 30038, venezia, italy",corporation
ibm italia spa,,,,,,,,,,,,services,,,,,,,,"circonvallazione idroscalo snc, segrate, 20054, milano, italy",corporation
brembo spa,,,,,,,,,,,,manufacturing,,,,,,,,"viale europa 2, stezzano, 24040, bergamo, italy",corporation
nuova fourb srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via monte ortigara 5, bergamo, 24121, bergamo, italy",corporation
sky italia srl,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via monte penice 7, milano, 20138, milano, italy",corporation
barilla g e r fratelli spa,,,,,,,,,,,,manufacturing,,,,,,,,"via mantova 166, parma, 43122, parma, italy",corporation
alitalia societa' aerea italiana spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",corporation
bolton group srl,,,,,,,,,,,,services,,,,,,,,"via giovanni battista pirelli 19, milano, 20124, milano, italy",corporation
factor holding srl,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via giovanni battista pirelli 19, milano, 20124, milano, italy",corporation
anas spa,,,,,,,,,,,,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via monzambano 10, roma, 00185, roma, italy",corporation
maire tecnimont spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"via gaetano de castillia 6/a, milano, 20124, milano, italy",corporation
samsung electronics italia spa,,,,,,,,,,,,wholesale trade,,,,,,,,"via mike bongiorno 9, milano, 20124, milano, italy",corporation
renault italia spa,,,,,,,,,,,,retail trade,,,,,,,,"via tiburtina 1159, roma, 00156, roma, italy",corporation
axa assicurazioni spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"corso como 17, milano, 20154, milano, italy",corporation
mediamarket spa,,,,,,,,,,,,retail trade,,,,,,,,"via furlanelli 69, verano brianza, 20843, monza e brianza, italy",corporation
finarvedi spa,,,,,,,,,,,,"finance, insurance, and real estate",,,,,,,,"piazza lodi 7, cremona, 26100, cremona, italy",corporation
inalca spa,,,,,,,,,,,,manufacturing,,,,,,,,"via spilamberto 30/c, castelvetro di modena, 41014, modena, italy",corporation
