name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
jlindeberg,stockholm,,,,1997,,,,,clothing & accessories,,,,,,
jeeves,stockholm,,,,1992,,,,,software,,,,,,
jernhusen,stockholm,,,,2001,,,,,railroads,,,,,,
jofa,malung,,,,1926,,,,,recreational products,,,,,,
jonsereds fabrikers ab,jonsered,,,,1832,,,,,industrial machinery,,,,,,
kinnevik ab,stockholm,,,,1936,,,,,investment services,,,,,,
klarna,stockholm,,,,2005,,,,,broadline retailers,,,,,,
kockunaval solutions,malmo,,,,1840,,,,,commercial vehicles & trucks,,,,,,
koenigsegg,angelholm,,,,1994,,,,,automobiles,,,,,,
kooperativa forbundet,stockholm,,,,1899,,,,,consumer co-operatives,,,,,,
kopparbergs brewery,kopparberg,,,,1882,,,,,brewers,,,,,,
kosta glasbruk,kosta,,,,1742,,,,,building materials & fixtures,,,,,,
kronleins,halmstad,,,,1836,,,,,brewers,,,,,,
kungsornen,jarna,,,,1929,,,,,food products,,,,,,
l e lundbergforetagen,stockholm,,,,1944,,,,,investment services,,,,,,
lansforsakringar,stockholm,,,,1801,,,,,full line insurance,,,,,,
lansforsakringar bank,stockholm,,,,1996,,,,,banks,,,,,,
lantmannen,stockholm,,,,2001,,,,,farming & fishing,,,,,,
leovegas,stockholm,,,,2011,,,,,gambling,,,,,,
lindex,gothenburg,,,,1954,,,,,apparel retailers,,,,,,
linjeflyg,stockholm,,,,1957,,,,,airlines,,,,,,
lkab,lulea,,,,1890,,,,,general mining,,,,,,
loomis,stockholm,,,,1997,,,,,business support services,,,,,,
lundin petroleum,stockholm,,,,2001,,,,,exploration & production,,,,,,
luxor ab,motala,,,,1923,,,,,consumer electronics,,,,,,
machinegames,uppsala,,,,2009,,,,,software,,,,,,
malarenergi,vasteras,,,,1861,,,,,conventional electricity,,,,,,
maratone studios,stockholm,,,,2001,,,,,broadcasting & entertainment,,,,,,
massive entertainment,malmo,,,,1997,,,,,software,,,,,,
mecel,gothenburg,,,,1982,,,,,software,,,,,,
meda ab,solna,,,,1954,,,,,pharmaceuticals,,,,,,
micromy,taby,,,,2009,,,,,specialty chemicals,,,,,,
modern times group,stockholm,,,,1987,,,,,broadcasting & entertainment,,,,,,
mojang,stockholm,,,,2009,,,,,software,,,,,,
molnlycke health care,gothenburg,,,,1849,,,,,medical equipment,,,,,,
monark,vansbro,,,,1908,,,,,recreational products,,,,,,
mysql ab,uppsala,,,,1995,,,,,software,,,,,,
najad yachts,henan,,,,1971,,,,,recreational products,,,,,,
nanoradio,kista,,,,2004,,,,,semiconductors,,,,,,
nasdaq nordic,stockholm,,,,2003,,,,,investment services,,,,,,
ncc ab,solna,,,,1988,,,,,heavy construction,,,,,,
neogames,gothenburg,,,,2006,,,,,publishing,,,,,,
neonode,stockholm,,,,2001,,,,,computer hardware,,,,,,
nextjet,stockholm,,,,2002,,,,,airlines,,,,,,
nobia,stockholm,,,,1996,,,,,durable household products,,,,,,
nobina,stockholm,,,,1999,,,,,travel & tourism,,,,,,
nohab,trollhattan,,,,1916,,,,,diversified industrials,,,,,,
nordiska kompaniet,stockholm,,,,1864,,,,,broadline retailers,,,,,,
nordstjernan,stockholm,,,,1890,,,,,-,,,,,,
northstar,stockholm,,,,2000,,,,,general industries,,,,,,
nudie jeans,gothenburg,,,,2001,,,,,clothing & accessories,,,,,,
nyby bruk,torshalla,,,,1829,,,,,iron & steel,,,,,,
nyfors,stockholm,,,,1987,,,,,telecommunications equipment,,,,,,
nynas,stockholm,,,,1928,,,,,exploration & production,,,,,,
odd molly,stockholm,,,,2002,,,,,clothing & accessories,,,,,,
ohlins,upplands vasby,,,,1976,,,,,auto parts,,,,,,
onoff,upplands vasby,,,,1971,,,,,broadline retailers,,,,,,
orexo,uppsala,,,,1995,,,,,pharmaceuticals,,,,,,
oriflame,stockholm,,,,1967,,,,,personal products,,,,,,
orrefors glassworks,orrefors,,,,1898,,,,,building materials & fixtures,,,,,,
oskarshamn shipyard,oskarshamn,,,,1863,,,,,commercial vehicles & trucks,,,,,,
ovako,stockholm,,,,1969,,,,,iron & steel,,,,,,
pagen,malmo,,,,1878,,,,,food products,,,,,,
paradox interactive,stockholm,,,,1999,,,,,software,,,,,,
peab,forslov,,,,1959,,,,,heavy construction,,,,,,
peltarion,stockholm,,,,2004,,,,,software,,,,,,
phadia,uppsala,,,,1971,,,,,medical equipment,,,,,,
pharmacia,stockholm,,,,1911,,,,,pharmaceuticals,,,,,,
polarbrod,alvsbyn,,,,1972,,,,,food products,,,,,,
postnord,solna,,,,2009,,,,,delivery services,,,,,,
postnord sverige,solna,,,,1636,,,,,delivery services,,,,,,
primus ab,stockholm,,,,1892,,,,,household goods,,,,,,
pripps,gothenburg,,,,1828,,,,,brewers,,,,,,
profoto,stockholm,,,,1968,,,,,building materials & fixtures,,,,,,
ps communication,stockholm,,,,1997,,,,,business support services,,,,,,
ratos,stockholm,,,,1933,,,,,real estate holding & development,,,,,,
readsoft,helsingborg,,,,1991,,,,,software,,,,,,
recipharm,haninge,,,,1995,,,,,pharmaceuticals,,,,,,
rederi ab slite,gothenburg,,,,1947,,,,,travel & tourism,,,,,,
remograph,linkoping,,,,2005,,,,,software,,,,,,
resurs holding,helsingborg,,,,2001,,,,,banks,,,,,,
saab automobile,trollhattan,,,,1945,,,,,automobiles,,,,,,
saab group,stockholm,,,,1937,,,,,aerospace,,,,,,
samlogic,stockholm,,,,1992,,,,,software,,,,,,
sandvik,stockholm,,,,1862,,,,,industrial engineering,,,,,,
sas group,solna,,,,1946,,,,,airlines,,,,,,
sca,stockholm,,,,1929,,,,,paper,,,,,,
scalado,lund,,,,2000,,,,,software,,,,,,
scandic hotels,stockholm,,,,1963,,,,,hotels,,,,,,
scania ab,sodertalje,,,,1891,,,,,automobiles,,,,,,
seavus,malmo,,,,1999,,,,,software,,,,,,
seb group,stockholm,,,,1972,,,,,investment services,,,,,,
sector3 studios,lidkoping,,,,2003,,,,,software,,,,,,
securitas,stockholm,,,,1934,,,,,business support services,,,,,,
