name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
bihl,nelson mandela road,,,1976  46 years ago  1976 ,,,,,,,,,
billabong clothing,"burleigh heads, queensland",,,"1973  49 years ago  1973  in gold coast, queensland, australia",,,,,,,,,
blackdecker,"burleigh heads, queensland",,,"september 1910  112 years ago  1910-09   as  the black & decker manufacturing company   in baltimore, maryland,  u.s.a. ",,,,,,,,,
blackrock,"burleigh heads, queensland",,,1988  34 years ago  1988 ,,,,,,,,,
bmw,"burleigh heads, queensland",,,7 march 1916  106 years ago  1916-03-07   as bayerische flugzeugwerke ,,,,,,,,,
bbk electronics,"burleigh heads, queensland",,,18 september 1995  27 years ago  1995-09-18 ,,,,,,,,,
bbc,broadcasting house,,,18 october 1922  100 years ago  1922-10-18   as british broadcasting company  1 january 1927  95 years ago  1927-01-01   as british broadcasting corporation ,,,,,,,,,
bnp paribas,boulevard des italiens,,,"1848  174 years ago  1848   comptoir national d'escompte de paris, predecessor of bnp  1872  banque de paris et des pays-bas, later called paribas  2000  as bnp paribas ",,,,,,,,,
bose corporation,"framingham, massachusetts",,,1964  58 years ago  1964 ,,,,,,,,,
boeing,boeing building,,,"july 15, 1916  106 years ago  1916-07-15   as pacific aero products co.  seattle, washington, u.s.",,,,,,,,,
bombardier inc,boeing building,,,"valcourt, quebec, canada july 10, 1942  80 years ago  1942-07-10 ",,,,,,,,,
books-a-million,"birmingham, alabama",,,"1917  105 years ago  1917  in florence, alabama",,,,,,,,,
bouygues,"birmingham, alabama",,,1952  70 years ago  1952 ,,,,,,,,,
brac organisation,"birmingham, alabama",,,1952  70 years ago  1952 ,,,,,,,,,
braun company,"birmingham, alabama",,,"1921  101 years ago  1921   as braun ag  in frankfurt, germany",,,,,,,,,
bridgestone,"birmingham, alabama",,,"1 march 1931  91 years ago  1931-03-01  kurume, fukuoka, japan",,,,,,,,,
british airways,london,,,25 august 1919  103 years ago  1919-08-25   as aircraft transport and travel limited  31 march 1974  48 years ago  1974-03-31   as british airways ,,,,,,,,,
bp,london,,,"14 april 1909  1909-04-14   as the anglo-persian oil company  10 january 1870  1870-01-10   as standard oil, which partially broke up into standard oil of ohio, arco, and amoco which all merged into bp  16 december 1954  68 years ago  1954-12-16   as british petroleum ",,,,,,,,,
burberry,london,,,"1856  166 years ago  1856  in basingstoke, england",,,,,,,,,
bt group,london,,,18 june 1846  176 years ago  1846-06-18   foundation of the electric telegraph company  1 january 1912  110 years ago  1912-01-01   national telephone company system take-over under the general post office  1 october 1969  53 years ago  1969-10-01   as a public corporation under the post office  1 october 1981  41 years ago  1981-10-01   as a public corporation under the british telecom brand  1 april 1984  38 years ago  1984-04-01   as a private company ,,,,,,,,,
bytedance,london,,,13 march 2012  10 years ago  2012-03-13 ,,,,,,,,,
byd auto,london,,,2003  19 years ago  2003 ,,,,,,,,,
cadbury,buckinghamshire,,,"1824  198 years ago   1824  in birmingham, england",,,,,,,,,
capcom,ch  -ku,,,30 may 1979  43 years ago  1979-05-30 [1],,,,,,,,,
canon inc,ch  -ku,,,"10 august 1937  85 years ago  1937-08-10   as seikik gaku kenky sho  jpn.        , precision optical industry co. ltd.  tokyo, japan",,,,,,,,,
capgemini,ch  -ku,,,1 october 1967  55 years ago  1 october 1967 ,,,,,,,,,
casio,shibuya,,,"april 1946  76 years ago  1946-04   as kashio seisakujo [1] june 1957  65 years ago  1957-06   as casio computer co., ltd. ",,,,,,,,,
capital one,capital one tower,,,"july 21, 1994  28 years ago  july 21, 1994  richmond, virginia, u.s.",,,,,,,,,
cargill,minnetonka,,,1865  157 years ago  1865 ,,,,,,,,,
cargolux,sandweiler,,,4 march 1970  52 years ago  1970-03-04 ,,,,,,,,,
caribbean airlines,piarco,,,19 september 2006  as bwia in 1939 ,,,,,,,,,
carlsberg group,copenhagen,,,1847  175 years ago  1847 ,,,,,,,,,
carrefour,copenhagen,,,1 january 1958  64 years ago  1958-01-01 ,,,,,,,,,
caterpillar inc,"irving, texas",,,"april 15, 1925  97 years ago  1925-04-15  in california, u.s.",,,,,,,,,
celestica,toronto,,,1994 by ibm,,,,,,,,,
celkon,hyderabad,,,2009,,,,,,,,,
cencosud,santiago,,,1960  62 years ago  1960 ,,,,,,,,,
chupa chups,santiago,,,"sant esteve sesrovires, barcelona, spain  1958  64 years ago  1958  ",,,,,,,,,
china mobile,beijing,,,3 september 1997  25 years ago  1997-09-03 [2],,,,,,,,,
changhong,beijing,,,october 1958  64 years ago  1958-10 ,,,,,,,,,
chanel,london,,,1910  112 years ago  1910  in paris[1],,,,,,,,,
chiquita,"fort lauderdale, florida",,,august 1984  as chiquita brands international ,,,,,,,,,
chevron corporation,"san ramon, california",,,"september 10, 1879  143 years ago  1879-09-10  as  pacific coast oil co. ",,,,,,,,,
china merchants bank,"san ramon, california",,,1987  35 years ago  1987 ,,,,,,,,,
china resources,china resources headquarters,,,1938  84 years ago  1938 ,,,,,,,,,
chubb limited,china resources headquarters,,,"1985  37 years ago  1985  in hamilton, bermuda",,,,,,,,,
china international marine containers,shekou,,,14 january 1980,,,,,,,,,
cisco,shekou,,,"december 10, 1984  38 years ago  1984-12-10  in san francisco, california, united states",,,,,,,,,
citigroup,388390 greenwich st.,,,"october 8, 1998  24 years ago  1998-10-08 ",,,,,,,,,
coolpad,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ",,,29 april 1993  29 years ago  1993-04-29   as yulong computer  2002  as china wireless tech. ,,,,,,,,,
the coca-cola company,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ",,,"january 29, 1892  130 years ago  1892-01-29  atlanta, georgia, u.s.",,,,,,,,,
the coffee bean & tea leaf,"shenzhen, china  general office  cayman islands  registered office  hong kong  second office ",,,los angeles  1963  59 years ago  1963  ,,,,,,,,,
