name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
icbc,"beijing, china",china,,,"439,787",,,250370000000,,,financials,https://www.icbc-ltd.com,
novo nordisk,"bagsvaerd, denmark",denmark,,"december 21, 1923","47,792",lars fruergaard jorgensen,,257240000000,,,healthcare,"https://www.novonordisk.com, https://en.wikipedia.org/wiki/novo nordisk",
intuit,"mountain view, ca, united states",united states,,1983,"13,500",sasan k goodarzi,,126770000000,,,technology,"https://www.intuit.com, https://en.wikipedia.org/wiki/intuit",
amd,"santa clara, ca, united states",united states,,"may 1, 1969","15,500",lisa t su phd,,128289999999,,,technology,"https://www.amd.com, https://www.facebook.com/amd/, https://twitter.com/amd, https://www.linkedin.com/company/amd, https://en.wikipedia.org/wiki/advanced micro devices",
john deere,"moline, il, united states",united states,,1837,"75,550",john c may ii,,130310000000,,,industrials,"https://www.deere.com, https://www.facebook.com/johndeere, https://twitter.com/johndeere, https://www.linkedin.com/company/3789/jobs/, https://en.wikipedia.org/wiki/deere %26 co.",
sanofi,"paris, france",france,,1973,"95,442",paul hudson,,132289999999,,,healthcare,"https://www.sanofi.com, https://www.facebook.com/sanofius, https://twitter.com/sanofi, https://www.linkedin.com/company/sanofi/, https://en.wikipedia.org/wiki/sanofi",
paypal,"san jose, ca, united states",united states,,december 1998,"30,900",daniel h schulman,,133919999999,,,financials,"https://www.paypal.com, https://en.wikipedia.org/wiki/paypal",
sap,"walldorf, germany",germany,,"weinheim, germany1972","107,415",christian klein,,134190000000,,,technology,"https://www.sap.com, https://www.facebook.com/sap, https://twitter.com/sap, https://www.linkedin.com/company/sap, https://en.wikipedia.org/wiki/sap",
ping an insurance,"shenzhen, china",china,,,"355,982",bo yao,,134250000000,,,financials,https://www.pingan.com,
cvs health,"woonsocket, ri, united states",united states,,1963,"216,000",karen sue lynch,,135270000000,,,healthcare,"https://www.cvshealth.com, https://www.facebook.com/cvs/, https://twitter.com/cvshealth, https://www.linkedin.com/company/cvs-health/, https://en.wikipedia.org/wiki/cvs health",
conocophillips,"houston, tx, united states",united states,,30 august 2002,"9,900",ryan m lance,,136320000000,,,energy,"https://www.conocophillips.com, https://www.facebook.com/conocophillips, https://twitter.com/conocophillips, https://www.linkedin.com/company/conocophillips, https://en.wikipedia.org/wiki/conocophillips",
honeywell,"charlotte, nc, united states",united states,,1906,"99,000",darius e adamczyk,,136479999999,,,industrials,"https://www.honeywell.com, https://en.wikipedia.org/wiki/honeywell",
totalenergies,"paris, france",france,,28 march 1924,"105,476",patrick pouyanna,,137500000000,,,energy,"https://www.totalenergies.com, https://twitter.com/totalenergies, https://en.wikipedia.org/wiki/total se",
china mobile,"hong kong, hong kong",hong kong,,,"449,934",xin dong,,139300000000,,,communication services,https://www.chinamobileltd.com,
hsbc,"london, united kingdom",united kingdom,,first established on 3 march 1865,"219,697",noel paul quinn,,140150000000,,,financials,"https://www.hsbc.com, https://www.facebook.com/hsbcindia, https://twitter.com/hsbc, https://www.linkedin.com/company/hsbc/, https://en.wikipedia.org/wiki/hsbc",
bank of china,"beijing, china",china,,,"309,084",,,141220000000,,,financials,https://www.boc.cn,
amgen,"thousand oaks, ca, united states",united states,,"april 8, 1980","24,200",robert a bradway,,141720000000,,,healthcare,"https://www.amgen.com, https://www.facebook.com/amgenbiotech/, https://twitter.com/amgen, https://www.linkedin.com/company/amgen, https://en.wikipedia.org/wiki/amgen",
lowe's,"mooresville, nc, united states",united states,,"march 25, 1921","300,000",marvin r ellison,,143770000000,,,consumer discretionary,"https://www.lowes.com, https://www.facebook.com/lowes, https://twitter.com/lowes, https://www.linkedin.com/company/lowe's-home-improvement, https://en.wikipedia.org/wiki/lowe%27s",
china life insurance company limited,"beijing, china",china,,1949,"104,160",,,97310000000,,,financials,"https://www.e-chinalife.com, https://en.wikipedia.org/wiki/china life insurance company",
