name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
philip morris,,newyork,ny,,,2008,"69,600",jacek olczak,154710000000,"unitedstates, consumerstaples, tobacco, unitedstatesconsumerstaples, unitedstatestobacco",,,,,,,,,,,
schwab,,sanfrancisco,ca,,,1971,"33,400",walter william bettinger ii,158060000000,"unitedstates, financials, capitalmarkets, unitedstatesfinancials, unitedstatescapitalmarkets",,,,,,,,,,,
rbc,,toronto,on,,,,"85,211",david i mckay,c$199.96 billion,"canada, financials, banks, canadafinancials, canadabanks",,,,,,,,,,,
netflix,,losgatos,ca,,,"august 29, 1997","11,300",wilmot reed hastings jr,163190000000,"unitedstates, communicationservices, entertainment, unitedstatescommunicationservices, unitedstatesentertainment",,,,,,,,,,,
morgan stanley,,newyork,ny,,,1935,"75,000",james patrick gorman,164050000000,"unitedstates, financials, capitalmarkets, unitedstatesfinancials, unitedstatescapitalmarkets",,,,,,,,,,,
t-mobile us,,bellevue,wa,,,1994,"75,000",g michael sievert,164310000000,"unitedstates, communicationservices, telecomservices, unitedstatescommunicationservices, unitedstatestelecomservices",,,,,,,,,,,
agricultural bank of china,,beijing,china,,,,"459,000",,cn1.050 trillion,"china, financials, banks, chinafinancials, chinabanks",,,,,,,,,,,
nextera energy,,junobeach,fl,,,1984,"15,000",john w ketchum,165530000000,"unitedstates, utilities, utilitiesregulatedelectric, unitedstatesutilities, unitedstatesutilitiesregulatedelectric",,,,,,,,,,,
linde,,guildford,unitedkingdom,,,21 june 1879,"72,327",sanjiv lamba,166070000000,"unitedkingdom, basicmaterials, specialtychemicals, unitedkingdombasicmaterials, unitedkingdomspecialtychemicals",,,,,,,,,,,
prosus,,amsterdam,netherlands,,,,"23,939",bob van dijk,153.86 billion,"netherlands, communicationservices, internetcontent&information, netherlandscommunicationservices, netherlandsinternetcontent&information",,,,,,,,,,,
bristol myers squibb,,newyork,ny,,,1887,"32,200",giovanni caforio md,170560000000,"unitedstates, healthcare, drugmanufacturersgeneral, unitedstateshealthcare, unitedstatesdrugmanufacturersgeneral",,,,,,,,,,,
texas instruments,,dallas,tx,,,1930,"31,000",richard k templeton,171280000000,"unitedstates, technology, semiconductors, unitedstatestechnology, unitedstatessemiconductors",,,,,,,,,,,
qualcomm,,sandiego,ca,,,july 1985,"45,000",cristiano renno amon,172250000000,"unitedstates, technology, semiconductors, unitedstatestechnology, unitedstatessemiconductors",,,,,,,,,,,
at&t,,dallas,tx,,,"october 5, 1983","203,000",john t stankey,175880000000,"unitedstates, communicationservices, telecomservices, unitedstatescommunicationservices, unitedstatestelecomservices",,,,,,,,,,,
union pacific,,omaha,ne,,,1969 ,"29,905",lance m fritz,184190000000,"unitedstates, industrials, railroads, unitedstatesindustrials, unitedstatesrailroads",,,,,,,,,,,
catl,,ningde,china,,,,"33,078",,cn1.181 trillion,"china, industrials, electricalequipment&parts, chinaindustrials, chinaelectricalequipment&parts",,,,,,,,,,,
china merchants bank,,shenzhen,china,,,,"103,669",huiyu tian mpa,cn1.183 trillion,"china, financials, banks, chinafinancials, chinabanks",,,,,,,,,,,
mcdonald's,,chicago,il,,,"may 15, 1940","100,000",christopher j kempczinski,186570000000,"unitedstates, consumerdiscretionary, restaurants, unitedstatesconsumerdiscretionary, unitedstatesrestaurants",,,,,,,,,,,
china construction bank,,beijing,china,,,,"373,814",,cn1.205 trillion,"china, financials, banks, chinafinancials, chinabanks",,,,,,,,,,,
ups,,atlanta,ga,,,"august 28, 1907","267,890",carol b tome,190500000000,"unitedstates, industrials, integratedfreight&logistics, unitedstatesindustrials, unitedstatesintegratedfreight&logistics",,,,,,,,,,,
salesforce,,sanfrancisco,ca,,,"february 3, 1999","73,541",marc r benioff,193800000000,"unitedstates, technology, softwareapplication, unitedstatestechnology, unitedstatessoftwareapplication",,,,,,,,,,,
adobe,,sanjose,ca,,,december 1982,"25,988",shantanu narayen,199570000000,"unitedstates, technology, softwareinfrastructure, unitedstatestechnology, unitedstatessoftwareinfrastructure",,,,,,,,,,,
wells fargo,,sanfrancisco,ca,,,1929,"247,848",charles w scharf,200010000000,"unitedstates, financials, banks, unitedstatesfinancials, unitedstatesbanks",,,,,,,,,,,
intel,,santaclara,ca,,,"july 18, 1968","121,100",patrick p gelsinger,201720000000,"unitedstates, technology, semiconductors, unitedstatestechnology, unitedstatessemiconductors",,,,,,,,,,,
astrazeneca,,cambridge,unitedkingdom,,,6 april 1999,"83,100",pascal soriot dvm mba,153.84 billion,"unitedkingdom, healthcare, drugmanufacturersgeneral, unitedkingdomhealthcare, unitedkingdomdrugmanufacturersgeneral",,,,,,,,,,,
novartis,,basel,switzerland,,,march 1996,"104,323",,chf188.95 billion,"switzerland, healthcare, drugmanufacturersgeneral, switzerlandhealthcare, switzerlanddrugmanufacturersgeneral",,,,,,,,,,,
shell,,london,unitedkingdom,,,,"87,000",ben van beurden,158.36 billion,"unitedkingdom, energy, oil&gasintegrated, unitedkingdomenergy, unitedkingdomoil&gasintegrated",,,,,,,,,,,
intuit,,mountainview,ca,,,1983,"13,500",sasan k goodarzi,126770000000,"unitedstates, technology, softwareapplication, unitedstatestechnology, unitedstatessoftwareapplication",,,,,,,,,,,
amd,,santaclara,ca,,,"may 1, 1969","15,500",lisa t su phd,128289999999,"unitedstates, technology, semiconductors, unitedstatestechnology, unitedstatessemiconductors",,,,,,,,,,,
john deere,,moline,il,,,1837,"75,550",john c may ii,130310000000,"unitedstates, industrials, farm&heavyconstructionmachinery, unitedstatesindustrials, unitedstatesfarm&heavyconstructionmachinery",,,,,,,,,,,
sanofi,,paris,france,,,1973,"95,442",paul hudson,119.73 billion,"france, healthcare, drugmanufacturersgeneral, francehealthcare, francedrugmanufacturersgeneral",,,,,,,,,,,
paypal,,sanjose,ca,,,december 1998,"30,900",daniel h schulman,133919999999,"unitedstates, financials, creditservices, unitedstatesfinancials, unitedstatescreditservices",,,,,,,,,,,
sap,,walldorf,germany,,,"weinheim, germany1972","107,415",christian klein,121.45 billion,"germany, technology, softwareapplication, germanytechnology, germanysoftwareapplication",,,,,,,,,,,
ping an insurance,,shenzhen,china,,,,"355,982",bo yao,cn854.25 billion,"china, financials, insurancelife, chinafinancials, chinainsurancelife",,,,,,,,,,,
cvs health,,woonsocket,ri,,,1963,"216,000",karen sue lynch,135270000000,"unitedstates, healthcare, healthcareplans, unitedstateshealthcare, unitedstateshealthcareplans",,,,,,,,,,,
