name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
the goldman sachs group inc,,,,,,  1869,"  43,900",david solomon,,,,,,,,,,,,,
transurban group,,,,,,"  14 march 1996, melbourne",  672,scott charlton mba bsci beng elec mba member of fei fta,,,,,,,,,,,,,
industria de diseno textil sa,,,,,,,"  104,431",oscar garcia maceiras,,,,,,,,,,,,,
the boeing company,,,,,,"  july 15, 1916","  142,000",david l calhoun,,,,,,,,,,,,,
glaxosmithkline plc,,,,,,  december 2000,"  90,096",emma n walmsley,,,,,,,,,,,,,
citigroup inc,,,,,,"  october 8, 1998","  220,092",jane nind fraser,,,,,,,,,,,,,
volkswagen,,,,,,,"  645,318",herbert diess,,,,,,,,,,,,,
starbucks,,,,,,"  march 30, 1971","  383,000",kevin r johnson,,,,,,,,,,,,,
vale sa,,,,,,,,,,,,,,,,,,,,,
servicenow inc,,,,,,  2003,"  16,881",william r mcdermott,,,,,,,,,,,,,
target corporation,,,,,,"  june 24, 1902","  450,000",brian c cornell,,,,,,,,,,,,,
infosys limited,,,,,,  2 july 1981,"  292,067",salil satish parekh,,,,,,,,,,,,,
al rajhi banking and investment corp,,,,,,,"  15,078",,,,,,,,,,,,,,
airbnb inc,,,,,,  august 2008,"  6,132",brian chesky,,,,,,,,,,,,,
charter communications,,,,,,  1993,"  93,700",thomas m rutledge,,,,,,,,,,,,,
byd company,,,,,,,"  224,280",chuan-fu wang,,,,,,,,,,,,,
saudi basic industries corp,,,,,,,,yousef bin abdullah al-benyan,,,,,,,,,,,,,
nippon telegraph & telephone corp,,,,,,,"  324,667",jun sawada,,,,,,,,,,,,,
altria group inc,,,,,,  1985,"  6,000",william f gifford jr,,,,,,,,,,,,,
british american tobacco plc,,,,,,  1902,"  54,365",jack marie henry david bowles,,,,,,,,,,,,,
stryker corporation,,,,,,  1941,"  46,000",kevin a lobo,,,,,,,,,,,,,
s&p global inc,,,,,,  1917,"  22,850",douglas l peterson mba,,,,,,,,,,,,,
the estee lauder companies inc,,,,,,  1946,"  44,640",fabrizio freda,,,,,,,,,,,,,
general electric,,,,,,"  april 15, 1892","  168,000",h lawrence culp jr,,,,,,,,,,,,,
daimler ag,,,,,,,"  289,282",ola kallenius,,,,,,,,,,,,,
chubb limited,,,,,,"  hamilton, bermuda 1985","  31,000",evan g greenberg,,,,,,,,,,,,,
allianz se,,,,,,,"  155,411",oliver bate,,,,,,,,,,,,,
petroleo brasileiro sa - petrobras,,,,,,  3 october 1953,"  46,416",joaquim silva e luna,,,,,,,,,,,,,
airbus,,,,,,,"  121,056",guillaume mjd faury,,,,,,,,,,,,,
china life insurance company limited,,,,,,  1949,"  104,160",,,,,,,,,,,,,,
automatic data processing inc,,,,,,  1949,"  56,000",carlos a rodriguez,,,,,,,,,,,,,
bp plc,,,,,,  14 april 1909 as the anglo-persian oil company,"  60,000",,,,,,,,,,,,,,
china shenhua energy company ltd,,,,,,,"  77,029",,,,,,,,,,,,,,
booking holdings inc,,,,,,  1996,"  20,097",glenn d fogel,,,,,,,,,,,,,
canadian national railway company,,,,,,  6 june 1919,"  22,604",tracy a robinson,,,,,,,,,,,,,
enbridge inc,,,,,,"  april 30, 1949 as interprovincial pipe line company","  10,900",al monaco,,,,,,,,,,,,,
schneider electric se,,,,,,,"  166,025",jean-pascal tricoire,,,,,,,,,,,,,
deutsche telekom ag,,,,,,,"  216,528",timotheus hottges,,,,,,,,,,,,,
merck kommanditgesellschaft auf aktien,,,,,,,"  60,334",belen garijo lopez md,,,,,,,,,,,,,
mondelez international inc,,,,,,"  december 10, 1923","  79,000",dirk van de put,,,,,,,,,,,,,
jdcom,,,,,,  6 june 2009,"  310,000",qiangdong liu,,,,,,,,,,,,,
vulcan international corp,,,,,,,  68,,,,,,,,,,,,,,
zoetis inc,,,,,,  1952 ,"  12,100",kristin c peck,,,,,,,,,,,,,
csl limited,,,,,,  1916,"  25,000",paul r perreault ba,,,,,,,,,,,,,
3m company,,,,,,"  june 13, 1902","  95,000",michael f roman,,,,,,,,,,,,,
duke energy corporation,,,,,,  1904,"  27,605",lynn j good,,,,,,,,,,,,,
bank of nova scotia,,,,,,"  march 30, 1832","  89,782",brian johnston porter amp bcom,,,,,,,,,,,,,
the blackstone group inc,,,,,,  1985,"  3,795",stephen allen schwarzman ba mba,,,,,,,,,,,,,
brookfield asset management inc,,,,,,  1899,"  150,000",james bruce flatt,,,,,,,,,,,,,
glencore plc,,,,,,  1974,"  81,284",gary nagle,,,,,,,,,,,,,
cme group inc,,,,,,  1848,"  3,480",terrence a duffy,,,,,,,,,,,,,
marsh & mclennan companies inc,,,,,,  1905,"  83,000",daniel s glaser,,,,,,,,,,,,,
micron technology inc,,,,,,"  october 5, 1978","  43,000",sanjay mehrotra,,,,,,,,,,,,,
mitsubishi ufj financial group inc,,,,,,"  october 1, 2005","  132,700",hironori kamezawa,,,,,,,,,,,,,
cigna corporation,,,,,,  1982,"  72,226",david michael cordani,,,,,,,,,,,,,
shopify,,,,,,  2006,"  10,000",tobias la14tke,,,,,,,,,,,,,
air liquide sa,,,,,,,"  66,400",benoit potier,,,,,,,,,,,,,
hca healthcare inc,,,,,,  1968,"  204,000",samuel n hazen,,,,,,,,,,,,,
national australia bank limited,,,,,,  1982,"  32,741",ross maxwell mcewan bbs cbe,,,,,,,,,,,,,
crown castle international corp reit,,,,,,  1994,"  5,000",jay a brown,,,,,,,,,,,,,
essilorluxottica sa,,,,,,,"  144,888",francesco milleri,,,,,,,,,,,,,
us bancorp,,,,,,"  july 13, 1863","  68,796",andrew j cecere,,,,,,,,,,,,,
tokyo electron ltd,,,,,,,"  14,479",toshiki kawai,,,,,,,,,,,,,
bank of montreal,,,,,,  montreal bank 23 june 1817,"  43,863",william darryl white,,,,,,,,,,,,,
kering sa,,,,,,,"  42,811",franaois-henri pinault,,,,,,,,,,,,,
china yangtze power co ltd,,,,,,,"  3,985",,,,,,,,,,,,,,
china petroleum & chemical corporation,,,,,,"  beijing, china 25 february 2000","  384,065",,,,,,,,,,,,,,
the southern company,,,,,,  1945,"  27,027",thomas a fanning,,,,,,,,,,,,,
lam research corporation,,,,,,  1980,"  16,300",timothy m archer,,,,,,,,,,,,,
the pnc financial services group inc,,,,,,"  april 10, 1845","  57,668",william s demchak,,,,,,,,,,,,,
becton dickinson and company,,,,,,"  east rutherford, new jersey 1897","  75,000",thomas e polen jr,,,,,,,,,,,,,
gilead sciences inc,,,,,,"  june 22, 1987","  14,400",daniel p o'day,,,,,,,,,,,,,
regeneron pharmaceuticals inc,,,,,,  1988,"  10,368",leonard s schleifer md phd,,,,,,,,,,,,,
truist financial corporation,,,,,,  1872,"  50,283",william henry rogers jr,,,,,,,,,,,,,
canadian natural resources limited,,,,,,,"  9,735",,,,,,,,,,,,,,
intercontinental exchange inc,,,,,,"  may 11, 2000","  8,858",jeffrey c sprecher,,,,,,,,,,,,,
the tjx companies inc,,,,,,  1987,"  270,000",ernie l herrman,,,,,,,,,,,,,
atlassian corporation plc,,,,,,  2002,"  7,388",michael cannon-brookes,,,,,,,,,,,,,
zurich insurance group ag,,,,,,,"  55,000",mario greco,,,,,,,,,,,,,
edwards lifesciences corporation,,,,,,  1958,"  15,700",michael a mussallem,,,,,,,,,,,,,
aon plc,,,,,,  1982,"  50,000",gregory clarence case,,,,,,,,,,,,,
northrop grumman corporation,,,,,,  1994,"  88,000",kathy j warden,,,,,,,,,,,,,
kddi corp,,,,,,,"  47,320",,,,,,,,,,,,,,
norfolk southern corporation,,,,,,"  july 23, 1980 in norfolk, virginia, united states","  18,100",james a squires,,,,,,,,,,,,,
freeport-mcmoran inc,,,,,,  1912,"  24,700",richard c adkerson,,,,,,,,,,,,,
wal-mart de mexico sab de cv,,,,,,,"  231,259",guilherme de souza macedo loureiro,,,,,,,,,,,,,
pt bank central asia tbk,,,,,,,"  25,370",,,,,,,,,,,,,,
eog resources inc,,,,,,  1999,"  2,800",ezra y yacob,,,,,,,,,,,,,
siemens healthineers ag,,,,,,,"  66,800",bernhard montag,,,,,,,,,,,,,
anglo american plc,,,,,,  1917,"  106,000",mark cutifani be beng mining fellow ausimm cengfimmm dba,,,,,,,,,,,,,
