name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
ap moller - maersk a-s,"copenhagen,denmark",denmark,,," 95,000",soren skou,,64400000000,,,industrials,,
sk hynix inc,"icheon-si,southkorea",south korea,,," 29,047",,,64599999999,,,technology,,
oriental land co ltd,"urayasu,japan",japan,,," 8,782",toshio kagami,,64660000000,,,consumer discretionary,,
snowflake inc,"sanmateo,ca,unitedstates",united states,," july 23, 2012"," 2,495",frank slootman,,65040000000,,,technology,,
exelon corporation,"chicago,il,unitedstates",united states,," october 20, 2000"," 31,518",christopher mark crane,,65530000000,,,utilities,,
colgate-palmolive company,"newyork,ny,unitedstates",united states,, 1806," 33,800",noel r wallace,,65640000000,,,consumer staples,,
ford motor company,"dearborn,mi,unitedstates",united states,," june 16, 1903"," 183,000",james d farley jr,,65739999999,,,consumer discretionary,,
newmont corporation,"denver,co,unitedstates",united states,, 1921," 14,400",thomas ronald palmer,,65890000000,,,basic materials,,
equinix inc reit,"redwoodcity,ca,unitedstates",united states,, 1998," 10,944",charles j meyers,,66349999999,,,real estate,,
icici bank limited,"mumbai,india",india,, 5 january 1994," 98,750",sandeep bakhshi be,,66620000000,,,financials,,
dbs group holdings ltd,"singapore,singapore",singapore,,," 33,000",piyush gupta,,66739999999,,,financials,,
industrial bank co ltd,"fuzhou,china",china,,," 59,630",,,66870000000,,,financials,,
waste management inc,"houston,tx,unitedstates",united states,," january 1, 1968"," 48,500",james c fish jr,,66950000000,,,industrials,,
abb ltd,"zurich,switzerland",switzerland,, 1988," 104,400",,,67190000000,,,industrials,,
westpac banking corporation,"sydney,nsw,australia",australia,,," 40,143",peter francis king fca bec fca,,67200000000,,,financials,,
the progressive corporation,"mayfield,oh,unitedstates",united states,," march 10, 1937"," 49,077",susan patricia griffith,,67310000000,,,financials,,
illinois tool works inc,"glenview,il,unitedstates",united states,, 1912," 45,000",e scott santi,,67489999999,,,industrials,,
vertex pharmaceuticals incorporated,"boston,ma,unitedstates",united states,, 1989," 3,900",reshma kewalramani fasn md,,67489999999,,,healthcare,,
the sherwin-williacompany,"cleveland,oh,unitedstates",united states,," cleveland, ohio, u.s. 1866"," 61,000",john g morikis,,67540000000,,,basic materials,,
bayer ag,"leverkusen,germany",germany,,," 95,950",werner baumann,,68090000000,,,healthcare,,
recruit holdings co ltd,"tokyo,japan",japan,,," 46,800",hisayuki idekoba,,68110000000,,,industrials,,
iberdrola sa,"bilbao,spain",spain,,," 38,702",jose ignacio sanchez galan,,68230000000,,,utilities,,
fiserv inc,"brookfield,wi,unitedstates",united states,, 1984," 44,000",frank j bisignano,,68680000000,,,technology,,
sberbank of russia pjsc,"moscow,russia",russia,,," 287,866",herman oskarovich gref,,68690000000,,,financials,,
ubs group ag,"zurich,switzerland",switzerland,, 29 june 1998," 71,385",ralph a j g hamers,,68930000000,,,financials,,
public storage,"glendale,ca,unitedstates",united states,, 1972," 5,800",joseph d russell jr,,69310000000,,,real estate,,
america movil sab de cv,"mexicocity,df,mexico",mexico,, 1986," 181,205",daniel hajj aboumrad,,69450000000,,,communication services,,
bnp paribas sa,"paris,france",france,,," 190,000",jean-laurent bonnafe,,69900000000,,,financials,,
enel spa,"rome,rm,italy",italy,,," 66,279",francesco starace,,70150000000,,,utilities,,
dominion energy inc,"richmond,va,unitedstates",united states,," virginia, u.s. 1983"," 17,100",robert m blue,,70200000000,,,utilities,,
axa sa,"paris,france",france,,," 106,128",thomas buberl,,70200000000,,,financials,,
general dynamics corporation,,united states,," february 7, 1899"," 103,100",phebe n novakovic,,70550000000,,,industrials,,
moderna inc,"cambridge,ma,unitedstates",united states,, september 2010," 2,700",stephane bancel,,70810000000,,,healthcare,,
anglo american plc,"london,unitedkingdom",united kingdom,, 1917," 106,000",mark cutifani be beng mining fellow ausimm cengfimmm dba,,71480000000,,,basic materials,,
siemens healthineers ag,"erlangen,germany",germany,,," 66,800",bernhard montag,,71500000000,,,healthcare,,
eog resources inc,"houston,tx,unitedstates",united states,, 1999," 2,800",ezra y yacob,,71900000000,,,energy,,
