name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
standard life investments property income trust,,united kingdom,,,,,,,463000000,,real estate,reitdiversified,,,,,,,,,
bmo private equity trust plc,,united kingdom,,,,,,,462700000,,financials,asset management,,,,,,,,,
tt electronics plc,,united kingdom,,,,,,,461900000,,technology,electronic components,,,,,,,,,
capita plc,,united kingdom,,,,,,,460200000,,industrials,specialty business services,,,,,,,,,
lookers plc,,united kingdom,,,,,,,459300000,,consumer discretionary,auto & truck dealerships,,,,,,,,,
alpha financial markets consulting plc,,united kingdom,,,,,,,458900000,,industrials,consulting services,,,,,,,,,
bmo capital and income investment trust plc,,united kingdom,,,,,,,455100000,,financials,asset management,,,,,,,,,
riverstone energy limited,,united kingdom,,,,,,,454400000,,financials,asset management,,,,,,,,,
henderson international income trust,,united kingdom,,,,,,,453600000,,financials,asset management,,,,,,,,,
accesso technology group plc,,united kingdom,,,,,,,450900000,,technology,softwareapplication,,,,,,,,,
vp plc,,united kingdom,,,,,,,450200000,,industrials,rental & leasing services,,,,,,,,,
devro plc,,united kingdom,,,,,,,449000000,,consumer staples,packaged foods,,,,,,,,,
jubilee metals group plc,,united kingdom,,,,,,,445200000,,basic materials,other industrial metals & mining,,,,,,,,,
eurasia mining plc,,united kingdom,,,,,,,440400000,,basic materials,other precious metals & mining,,,,,,,,,
triple point social housing reit plc,,united kingdom,,,,,,,439800000,,real estate,reitdiversified,,,,,,,,,
s&u plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,financials,credit services,,,,,,,,,
saga plc,,united kingdom,,,,,,,434400000,,financials,insurancediversified,,,,,,,,,
fidelity asian values plc,,united kingdom,,,,,,,433700000,,financials,asset management,,,,,,,,,
aberdeen new india investment trust plc,,united kingdom,,,,,,,433600000,,financials,asset management,,,,,,,,,
aberdeen diversified income and growth trust plc,,united kingdom,,,,,,,428200000,,financials,asset management,,,,,,,,,
headlam group plc,,united kingdom,,,,,,,428100000,,consumer discretionary,"furnishings, fixtures & appliances",,,,,,,,,
benchmark holdings plc,,united kingdom,,,,,,,427100000,,healthcare,drug manufacturersspecialty & generic,,,,,,,,,
elixirr international plc,,united kingdom,,,,,,,424000000,,industrials,consulting services,,,,,,,,,
aberdeen new dawn investment trust plc,,united kingdom,,,,,,,421300000,,financials,asset management,,,,,,,,,
scion tech growth ii,,united kingdom,,,,,,,421100000,,financials,shell companies,,,,,,,,,
luceco plc,,united kingdom,,,,,,,420800000,,industrials,electrical equipment & parts,,,,,,,,,
the gym group plc,,united kingdom,,,,,,,417000000,,consumer discretionary,leisure,,,,,,,,,
trian investors 1 ltd,,united kingdom,,,,,,,415400000,,financials,asset management,,,,,,,,,
gresham house plc,,united kingdom,,,,,,,406700000,,financials,asset management,,,,,,,,,
marshall motor holdings plc,,united kingdom,,,,,,,406300000,,consumer discretionary,auto & truck dealerships,,,,,,,,,
fundsmith emerging equities trust plc,,united kingdom,,,,,,,405300000,,financials,asset management,,,,,,,,,
jpmorgan china growth & income plc,,united kingdom,,,,,,,402800000,,financials,asset management,,,,,,,,,
home reit plc,,united kingdom,,,,,,,399000000,,real estate,reitdiversified,,,,,,,,,
audioboom group plc,,united kingdom,,,,,,,397800000,,communication services,internet content & information,,,,,,,,,
pensionbee group plc,,united kingdom,,,,,,,392800000,,technology,softwareapplication,,,,,,,,,
scottish oriental smaller companies trust plc,,united kingdom,,,,,,,391400000,,financials,asset management,,,,,,,,,
frp advisory group plc,,united kingdom,,,,,,,391200000,,financials,capital markets,,,,,,,,,
martin currie global portfolio investment trust,,united kingdom,,,,,,,390900000,,financials,asset management,,,,,,,,,
afc energy plc,,united kingdom,,,,,,,390700000,,industrials,electrical equipment & parts,,,,,,,,,
aberdeen standard european logistics income plc,,united kingdom,,,,,,,385700000,,real estate,reitindustrial,,,,,,,,,
porvair plc,,united kingdom,,,,,,,385400000,,industrials,pollution & treatment controls,,,,,,,,,
rps group plc,,united kingdom,,,,,,,384600000,,industrials,consulting services,,,,,,,,,
adriatic metals plc,,united kingdom,,,,,,,379900000,,basic materials,other industrial metals & mining,,,,,,,,,
vh global sustainable energy opportunities plc,,united kingdom,,,,,,,378800000,,financials,asset management,,,,,,,,,
centralnic group plc,,united kingdom,,,,,,,377900000,,communication services,internet content & information,,,,,,,,,
schroder real estate investment trust limited,,united kingdom,,,,,,,377600000,,real estate,reitdiversified,,,,,,,,,
london security plc,,united kingdom,,,,,,,"(march 13, 2021)",,industrials,security & protection services,,,,,,,,,
funding circle holdings plc,,united kingdom,,,,,,,373900000,,financials,credit services,,,,,,,,,
tracsis plc,,united kingdom,,,,,,,373800000,,technology,softwareapplication,,,,,,,,,
amryt pharma plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,healthcare,drug manufacturersspecialty & generic,,,,,,,,,
baillie gifford uk growth,,united kingdom,,,,,,,372500000,,financials,asset management,,,,,,,,,
broadstone acquisition corp,,united kingdom,,,,,,,"(dec. 1, 2021)",,financials,shell companies,,,,,,,,,
speedy hire plc,,united kingdom,,,,,,,368900000,,industrials,specialty business services,,,,,,,,,
idox plc,,united kingdom,,,,,,,368200000,,technology,softwareapplication,,,,,,,,,
accsys technologies plc,,united kingdom,,,,,,,367800000,,basic materials,lumber & wood production,,,,,,,,,
premier oil plc,,united kingdom,,,,,,,"(march 13, 2021)",,energy,oil & gas e&p,,,,,,,,,
brickability group plc,,united kingdom,,,,,,,365000000,,industrials,industrial distribution,,,,,,,,,
argo blockchain plc,,united kingdom,,,,,,,362500000,,financials,capital markets,,,,,,,,,
charles stanley group plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,financials,asset management,,,,,,,,,
centricus acquisition corp,,united kingdom,,,,,,,"(nov. 1, 2021)",,financials,shell companies,,,,,,,,,
newriver reit plc,,united kingdom,,,,,,,359700000,,real estate,reitretail,,,,,,,,,
mckay securities plc,,united kingdom,,,,,,,358600000,,real estate,reitdiversified,,,,,,,,,
numis corporation plc,,united kingdom,,,,,,,358400000,,financials,capital markets,,,,,,,,,
bacanora lithium plc,,united kingdom,,,,,,,"(jan. 1, 2022)",,basic materials,other industrial metals & mining,,,,,,,,,
photo-me international plc,,united kingdom,,,,,,,355900000,,consumer discretionary,leisure,,,,,,,,,
