name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
whatfix,,india,,2013,471,,,,,,,https://whatfix.com/,
sprintlaw,,australia,,2017,25,,,,,,,https://sprintlaw.com.au/,
metal heart,,south korea,,2017,3,,,,,,,file:///users/chris.campbell/downloads/na,
saas labs,,india,,2016,52,,,,,,,https://saaslabs.co/,
top reform,,japan,,2015,13,,,,,,,https://www.topreform.jp/,
shopline,,hong kong,,2013,301,,,,,,,https://shopline.hk/,
portify,,france,,2017,228,,,,,,,https://www.portify.fr/,
tibber,,norway,,2015,45,,,,,,,https://tibber.com/,
bolt technology,,estonia,,2013,1438,,,,,,,https://bolt.eu,
scalable capital,,germany,,2014,115,,,,,,,https://de.scalable.capital,
bis renovation energie,,france,,2013,80,,,,,,,https://www.bis-renovation-energie.com,
elements global services,,spain,,2015,38,,,,,,,https://elementsgs.com/,
les eco-isolateurs,,france,,2013,67,,,,,,,https://www.les-eco-isolateurs.com/,
drive yello,,australia,,2015,60,,,,,,,https://www.driveyello.com/,
different millions inc,,south korea,,2017,38,,,,,,,https://www.dmil.kr/,
stay gold,,japan,,2010,3,,,,,,,https://www.stayg.jp/,
upgrad,,india,,2015,1100,,,,,,,https://www.upgrad.com/,
capital india finance,,india,,1994,,,,,,,,https://www.capitalindia.com/,
igoods,,japan,,2016,20,,,,,,,https://www.i-goods.co.jp/,
rascal industry,,poland,,2013,18,,,,,,,https://www.rascalindustry.pl/en/,
pegaso security,,italy,,2017,509,,,,,,,https://www.pegasosecurity.it/,
kubrick group,,uk,,2016,335,,,,,,,https://kubrickgroup.com,
gojob,,france,,2015,105,,,,,,,https://gojob.com,
donatella,,germany,,2014,10,,,,,,,https://www.donatella.de,
gismart,,united kingdom,,2013,150,,,,,,,https://gismart.com/,
picocela,,japan,,2008,25,,,,,,,https://picocela.com/,
parcelport,,new zealand,,2012,10,,,,,,,https://parcelport.co.nz/,
dwarves foundation,,vietnam,,2015,45,,,,,,,https://dwarves.foundation/,
dable,,south korea,,2015,72,,,,,,,http://dable.io/en/,
jayride group,,australia,,2012,112,,,,,,,https://www.jayride.com/,
nj-enex,,japan,,2015,30,,,,,,,https://nj-enex.co.jp/,
tide,,uk,,2016,581,,,,,,,https://www.tide.co/,
euro top brand,,italy,,2017,1,,,,,,,https://www.eurotopbrand.com,
happybrush,,germany,,2016,12,,,,,,,https://www.happybrush.de,
huma therapeutics,,uk,,2011,101,,,,,,,https://www.huma.com,
kupela,,france,,2011,5,,,,,,,https://www.kupela.fr,
enens,,france,,2015,2,,,,,,,https://www.enens.fr/,
funding societies,,singapore,,2015,353,,,,,,,https://fundingsocieties.com/,
foresee pharmaceuticals,,taiwan,,2013,,,,,,,,https://www.foreseepharma.com/,
miss amara,,hong kong,,2014,54,,,,,,,https://missamara.com/,
playground xyz,,australia,,2015,33,,,,,,,https://playground.xyz/,
nium,,singapore,,2014,334,,,,,,,https://www.nium.com/,
bold security group,,uk,,2011,26,,,,,,,https://www.bold.co.uk/,
play magnus group,,norway,,2013,140,,,,,,,https://www.playmagnusgroup.com/,
mews systems,,netherlands,,2012,400,,,,,,,https://www.mews.com,
jungle creations,,united kingdom,,2014,110,,,,,,,https://www.junglecreations.com,
qred foretagslan,,sweden,,2015,26,,,,,,,https://qred.com/en-se/,
smartworks coworking spaces,,india,,2016,309,,,,,,,https://www.smartworksoffice.com/,
incomlend,,singapore,,2016,37,,,,,,,https://incomlend.com/,
gates,,japan,,2012,90,,,,,,,https://gatestokyo.co.jp/,
curio group,,australia,,2016,75,,,,,,,https://www.curio.co/,
apollo tricoat tubes,,india,,1983,206,,,,,,,http://apollotricoat.com/,
sqreem technologies,,singapore,,2010,101,,,,,,,https://www.sqreemtech.com/,
blue whale growth fund,,uk,,2016,7,,,,,,,https://bluewhale.co.uk/,
kazidomi,,belgium,,2016,65,,,,,,,https://www.kazidomi.com/en/,
bonmea,,germany,,2015,4,,,,,,,https://www.bonmea.com,
fiducim,,france,,2013,8,,,,,,,https://www.fiducim.fr,
mamma 20,,italy,,2014,19,,,,,,,https://it.mukako.com/,
in touch networks,,united kingdom,,2013,114,,,,,,,https://intouchnetworks.com/,
glocal net,,japan,,2016,9,,,,,,,https://glocalnet.jp/,
wafour corporation,,south korea,,2017,11,,,,,,,http://www.wafour.com/,
bomsen,,south korea,,2017,20,,,,,,,https://www.bomsen.co.kr/,
sbworks,,japan,,2016,18,,,,,,,https://www.sbworks.jp/,
instasafe,,india,,2012,40,,,,,,,https://instasafe.com/,
crowd bank,,japan,,2014,30,,,,,,,https://crowdbank.jp/,
sun finance,,latvia,,2012,800,,,,,,,https://sunfinance.group/,
octopus energy,,uk,,2015,595,,,,,,,https://octopus.energy,
instaff & jobs,,germany,,2014,22,,,,,,,https://www.instaff.jobs%20,
farmermobil,,germany,,2014,34,,,,,,,https://www.farmermobil.de/,
ad corp,,south korea,,2017,8,,,,,,,http://www.2017ad.co.kr/,
42maru,,south korea,,2015,65,,,,,,,https://www.42maru.ai/,
vyapar,,india,,2016,"2,217",,,,,,,https://vyaparapp.in/,
kimura,,japan,,2011,15,,,,,,,https://www.kimura-gumi.jp/,
crowd credit,,japan,,2013,70,,,,,,,https://www.crowdcredit.jp/,
ecommerce enablers,,singapore,,2014,465,,,,,,,https://www.shopback.sg/,
credimi,,italy,,2015,56,,,,,,,https://www.credimi.com/,
sirplus,,germany,,2017,133,,,,,,,https://www.sirplus.de/,
kickmaker,,france,,2016,90,,,,,,,https://www.kickmaker.fr,
eskimoz,,france,,2010,60,,,,,,,https://www.eskimoz.fr,
holidu,,germany,,2014,100,,,,,,,https://www.holidu.de/,
feiniko handelsgesellschaft,,germany,,2014,6,,,,,,,https://www.feiniko.de/,
siksin,,south korea,,2010,29,,,,,,,https://corp.siksinhot.com/,
lawtalk,,south korea,,2012,53,,,,,,,https://www.lawtalk.co.kr/,
imweb,,south korea,,2010,40,,,,,,,https://www.imweb.me/,
mothergoose,,japan,,1994,108,,,,,,,https://mothergoose.jp/,
classe365,,australia,,2013,19,,,,,,,https://www.classe365.com/,
aihr | academy to innovate hr,,the netherlands,,2016,31,,,,,,,https://www.aihr.com/,
privitar,,uk,,2014,122,,,,,,,https://www.privitar.com,
tantal,,germany,,2003,45,,,,,,,https://www.talea-naturkosmetik.de,
franco fresco,,germany,,2014,180,,,,,,,https://gustavo-gusto.de/,
solbari,,australia,,2013,16,,,,,,,https://www.solbari.com/,
instasafe,,india,,2012,40,,,,,,,https://instasafe.com/,
blue wireless,,singapore,,2015,50,,,,,,,https://www.bluewireless.com/,
archisound,,south korea,,2010,9,,,,,,,http://www.archisound.co.kr/,
hlj technology,,taiwan,,2001,270,,,,,,,http://www.hlj.com.tw/,
max kelsen,,australia,,2015,24,,,,,,,https://maxkelsen.com/,
logistics capital partners lcp,,luxembourg,,2015,27,,,,,,,https://www.logisticscapitalpartners.com/,
sudwest invest,,germany,,2017,10,,,,,,,https://suedwest-invest.de/,
amco-bulgaria,,bulgaria,,2011,15,,,,,,,https://www.amco-shop.com,
buzzoole,,italy,,2013,65,,,,,,,https://www.buzzoole.com,
framery,,finland,,2010,129,,,,,,,https://www.frameryacoustics.com,
messengerpeople,,germany,,2015,68,,,,,,,https://www.messengerpeople.com/,
foot district,,spain,,2012,18,,,,,,,https://footdistrict.com/,
jco jewelry,,singapore,,2016,21,,,,,,,https://www.jcojewellery.com/,
torana toysub,,japan,,2015,160,,,,,,,https://torana.co.jp/,
wadiz,,south korea,,2012,271,,,,,,,https://www.wadiz.kr/,
goodmonitoring,,south korea,,2013,21,,,,,,,http://www.goodmonitoring.com/,
redhill communications,,singapore,,2014,75,,,,,,,https://redhill.world/,
jeju angel car,,south korea,,2013,25,,,,,,,http://www.jejuangeltour.com/,
corade plurimmo,,france,,2000,7,,,,,,,https://www.plurimmo.com/,
carranco,,spain,,2006,5,,,,,,,https://www.carrancosl.com/,
eo charging,,uk,,2015,50,,,,,,,https://www.eocharging.com,
metacrew group,,germany,,2008,52,,,,,,,https://www.metacrew.de,
deelit ventures,,netherlands,,2014,21,,,,,,,https://www.camptoo.com/,
pragma,,singapore,,2016,18,,,,,,,https://www.pragmastrategy.com/,
projectcompany,,japan,,2016,40,,,,,,,https://projectcompany.co.jp/,
safegold,,india,,2017,42,,,,,,,https://www.safegold.com/,
rxmx,,australia,,2015,70,,,,,,,https://rxmxcorp.com/,
tutor2you,,australia,,2013,40,,,,,,,https://tutor2you.com.au/,
supplycart,,malaysia,,2016,26,,,,,,,https://www.supplycart.my/,
telemedi,,poland,,2014,50,,,,,,,https://telemedi.com/pl/,
inkitt,,germany,,2014,56,,,,,,,https://www.inkitt.com/,
fastned,,netherlands,,2012,47,,,,,,,https://fastnedcharging.com,
gf genovate,,united kingdom,,2014,43,,,,,,,https://www.greenfroggenovate.co.uk,
id finance investments,,spain,,2015,399,,,,,,,https://idfinance.com/,
getair,,germany,,2014,,,,,,,,https://www.getair.eu/,
minfy technologies,,india,,2010,250,,,,,,,https://www.minfytech.com/,
m2p fintech,,india,,2014,330,,,,,,,https://m2pfintech.com/,
cardoc,,south korea,,2014,67,,,,,,,https://www.cardoc.co.kr/,
north star management,,japan,,2016,9,,,,,,,https://www.northstar.co.jp/,
agilesoda,,south korea,,2015,62,,,,,,,http://www.agilesoda.ai/,
hope,,japan,,2005,167,,,,,,,https://www.zaigenkakuho.com/,
hktrading,,italy,,2016,2,,,,,,,https://www.kadamanitrading.it/,
foot district,,spain,,2012,40,,,,,,,https://footdistrict.com,
tenderhut,,poland,,2010,200,,,,,,,https://www.tenderhut.com,
pastbook,,netherlands,,2012,15,,,,,,,https://www.pastbook.com/,
supermercato24,,italy,,2014,80,,,,,,,https://www.supermercato24.it/,
ggdp,,south korea,,2017,14,,,,,,,http://www.motnt.kr/,
excess2sell,,india,,2016,12,,,,,,,https://www.excess2sell.com/,
reflow hub,,australia,,2017,10,,,,,,,https://www.joinreflow.com/,
