name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
kb financial group,,"seoul, south korea",,,1963,,,,,,33,,,,,
china railway group,,"beijing, china",,,1989,,,,,,166,,,,,
hp,,"palo alto, california",,,1939,,,,,,65,,,,,
nordea bank,,"helsinki, finland",,,1974,,,,,,13,,,,,
seven & i holdings,,"tokyo, japan",,,2005,,,,,,78,,,,,
suncor energy,,"calgary, canada",,,1919,,,,,,31,,,,,
salesforcecom,,"san francisco, california",,,1999,,,,,,26,,,,,
air liquide,,"paris, france",,,1902,,,,,,27,,,,,
denso,,"kariya, japan",,,1949,,,,,,49,,,,,
bank of new york mellon,,"new york, new york",,,1965,,,,,,16,,,,,
mastercard,,"new york, new york",,,1966,,,,,,18,,,,,
banco do brasil,,"brasilia, brazil",,,1808,,,,,,29,,,,,
centene,,"st. louis, missouri",,,1984,,,,,,126,,,,,
hdfc,,"mumbai, india",,,1977,,,,,,18,,,,,
freeport-mcmoran,,"phoenix, arizona",,,1897,,,,,,24,,,,,
merck kgaa darmstadt germany and its affiliates,,"darmstadt, germany",,,1668,,,,,,23,,,,,
caixabank,,"valencia, spain",,,1980,,,,,,14,,,,,
abb,,"zurich, switzerland",,,1883,,,,,,28,,,,,
volvo group,,"goteborg, sweden",,,1927,,,,,,43,,,,,
occidental petroleum,,"houston, texas",,,1920,,,,,,26,,,,,
national grid,,"london, united kingdom",,,1990,,,,,,20,,,,,
mckesson,,"irving, texas",,,1833,,,,,,257,,,,,
shinhan financial group,,"seoul, south korea",,,2001,,,,,,29,,,,,
asml holding,,"veldhoven, netherlands",,,1984,,,,,,20,,,,,
nutrien,,"saskatoon, canada",,,2017,,,,,,27,,,,,
investor ab,,"stockholm, sweden",,,1916,,,,,,12,,,,,
kia,,"seoul, south korea",,,1944,,,,,,61,,,,,
saint-gobain,,"la defense, france",,,1665,,,,,,52,,,,,
novo nordisk,,"bagsvrd, denmark",,,1989,,,,,,22,,,,,
posco,,"seoul, south korea",,,1968,,,,,,66,,,,,
diageo,,"london, united kingdom",,,1997,,,,,,19,,,,,
royal ahold delhaize nv,,"zaandam, netherlands",,,2016,,,,,,89,,,,,
picc,,"beijing, china",,,1949,,,,,,90,,,,,
dominion energy,,"richmond, virginia",,,1983,,,,,,14,,,,,
kroger,,"cincinnati, ohio",,,1883,,,,,,137,,,,,
baoshan iron & steel,,"shanghai, china",,,2000,,,,,,55,,,,,
kweichow moutai,,"renhuai, china",,,1999,,,,,,14,,,,,
xiaomi,,"beijing, china",,,2010,,,,,,50,,,,,
bank of ningbo,,"ningbo, china",,,1997,,,,,,13,,,,,
ecopetrol,,"bogota, colombia",,,1948,,,,,,23,,,,,
lyondellbasell industries,,"london, united kingdom",,,2007,,,,,,46,,,,,
contemporary amperex technology,,"ningde, china",,,2011,,,,,,20,,,,,
unicredit,,"milan, italy",,,1998,,,,,,27,,,,,
amerisourcebergen,,"chesterbrook, pennsylvania",,,1969,,,,,,221,,,,,
essilorluxottica,,"paris, france",,,2018,,,,,,23,,,,,
inditex,,"arteixo, spain",,,1985,,,,,,32,,,,,
starbucks,,"seattle, washington",,,1971,,,,,,30,,,,,
nucor,,"charlotte, north carolina",,,1905,,,,,,40,,,,,
intercontinentalexchange,,"atlanta, georgia",,,2000,,,,,,10,,,,,
tjx cos,,"framingham, massachusetts",,,1976,,,,,,48,,,,,
kbc group,,"brussels, belgium",,,1935,,,,,,14,,,,,
tesco,,"welwyn garden city, united kingdom",,,1919,,,,,,84,,,,,
boe technology group,,"beijing, china",,,1993,,,,,,33,,,,,
blackstone,,"new york, new york",,,1985,,,,,,15,,,,,
american electric,,"columbus, ohio",,,1906,,,,,,16,,,,,
macquarie group,,"sydney, australia",,,1985,,,,,,11,,,,,
marubeni,,"tokyo, japan",,,1858,,,,,,72,,,,,
swiss re,,"zurich, switzerland",,,1863,,,,,,46,,,,,
eog resources,,"houston, texas",,,1985,,,,,,19,,,,,
cnp assurances,,"paris, france",,,1959,,,,,,51,,,,,
automatic data processing,,"roseland, new jersey",,,1949,,,,,,15,,,,,
phillips 66,,"houston, texas",,,2012,,,,,,111,,,,,
tyson foods,,"springdale, arkansas",,,1935,,,,,,49,,,,,
repsol,,"madrid, spain",,,1987,,,,,,58,,,,,
sumitomo,,"tokyo, japan",,,1952,,,,,,48,,,,,
holcim,,"zug, switzerland",,,1912,,,,,,29,,,,,
altria group,,"richmond, virginia",,,1919,,,,,,21,,,,,
applied materials,,"santa clara, california",,,1967,,,,,,24,,,,,
daimler truck holding,,"leinfelden-echterdingen, germany",,,,,,,,,47,,,,,
zijin mining group,,"longyan, china",,,1986,,,,,,37,,,,,
the saudi national bank,,"riyadh, saudi arabia",,,1953,,,,,,8,,,,,
richemont,,"bellevue, switzerland",,,1988,,,,,,19,,,,,
kering,,"paris, france",,,1963,,,,,,20,,,,,
saudi electricity,,"riyadh, saudi arabia",,,2000,,,,,,18,,,,,
da,,"paris, france",,,1919,,,,,,28,,,,,
nippon steel,,"tokyo, japan",,,1950,,,,,,57,,,,,
lg chem,,"seoul, south korea",,,1947,,,,,,37,,,,,
discover financial services,,"riverwoods, illinois",,,1985,,,,,,12,,,,,
couche tard,,"laval, canada",,,1980,,,,,,58,,,,,
huaxia bank,,"beijing, china",,,1992,,,,,,26,,,,,
nn group,,"the hague, netherlands",,,1845,,,,,,22,,,,,
fannie mae,,"washington, district of columbia",,,1938,,,,,,100,,,,,
fresenius,,"bad homburg, germany",,,1912,,,,,,44,,,,,
marsh & mclennan,,"new york, new york",,,1905,,,,,,20,,,,,
ameriprise financial,,"minneapolis, minnesota",,,1894,,,,,,13,,,,,
becton dickinson,,"franklin lakes, new jersey",,,1897,,,,,,19,,,,,
panasonic,,"osaka, japan",,,1918,,,,,,66,,,,,
ms&ad insurance,,"tokyo, japan",,,2008,,,,,,41,,,,,
orix,,"tokyo, japan",,,1964,,,,,,22,,,,,
citic securities,,"shenzhen, china",,,1995,,,,,,11,,,,,
first abu dhabi bank,,"abu dhabi, united arab emirates",,,1968,,,,,,8,,,,,
bce,,"verdun, canada",,,1970,,,,,,18,,,,,
schlumberger,,"sugar land, texas",,,1926,,,,,,23,,,,,
texas instruments,,"dallas, texas",,,1930,,,,,,18,,,,,
bank rakyat indonesia bri,,"jakarta, indonesia",,,1895,,,,,,12,,,,,
standard chartered,,"london, united kingdom",,,1969,,,,,,18,,,,,
crh,,"dublin, ireland",,,1970,,,,,,31,,,,,
bank of beijing,,"beijing, china",,,1995,,,,,,19,,,,,
paramount,,"norwood, new york",,,2019,,,,,,28,,,,,
