name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
georgsmarienhutte holding gmbh,georgsmarienhutte,,,,1856,"6,830",,,,industrial manufacturing,,,,,,private
hager se,blieskastel,,,,1955,"11,500",,,,industrial manufacturing,,,,,,private
nagel logistik-holding gmbh & co kg,versmold,,,,1935,"12,600",,,,transportation and logistics,,,,,,private
diersch & schroder gmbh & co kg,bremen,,,,1920,400,,,,industrial manufacturing,,,,,,private
kruger gmbh & co kg,bergisch gladbach,,,,1971,"4,800",,,,foods and beverages,,,,,,private
jm holding gmbh & co kgaa aka jakob muller gmbh & co kg renolit,worms,,,,1946,"7,500",,,,industrial manufacturing,,,,,,private
du mann stiftung & co kg auf aktien,berlin,,,,1963,"64,500",,,,profe ional services,,,,,,private
new yorker se,braunschweig,,,,1971,"10,761",,,,retail,,,,,,private
alltours flugreisen gmbh,du eldorf,,,,1974,"3,700",,,,profe ional services,,,,,,private
alba plc & co kgaa,berlin,,,,1968,"7,800",,,,profe ional services,,,,,,private
meyer neptun group,papenburg,,,,1795,"3,713",,,,industrial manufacturing,,,,,,private
westfalen ag,munster,,,,1923,"1,600",,,,energy and utilities,,,,,,private
wacker neuson se,munchen,,,,1848,"5,370",,,,industrial manufacturing,,,,,,public
kaefer isoliertechnik gmbh & co kg,bremen,,,,1918,"27,000",,,,industrial manufacturing,,,,,,private
schutz-werke gmbh & co kg,selters,,,,1958,"4,473",,,,industrial manufacturing,,,,,,private
krau -maffei wegmann gmbh & co kg,munchen,,,,1930,"4,985",,,,industrial manufacturing,,,,,,private
gottfried schultz gmbh & co kg,ratingen,,,,1924,"1,954",,,,retail,,,,,,private
max bogl stiftung & co kg,sengenthal,,,,1929,"6,500",,,,industrial manufacturing,,,,,,private
elringklinger ag,dettingen an der erms,,,,1879,"10,429",,,,automotive,,,,,,public
haubrich zentrale gmbh & co kg aka electronicpartner,du eldorf,,,,1937,"3,200",,,,financial services,,,,,,private
karl storz se & co kg,tuttlingen,,,,1945,"6,716",,,,healthcare,,,,,,private
j bunting beteiligungs ag,leer,,,,1806,"14,275",,,,consumer products,,,,,,private
fielmann ag,hamburg,,,,1972,"19,379",,,,retail,,,,,,public
sick ag,waldkirch,,,,1946,"9,737",,,,technology,,,,,,private
te ner holding kg,goslar,,,,1969,"8,000",,,,retail,,,,,,private
sartorius ag,gottingen,,,,1870,"8,500",,,,healthcare,,,,,,public
palm papier gmbh & co kg,aalen,,,,1872,"4,000",,,,financial services,,,,,,private
kromberg & schubert gmbh,renningen,,,,1902,"42,567",,,,automotive,,,,,,private
stroer se & co kgaa,koln,,,,1990,"12,514",,,,media and entertainment,,,,,,public
melitta unternehmensgruppe bentz kg,minden,,,,1908,"4,550",,,,consumer products,,,,,,private
bauer ag,schrobenhausen,,,,1790,"11,797",,,,industrial manufacturing,,,,,,public
dohler group se,darmstadt,,,,1838,"6,000",,,,foods and beverages,,,,,,private
fritz schafer gmbh & co kg einrichtung ysteme,neunkirchen,,,,1937,"9,195",,,,profe ional services,,,,,,private
