name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
readsoft,helsingborg,,,,,1991,,,,,software,technology,,,,,,,,,
recipharm,haninge,,,,,1995,,,,,pharmaceuticals,health care,,,,,,,,,
rederi ab slite,gothenburg,,,,,1947,,,,,travel & tourism,consumer services,,,,,,,,,
remograph,linkoping,,,,,2005,,,,,software,technology,,,,,,,,,
resurs holding,helsingborg,,,,,2001,,,,,banks,financials,,,,,,,,,
saab automobile,trollhattan,,,,,1945,,,,,automobiles,consumer goods,,,,,,,,,
saab group,stockholm,,,,,1937,,,,,aerospace,industrials,,,,,,,,,
samlogic,stockholm,,,,,1992,,,,,software,technology,,,,,,,,,
sandvik,stockholm,,,,,1862,,,,,industrial engineering,industrials,,,,,,,,,
sas group,solna,,,,,1946,,,,,airlines,consumer services,,,,,,,,,
sca,stockholm,,,,,1929,,,,,paper,basic materials,,,,,,,,,
scalado,lund,,,,,2000,,,,,software,technology,,,,,,,,,
scandic hotels,stockholm,,,,,1963,,,,,hotels,consumer services,,,,,,,,,
scania ab,sodertalje,,,,,1891,,,,,automobiles,consumer goods,,,,,,,,,
seavus,malmo,,,,,1999,,,,,software,technology,,,,,,,,,
seb group,stockholm,,,,,1972,,,,,investment services,financials,,,,,,,,,
sector3 studios,lidkoping,,,,,2003,,,,,software,technology,,,,,,,,,
securitas,stockholm,,,,,1934,,,,,business support services,industrials,,,,,,,,,
securitas direct,malmo,,,,,1988,,,,,business support services,industrials,,,,,,,,,
semcon,gothenburg,,,,,1980,,,,,business support services,industrials,,,,,,,,,
sf studios,stockholm,,,,,1919,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
siba,gothenburg,,,,,1951,,,,,specialty retailers,consumer services,,,,,,,,,
silva compass,stockholm,,,,,1932,,,,,recreational products,consumer goods,,,,,,,,,
simogo,malmo,,,,,2010,,,,,software,technology,,,,,,,,,
sj ab,stockholm,,,,,2001,,,,,travel & tourism,consumer services,,,,,,,,,
skandia,stockholm,,,,,1855,,,,,investment services,financials,,,,,,,,,
skandinaviska banken,gothenburg,,,,,1864,,,,,banks,financials,,,,,,,,,
skanska,stockholm,,,,,1887,,,,,heavy construction,industrials,,,,,,,,,
skelleftea kraft,skelleftea,,,,,1906,,,,,conventional electricity,utilities,,,,,,,,,
skf,gothenburg,,,,,1907,,,,,industrial suppliers,industrials,,,,,,,,,
skygoblin,gothenburg,,,,,2005,,,,,software,technology,,,,,,,,,
smart eye,gothenburg,,,,,1999,,,,,software,technology,,,,,,,,,
sodra,vaxjo,,,,,1938,,,,,paper,basic materials,,,,,,,,,
specma,gothenburg,,,,,1918,,,,,industrial engineering,industrial,,,,,,,,,
spendrups,stockholm,,,,,1897,,,,,brewers,consumer goods,,,,,,,,,
spotify,stockholm,,,,,2006,,,,,internet,technology,,,,,,,,,
sr international  radio sweden,stockholm,,,,,1938,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
ssab,stockholm,,,,,1978,,,,,iron & steel,basic materials,,,,,,,,,
starbreeze studios,stockholm,,,,,1998,,,,,software,technology,,,,,,,,,
stena line,gothenburg,,,,,1962,,,,,travel & tourism,consumer services,,,,,,,,,
stena sphere,gothenburg,,,,,1939,,,,,-,conglomerates,,,,,,,,,
stiga,eskilstuna,,,,,1934,,,,,durable household products,consumer goods,,,,,,,,,
stockholm stock exchange,stockholm,,,,,1863,,,,,investment services,financials,,,,,,,,,
stockholenskilda bank,stockholm,,,,,1856,,,,,banks,financials,,,,,,,,,
studsvik,nykoping,,,,,1947,,,,,conventional electricity,utilities,,,,,,,,,
sveriges television,stockholm,,,,,1956,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
sweco,stockholm,,,,,1997,,,,,business support services,industrials,,,,,,,,,
swedbank,stockholm,,,,,1820,,,,,banks,financials,,,,,,,,,
swedish match,stockholm,,,,,1915,,,,,tobacco,consumer goods,,,,,,,,,
swedish meats,stockholm,,,,,,,,,,meat,livestock,,,,,,,,,
swedish orphan biovitrum,stockholm,,,,,2001,,,,,health care providers,health care,,,,,,,,,
swedish space corporation,solna,,,,,1972,,,,,aerospace,industrials,,,,,,,,,
swegon,gothenburg,,,,,2005,,,,,industrial machinery,industrials,,,,,,,,,
symsoft,stockholm,,,,,1989,,,,,mobile telecommunications,telecommunications,,,,,,,,,
syncron international ab,stockholm,,,,,1990,,,,,software,technology,,,,,,,,,
tarsier studios,malmo,,,,,2004,,,,,software,technology,,,,,,,,,
tele2,stockholm,,,,,1993,,,,,fixed line telecommunications,telecommunications,,,,,,,,,
telelogic,malmo,,,,,1983,,,,,software,technology,,,,,,,,,
telia company,stockholm,,,,,2003,,,,,mobile telecommunications,telecommunications,,,,,,,,,
teracom,stockholm,,,,,1992,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
terranet ab,lund,,,,,2004,,,,,mobile telecommunications,telecommunications,,,,,,,,,
tetra pak,lund,,,,,1951,,,,,containers & packaging,industrials,,,,,,,,,
thule group,hillerstorp,,,,,1942,,,,,automobiles,consumer goods,,,,,,,,,
tradedoubler,stockholm,,,,,1999,,,,,internet,technology,,,,,,,,,
transmode,stockholm,,,,,2000,,,,,fixed line telecommunications,telecommunications,,,,,,,,,
trelleborg,trelleborg,,,,,1905,,,,,business support services,industrials,,,,,,,,,
truecaller,stockholm,,,,,2009,,,,,software,technology,,,,,,,,,
trustly,stockholm,,,,,2008,,,,,banks,financials,,,,,,,,,
tv4 group,stockholm,,,,,1984,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
uddeholab,hagfors,,,,,1668,,,,,iron & steel,basic materials,,,,,,,,,
umea energi,umea,,,,,1887,,,,,conventional electricity,utilities,,,,,,,,,
urbanears,stockholm,,,,,2009,,,,,recreational products,consumer goods,,,,,,,,,
v&s group,stockholm,,,,,1917,,,,,soft drinks,consumer goods,,,,,,,,,
vabis,sodertalje,,,,,1891,,,,,diversified industrials,industrials,,,,,,,,,
vattenfall,stockholm,,,,,1909,,,,,conventional electricity,utilities,,,,,,,,,
vida ab,alvesta,,,,,1969,,,,,forestry,basic materials,,,,,,,,,
volvo,gothenburg,,,,,1927,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
volvo buses,gothenburg,,,,,1968,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
volvo financial services,gothenburg,,,,,2001,,,,,investment services,financials,,,,,,,,,
