name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
societe generale,,"paris, france",,1864,,,,,,,,,
schneider electric,,"rueil-malmaison, france",,1836,,,,,,,,,
3m,,"st. paul, minnesota",,1902,,,,,,,,,
aflac,,"columbus, ohio",,1955,,,,,,,,,
oil & natural gas,,"new delhi, india",,1956,,,,,,,,,
southern company,,"atlanta, georgia",,1945,,,,,,,,,
deutsche bank,,"frankfurt, germany",,1870,,,,,,,,,
ptt,,"bangkok, thailand",,1978,,,,,,,,,
ck hutchison,,"hong kong, hong kong",,2014,,,,,,,,,
canadian natural resources,,"calgary, canada",,1973,,,,,,,,,
sun life financial,,"toronto, canada",,1865,,,,,,,,,
northrop grumman,,"falls church, virginia",,1939,,,,,,,,,
archer daniels midland,,"chicago, illinois",,1902,,,,,,,,,
marathon petroleum,,"findlay, ohio",,2009,,,,,,,,,
china minsheng bank,,"beijing, china",,1996,,,,,,,,,
legal & general group,,"london, united kingdom",,1836,,,,,,,,,
netflix,,"los gatos, california",,1997,,,,,,,,,
progressive,,"mayfield village, ohio",,1937,,,,,,,,,
longfor group holdings,,"beijing, china",,1993,,,,,,,,,
dbs,,"singapore, singapore",,1968,,,,,,,,,
cosco shipping,,"tianjin, china",,2005,,,,,,,,,
china communications construction,,"beijing, china",,2006,,,,,,,,,
natwest group,,"edinburgh, united kingdom",,1968,,,,,,,,,
exelon,,"chicago, illinois",,2000,,,,,,,,,
humana,,"louisville, kentucky",,1961,,,,,,,,,
general dynamics,,"reston, virginia",,1952,,,,,,,,,
power corp of canada,,"montreal, canada",,1925,,,,,,,,,
qatar national bank,,"doha, qatar",,1964,,,,,,,,,
bayer,,"leverkusen, germany",,1863,,,,,,,,,
kkr,,"new york, new york",,1976,,,,,,,,,
country garden holdings,,"foshan, china",,1992,,,,,,,,,
nextera energy,,"juno beach, florida",,1984,,,,,,,,,
kb financial group,,"seoul, south korea",,1963,,,,,,,,,
china railway group,,"beijing, china",,1989,,,,,,,,,
hp,,"palo alto, california",,1939,,,,,,,,,
nordea bank,,"helsinki, finland",,1974,,,,,,,,,
seven & i holdings,,"tokyo, japan",,2005,,,,,,,,,
suncor energy,,"calgary, canada",,1919,,,,,,,,,
salesforcecom,,"san francisco, california",,1999,,,,,,,,,
air liquide,,"paris, france",,1902,,,,,,,,,
denso,,"kariya, japan",,1949,,,,,,,,,
bank of new york mellon,,"new york, new york",,1965,,,,,,,,,
mastercard,,"new york, new york",,1966,,,,,,,,,
banco do brasil,,"brasilia, brazil",,1808,,,,,,,,,
centene,,"st. louis, missouri",,1984,,,,,,,,,
hdfc,,"mumbai, india",,1977,,,,,,,,,
freeport-mcmoran,,"phoenix, arizona",,1897,,,,,,,,,
merck kgaa darmstadt germany and its affiliates,,"darmstadt, germany",,1668,,,,,,,,,
caixabank,,"valencia, spain",,1980,,,,,,,,,
abb,,"zurich, switzerland",,1883,,,,,,,,,
volvo group,,"goteborg, sweden",,1927,,,,,,,,,
occidental petroleum,,"houston, texas",,1920,,,,,,,,,
national grid,,"london, united kingdom",,1990,,,,,,,,,
mckesson,,"irving, texas",,1833,,,,,,,,,
shinhan financial group,,"seoul, south korea",,2001,,,,,,,,,
asml holding,,"veldhoven, netherlands",,1984,,,,,,,,,
nutrien,,"saskatoon, canada",,2017,,,,,,,,,
investor ab,,"stockholm, sweden",,1916,,,,,,,,,
kia,,"seoul, south korea",,1944,,,,,,,,,
saint-gobain,,"la defense, france",,1665,,,,,,,,,
novo nordisk,,"bagsvrd, denmark",,1989,,,,,,,,,
posco,,"seoul, south korea",,1968,,,,,,,,,
diageo,,"london, united kingdom",,1997,,,,,,,,,
royal ahold delhaize nv,,"zaandam, netherlands",,2016,,,,,,,,,
picc,,"beijing, china",,1949,,,,,,,,,
dominion energy,,"richmond, virginia",,1983,,,,,,,,,
kroger,,"cincinnati, ohio",,1883,,,,,,,,,
baoshan iron & steel,,"shanghai, china",,2000,,,,,,,,,
kweichow moutai,,"renhuai, china",,1999,,,,,,,,,
xiaomi,,"beijing, china",,2010,,,,,,,,,
bank of ningbo,,"ningbo, china",,1997,,,,,,,,,
ecopetrol,,"bogota, colombia",,1948,,,,,,,,,
lyondellbasell industries,,"london, united kingdom",,2007,,,,,,,,,
contemporary amperex technology,,"ningde, china",,2011,,,,,,,,,
unicredit,,"milan, italy",,1998,,,,,,,,,
amerisourcebergen,,"chesterbrook, pennsylvania",,1969,,,,,,,,,
essilorluxottica,,"paris, france",,2018,,,,,,,,,
inditex,,"arteixo, spain",,1985,,,,,,,,,
starbucks,,"seattle, washington",,1971,,,,,,,,,
nucor,,"charlotte, north carolina",,1905,,,,,,,,,
intercontinentalexchange,,"atlanta, georgia",,2000,,,,,,,,,
tjx cos,,"framingham, massachusetts",,1976,,,,,,,,,
kbc group,,"brussels, belgium",,1935,,,,,,,,,
tesco,,"welwyn garden city, united kingdom",,1919,,,,,,,,,
boe technology group,,"beijing, china",,1993,,,,,,,,,
blackstone,,"new york, new york",,1985,,,,,,,,,
american electric,,"columbus, ohio",,1906,,,,,,,,,
macquarie group,,"sydney, australia",,1985,,,,,,,,,
marubeni,,"tokyo, japan",,1858,,,,,,,,,
swiss re,,"zurich, switzerland",,1863,,,,,,,,,
eog resources,,"houston, texas",,1985,,,,,,,,,
cnp assurances,,"paris, france",,1959,,,,,,,,,
automatic data processing,,"roseland, new jersey",,1949,,,,,,,,,
phillips 66,,"houston, texas",,2012,,,,,,,,,
tyson foods,,"springdale, arkansas",,1935,,,,,,,,,
repsol,,"madrid, spain",,1987,,,,,,,,,
sumitomo,,"tokyo, japan",,1952,,,,,,,,,
holcim,,"zug, switzerland",,1912,,,,,,,,,
altria group,,"richmond, virginia",,1919,,,,,,,,,
applied materials,,"santa clara, california",,1967,,,,,,,,,
daimler truck holding,,"leinfelden-echterdingen, germany",,,,,,,,,,,
zijin mining group,,"longyan, china",,1986,,,,,,,,,
the saudi national bank,,"riyadh, saudi arabia",,1953,,,,,,,,,
richemont,,"bellevue, switzerland",,1988,,,,,,,,,
kering,,"paris, france",,1963,,,,,,,,,
saudi electricity,,"riyadh, saudi arabia",,2000,,,,,,,,,
da,,"paris, france",,1919,,,,,,,,,
nippon steel,,"tokyo, japan",,1950,,,,,,,,,
lg chem,,"seoul, south korea",,1947,,,,,,,,,
discover financial services,,"riverwoods, illinois",,1985,,,,,,,,,
couche tard,,"laval, canada",,1980,,,,,,,,,
huaxia bank,,"beijing, china",,1992,,,,,,,,,
nn group,,"the hague, netherlands",,1845,,,,,,,,,
fannie mae,,"washington, district of columbia",,1938,,,,,,,,,
fresenius,,"bad homburg, germany",,1912,,,,,,,,,
marsh & mclennan,,"new york, new york",,1905,,,,,,,,,
