name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
hera comm spa,,,,,,,,,,,,,,,"via molino rosso 8, imola, 40026, bologna, italy",corporation
autogrill spa,,,,,,,,,,,,,,,"galleria san babila 4/a, milano, 20122, milano, italy",corporation
rete ferroviaria italiana spa,,,,,,,,,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
swietelsky baugesellschaft mbh,,,,,,,,,,,,,,,"via del sole 34, andriano, 39010, bolzano, italy",foreign company
cnh industrial italia spa,,,,,,,,,,,,,,,"viale delle nazioni 55, modena, 41122, modena, italy",corporation
iren mercato spa,,,,,,,,,,,,,,,"via dei santi giacomo e filippo 7, genova, 16122, genova, italy",corporation
duferco italia holding spa,,,,,,,,,,,,,,,"via armando diaz 248, san zeno naviglio, 25010, brescia, italy",corporation
trasporti internazionali agenzia marittima savino del bene spa,,,,,,,,,,,,,,,"via del botteghino 24/26, scandicci, 50018, firenze, italy",corporation
unieuro spa,,,,,,,,,,,,,,,"via piero maroncelli 10, forli', 47121, forli'-cesena, italy",corporation
axpo italia spa,,,,,,,,,,,,,,,"via xii ottobre 1, genova, 16121, genova, italy",corporation
sind international srl,,,,,,,,,,,,,,,"via bigli 21, milano, 20121, milano, italy",corporation
danieli & c officine meccaniche spa,,,,,,,,,,,,,,,"via nazionale 41, buttrio, 33042, udine, italy",corporation
md spa,,,,,,,,,,,,,,,"zona a.s.i.capan  18, gricignano di aversa, 81030, caserta, italy",corporation
isab srl,,,,,,,,,,,,,,,"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy",corporation
astm spa,,,,,,,,,,,,,,,"corso regina margherita 165, torino, 10144, torino, italy",corporation
alessanpatane' srl,,,,,,,,,,,,,,,"via amaseno 24, latina, 04100, latina, italy",corporation
fpt industrial spa,,,,,,,,,,,,,,,"via puglia 15, torino, 10156, torino, italy",corporation
luxottica group spa,,,,,,,,,,,,,,,"piazzale luigi cadorna 3, milano, 20123, milano, italy",corporation
de' longhi spa,,,,,,,,,,,,,,,"via lodovico seitz 47, treviso, 31100, treviso, italy",corporation
bridgestone europe nv sa,,,,,,,,,,,,,,,"via energy park 14, vimercate, 20871, monza e brianza, italy",foreign company
gi group spa,,,,,,,,,,,,,,,"piazza iv novembre 5, milano, 20124, milano, italy",corporation
cnp unicredit vita spa,,,,,,,,,,,,,,,"via emilio cornalia 30, milano, 20124, milano, italy",corporation
mapei spa,,,,,,,,,,,,,,,"viale edoardo jenner 4, milano, 20159, milano, italy",corporation
emme esse vi srl,,,,,,,,,,,,,,,"via sassoferrato 1, milano, 20135, milano, italy",corporation
nintendo of europe gmbh,,,,,,,,,,,,,,,"via torri bianche 6, vimercate, 20871, monza e brianza, italy",foreign company
snam spa,,,,,,,,,,,,,,,"piazza santa barbara 7, san donato milanese, 20097, milano, italy",corporation
a2a energia spa,,,,,,,,,,,,,,,"corso di porta vittoria 4, milano, 20122, milano, italy",corporation
grimaldi group spa,,,,,,,,,,,,,,,"via marchese campodisola 13, napoli, 80133, napoli, italy",corporation
veronesi holding spa,,,,,,,,,,,,,,,"via valpantena 18/g, verona, 37142, verona, italy",corporation
nuovo pig international srl,,,,,,,,,,,,,,,"via felice matteucci 2, firenze, 50127, firenze, italy",corporation
gruppo unicomm spa,,,,,,,,,,,,,,,"via enrico mattei 50, dueville, 36031, vicenza, italy",corporation
chiesi farmaceutici spa,,,,,,,,,,,,,,,"via palermo 26/a, parma, 43122, parma, italy",corporation
valline srl,,,,,,,,,,,,,,,"stradello marche 6, parma, 43121, parma, italy",corporation
eni fuel spa,,,,,,,,,,,,,,,"viale giorgio ribotta 51, roma, 00144, roma, italy",corporation
comifar spa,,,,,,,,,,,,,,,"via fratelli di dio 2, novate milanese, 20026, milano, italy",corporation
whirlpool emea spa,,,,,,,,,,,,,,,"strada provinciale arceviese 139/a, fabriano, 60044, ancona, italy",corporation
bmw italia spa,,,,,,,,,,,,,,,"via dell'unione europea 1, san donato milanese, 20097, milano, italy",corporation
