name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
group 1 automotive,,usa,,,,,,,2830000000.0,,,,,,194.0,,,,,,
korn ferry,,usa,,,,,,,2830000000.0,professional-services ,,,,,53.0,,,,,,
easterly government properties,,usa,,,,,,,2830000000.0,,,,,,16.0,,,,,,
macerich,,usa,,,,,,,2840000000.0,reit real-estate investment ,,,,,12.0,,,,,,
torrent power,,india,,,,,,,2830000000.0,utility-companies energy electricity ,,,,,5.0,,,,,,
site centers,,usa,,,,,,,2850000000.0,real-estate investment reit ,,,,,13.0,,,,,,
rumble,,usa,,,,,,,2850000000.0,internet tech ,,,,,10.0,,,,,,
efg international,,switzerland,,,,,,,2840000000.0,banks financial-services ,,,,,9.0,,,,,,
rush enterprises,,usa,,,,,,,2840000000.0,retail ,,,,,51.0,,,,,,
elf cosmetics,,usa,,,,,,,2850000000.0,cosmetics ,,,,,53.0,,,,,,
jet2,,united-kingdom,,,,,,,2840000000.0,airlines travel transportation ,,,,,13.0,,,,,,
crestwood equity partners,,usa,,,,,,,2820000000.0,energy oil-gas ,,,,,27.0,,,,,,
doosan bobcat,,south-korea,,,,,,,2850000000.0,specialty-vehicles manufacturing ,,,,,28.0,,,,,,
giant network group,,china,,,,,,,2850000000.0,video-games entertainment ,,,,,1.0,,,,,,
hanesbrands,,usa,,,,,,,2860000000.0,,,,,,8.0,,,,,,
vidrala,,spain,,,,,,,2860000000.0,manufacturing ,,,,,94.0,,,,,,
bank jago,,indonesia,,,,,,,2850000000.0,banks financial-services ,,,,,0.0,,,,,,
jinko solar,,china,,,,,,,2850000000.0,renewable-energy electricity energy manufacturing ,,,,,57.0,,,,,,
focus financial partners,,usa,,,,,,,2860000000.0,,,,,,43.0,,,,,,
amedisys,,usa,,,,,,,2850000000.0,healthcare ,,,,,87.0,,,,,,
blueprint medicines,,usa,,,,,,,2870000000.0,,,,,,48.0,,,,,,
allied properties reit,,canada,,,,,,,2870000000.0,real-estate investment reit ,,,,,22.0,,,,,,
ct reit,,canada,,,,,,,2890000000.0,real-estate investment reit ,,,,,12.0,,,,,,
nordstrom,,usa,,,,,,,2890000000.0,luxury-goods retail ,,,,,18.0,,,,,,
liberty energy,,usa,,,,,,,2890000000.0,oil-gas oil-gas-equipment-services energy ,,,,,15.0,,,,,,
gland pharma,,india,,,,,,,2880000000.0,pharmaceuticals biotech ,,,,,17.0,,,,,,
werner enterprises,,usa,,,,,,,2880000000.0,,,,,,45.0,,,,,,
