name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
kuehne nagel international ag,,switzerland,,,,,detlef trefzger,,,industries,,,,,,
kbc group nv,,belgium,,,,,johan thijs,,,financial services,,,,,,
natwest group,,uk,,,,,alison rose,,,banking services,,,,,,
ericsson,,sweden,,,,,borje ekholm,,,technology,,,,,,
dsm,,netherlands,,,,,dimitri de vreeze,,,basic materials,,,,,,
edf electricite de france,,france,,,,,jean-bernard levy,,,utilities,,,,,,
kone oyj,,finland,,,,,henrik ehrnrooth,,,industries,,,,,,
ashtead group,,uk,,,,,brendan horgan,,,industries,,,,,,
dnb asa,,norway,,,,,kjerstin braathen,,,financial services,,,,,,
engie,,france,,,,,catherine macgregor,,,utilities,,,,,,
henkel ag,,germany,,,,,carsten knobel,,,consumer defensive,,,,,,
unicredit,,italy,,,,,andrea orcel,,,financial services,,,,,,
nokia corporation,,finland,,,,,pekka lundmark,,,technology,,,,,,
sandvik ab,,sweden,,,,,stefan widing,,,industries,,,,,,
ahold delhaize,,netherlands,,,,,frans muller,,,consumer defensive,,,,,,
eon se,,germany,,,,,leonhard birnbaum,,,utilities,,,,,,
coloplast a/s,,denmark,,,,,kristian villumsen,,,healthcare,,,,,,
cellnex telecom,,spain,,,,,tobias martinez gimeno,,,communication services,,,,,,
assa abloy ab publ,,sweden,,,,,nico delvaux,,,industries,,,,,,
philips,,netherlands,,,,,frans van houten,,,healthcare,,,,,,
assicurazioni generali,,italy,,,,,philippe donnet,,,financial services,,,,,,
lyondellbasell industries,,netherlands,,,,,bhavesh v patel,,,basic materials,,,,,,
software aktiengesellschaft,,germany,,,,,,,,technology,,,,,,
holcim ltd,,switzerland,,,,,jan jenisch,,,basic materials,,,,,,
h & m hennes & mauritz ab,,sweden,,,,,helena helmersson,,,consumer cyclical,,,,,,
amadeus it group,,spain,,,,,luis maroto,,,technology,,,,,,
arcelormittal,,luxembourg,,,,,lakshmi mittal,,,basic materials,,,,,,
straumann holding ag,,switzerland,,,,,guillaume daniellot,,,healthcare,,,,,,
porsche automobil holding se,,germany,,,,,hans dieter potsch,,,consumer cyclical,,,,,,
societe generale,,france,,,,,,,,financial services,,,,,,
naturgy energy group,,spain,,,,,francisco miguel reynes massanet,,,utilities,,,,,,
michelin,,france,,,,,florent menegaux,,,consumer cyclical,,,,,,
legrand sa,,france,,,,,benoit coquart,,,industries,,,,,,
chocoladefabriken lindt & sprungli ag,,switzerland,,,,,dieter weisskopf,,,consumer defensive,,,,,,
skandinaviska enskilda banken ab publ,,sweden,,,,,johan torgeby,,,financial services,,,,,,
deutsche borse,,germany,,,,,theodor weimer,,,financial services,,,,,,
tesco,,uk,,,,,ken murphy,,,consumer defensive,,,,,,
nibe industrier ab publ,,sweden,,,,,gerteric lindquist,,,industries,,,,,,
swiss re,,switzerland,,,,,christian mumenthaler,,,financial services,,,,,,
deutsche bank,,germany,,,,,christian sewing,,,financial services,,,,,,
epiroc ab publ,,sweden,,,,,helena hedblom,,,industries,,,,,,
swisscom ag,,switzerland,,,,,urs schaeppi,,,communication services,,,,,,
willis towers watson public company,,uk,,,,,carl hess,,,financial services,,,,,,
geberit ag,,switzerland,,,,,christian buhl,,,industries,,,,,,
wolters kluwer,,netherlands,,,,,nancy mckinstry,,,communication services,,,,,,
orange sa,,france,,,,,stephane richard,,,communication services,,,,,,
vestas wind systea/s,,denmark,,,,,henrik andersen,,,industries,,,,,,
schindler holding ag,,switzerland,,,,,thomas oetterli,,,industries,,,,,,
evolution gaming group ab publ,,sweden,,,,,martin carlesund,,,consumer cyclical,,,,,,
sampo oyj,,finland,,,,,torbjorn magnusson,,,financial services,,,,,,
kerry group,,ireland,,,,,edmond scanlon,,,consumer defensive,,,,,,
fresenius se,,germany,,,,,stephan sturm,,,healthcare,,,,,,
flutter entertainment,,ireland,,,,,peter jackson,,,consumer cyclical,,,,,,
heineken holding,,netherlands,,,,,dolf van den brink,,,consumer defensive,,,,,,
rwe,,germany,,,,,markus krebber,,,utilities,,,,,,
coca-cola europacific partners plc,,uk,,,,,damian paul gammell,,,consumer defensive,,,,,,
ryanair holdings,,ireland,,,,,michael o'leary,,,industries,,,,,,
fortum oyj,,finland,,,,,markus rauramo,,,utilities,,,,,,
teleperformance se,,france,,,,,daniel julien,,,industries,,,,,,
ems-chemie holding ag,,switzerland,,,,,magdalena martullo-blocher,,,basic materials,,,,,,
veolia environnement,,france,,,,,antoine frerot,,,industries,,,,,,
telefonica sa,,spain,,,,,jose maria alvarez-pallete lopez,,,communication services,,,,,,
kingspan group,,ireland,,,,,,,,industries,,,,,,
legal & general group,,uk,,,,,nigel wilson,,,financial services,,,,,,
aena sme,,spain,,,,,maurici lucena betriu,,,industries,,,,,,
carlsberg a/s,,denmark,,,,,cees 't hart,,,consumer defensive,,,,,,
credit suisse group,,switzerland,,,,,thomas gottstein,,,financial services,,,,,,
delivery hero se,,germany,,,,,niklas oestberg,,,online food delivery,,,,,,
sgs sa,,switzerland,,,,,frankie ng,,,industries,,,,,,
ingersoll-rand ireland,,ireland,,,,,vicente reynal,,,industries,,,,,,
investment ab latour publ,,sweden,,,,,johan hjertonsson,,,financial services,,,,,,
caixabank,,spain,,,,,gonzalo gortazar rotaeche,,,financial services,,,,,,
bae systems,,uk,,,,,,,,industries,,,,,,
bt group,,uk,,,,,philip jansen,,,communication services,,,,,,
genmab a/s,,denmark,,,,,jan g j van de winkel,,,healthcare,,,,,,
hannover ruck se,,germany,,,,,,,,financial services,,,,,,
sse plc,,uk,,,,,alistair phillips-davies,,,utilities,,,,,,
scottish mortgage investment trust,,uk,,,,,,,,financial services,,,,,,
steris,,ireland,,,,,dan carestio,,,healthcare,,,,,,
endesa,,spain,,,,,jose d bogas galvez,,,utilities,,,,,,
enbw energie baden-wurttemberg ag,,germany,,,,,frank mastiaux,,,utilities,,,,,,
beiersdorf,,germany,,,,,vincent warnery,,,consumer defensive,,,,,,
sonova holding ag,,switzerland,,,,,arnd kaldowski,,,healthcare,,,,,,
swedbank ab publ,,sweden,,,,,jens henriksson,,,financial services,,,,,,
essity ab publ,,sweden,,,,,magnus groth,,,consumer defensive,,,,,,
icon public company,,ireland,,,,,steve cutler,,,healthcare,,,,,,
horizon therapeutics public company,,ireland,,,,,timothy p walbert,,,healthcare,,,,,,
aviva,,uk,,,,,amanda blanc,,,financial services,,,,,,
svenska handelsbanken ab publ,,sweden,,,,,carina akerstrom,,,financial services,,,,,,
