Cluster ID,Link Score,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
,,vidrala,,spain,,,,,,,2530000000,manufacturing,consumer cyclical,,,,82,,,,,,
,,fleetcor technologies inc,"atlanta, ga, united states",usa,,,,2000,"9,700",ronald f clarke,20920000000,financialservices,technology,information technology services,2433000000,"https://www.fleetcor.com, https://en.wikipedia.org/wiki/fleetcor",186,,,,,,
662,0.67447335,principal financial group inc,"des moines, ia, united states",usa,,,,1879,"18,600",daniel joseph houston,22080000000,"insurance, investment, financialservices",financials,insurancediversified,14741000000,"https://www.principal.com, https://www.facebook.com/principalfinancial, https://twitter.com/theprincipal, https://www.linkedin.com/company/principal-financial-group, https://en.wikipedia.org/wiki/principal financial group",90,,,,,,
,,wipro limited,"bengaluru, india",india,,,,29 december 1945,"220,000",thierry delaporte,43980000000,"professionalservices, itservices",technology,information technology services,"75,000 crore (us$9.8 billion) (2021)","https://www.wipro.com, https://www.facebook.com/wiprotechnologies, https://twitter.com/wipro, https://www.linkedin.com/company/wipro, https://en.wikipedia.org/wiki/wipro",4,,,,,,
969,0.67446816,fortescue metals group limited,"east perth, wa, australia",australia,,,,2003,"10,232",elizabeth anne gaines ca,50760000000,mining,basic materials,other industrial metals & mining,a$17.62 billion (2020),"https://www.fmgl.com.au, https://twitter.com/fortescuenews, https://www.linkedin.com/company/fortescue-metals-group, https://en.wikipedia.org/wiki/fortescue metals group",14,,,,,,
319,0.6744831,l'oreal italia spa,"clichy, france",france,,,,,"85,400",nicolas hieronimus,225240000000,"consumergoods, cac40, cosmeticsandbeauty",consumer staples,retail trade,,https://www.loreal.com,373,,,,,"via francesco primaticcio 155, milano, 20147, milano, italy",corporation
,,henkel italia srl,"dusseldorf, germany",germany,,,,,"52,450",carsten knobel,30530000000,"dax, chemicals, consumergoods",consumer staples,wholesale trade,,https://www.henkel.com,70,,,,,"via carlo amoretti 78, milano, 20157, milano, italy",corporation
,,chubb limited,"zurich, switzerland",switzerland,,,,"hamilton, bermuda 1985","31,000",evan g greenberg,98570000000,insurance,financials,insuranceproperty & casualty,"us$35.994 billion (fiscal year ended december 31, 2020)","https://www.chubb.com/us-en, https://en.wikipedia.org/wiki/ace limited",217,,,,,,
318,0.6744831,michelin italiana sami spa,"clermont-ferrand, france",france,,,,,"118,400",florent menegaux,23650000000,"tires, cac40",consumer discretionary,manufacturing,,https://www.michelin.com,27,,,,,"corso giulio cesare 424/95/c, torino, 10156, torino, italy",corporation
316,0.6744831,sweco ab publ,,sweden,,,,,,,3730000000,,industries,,,,10,,,,,,
,,sinch ab publ,,sweden,,,,,,,2970000000,telecommunication,communication services,,,,3,,,,,,
,,viscofan,,spain,,,,,,,3010000000,,consumer cyclical,,,,65,,,,,,
315,0.6744831,tele2 ab publ,,sweden,,,,,,,6310000000,telecommunication,communication services,,,,9,,,,,,
,,lifco ab publ,,sweden,,,,,,axel wachtmeister,8199999999,,industries,,,,17,,,,,,
938,0.6744688,rockwool international a/s,"chicago, il, united states",united states,,,,"december 10, 1923","79,000",dirk van de put,90670000000,,industries,"finance, insurance, and real estate",25870000000,"https://www.mondelezinternational.com, https://www.facebook.com/mondelezinternational, https://twitter.com/mdlz, https://www.linkedin.com/company/mondelezinternational, https://en.wikipedia.org/wiki/mondelez international",217,,,,,"via san primo 4, milano, 20121, milano, italy",corporation
,,sonova holding ag,,switzerland,,,,,,arnd kaldowski,15690000000,medicaldevices,healthcare,"finance, insurance, and real estate",,,256,,,,,"viale lombardia 29, viadana, 46019, mantova, italy",corporation
,,hoya corp,"tokyo, japan",japan,,,,,"37,245",eiichiro ikeda,42880000000,"glassesandcontactlenses, manufacturing",healthcare,medical instruments & supplies,,https://www.hoya.co.jp,97,,,,,,
,,lennar corporation,"miami, fl, united states",usa,,,,1954,"10,753",jonathan m jaffe,25350000000,construction,consumer discretionary,residential construction,"us$27.130 billion (fiscal year ended november 30, 2021)","https://www.lennar.com, https://www.facebook.com/lennar, https://twitter.com/lennar, https://www.linkedin.com/company/lennar, https://en.wikipedia.org/wiki/lennar",89,,,,,,
,,markel corporation,"glen allen, va, united states",usa,,,,1930,"20,300",thomas sinnickson gayner,20300000000,"insurance, investment",financials,insuranceproperty & casualty,"us$12.846 billion (fiscal year ended december 31, 2021)","https://www.markel.com, https://en.wikipedia.org/wiki/markel corporation",1,,,,,,
,,ameren corporation,"st. louis, mo, united states",usa,,,,1997,"9,116",martin j lyons jr,24790000000,"electricity, energy",utilities,utilitiesregulated electric,5794000000,"https://www.ameren.com, https://www.facebook.com/amerencorp/, https://twitter.com/amerencorp, https://www.linkedin.com/company/ameren, https://en.wikipedia.org/wiki/ameren",86,,,,,,
,,cintas corporation,"cincinnati, oh, united states",usa,,,,1929,"40,000",todd m schneider,46020000000,,industrials,specialty business services,us$7.09 billion (2020) us$4.476 billion (2015),"https://www.cintas.com, https://www.facebook.com/cintas, https://twitter.com/cintascorp, https://www.linkedin.com/company/cintas, https://en.wikipedia.org/wiki/cintas",453,,,,,,
,,target corporation,"minneapolis, mn, united states",usa,,,,"june 24, 1902","450,000",brian c cornell,70770000000,"retail, supermarketchains",industries,discount stores,99600000000,"https://corporate.target.com, https://en.wikipedia.org/wiki/target corp.",153,,,,,,
,,close brothers group,,uk,,,,,,,1950000000,"banks, financialservices",financial services,,,,12,,,,,,
320,0.67448306,naturgy energy group sa,"humanes de madrid, spain",spain,,,,,"7,231",francisco miguel reynes massanet,28710000000,,utilities,utilitiesregulated gas,,https://www.naturgy.com,27,,,,,,
,,nexity sa,,italy,,,,,,,10990000000,,real estate,,,,8,,,,,,
,,dmg mori aktiengesellschaft,,germany,,,,,,,3440000000,,industries,,,,43,,,,,,
,,oatly group ab,,sweden,,,,,,,830000000,food,non-alcoholic beverages,,,,1,,,,,,
,,sofid spa,,usa,,,,,,,3430000000,"financialservices, tech, internet",,"finance, insurance, and real estate",,,4,,,,,"via uberto visconti di modrone 2, milano, 20122, milano, italy",corporation
,,kddi corp,"tokyo, japan",japan,,,,,"47,320",,73120000000,telecommunication,communication services,telecom services,,https://www.kddi.com,29,,,,,,
,,recruit holdings co ltd,"tokyo, japan",japan,,,,,"46,800",hisayuki idekoba,68110000000,"staffingemploymentservices, professionalservices",industrials,staffing & employment services,,https://recruit-holdings.com,30,,,,,,
,,moody's corporation,"new york, ny, united states",usa,,,,1909,"13,460",robert scott fauber,62580000000,financialservices,financials,financial data & stock exchanges,5400000000,"https://www.moodys.com, https://twitter.com/moodysratings, https://www.linkedin.com/company/moodys-corporation, https://en.wikipedia.org/wiki/moody%27s corporation",290,,,,,,
,,daikin industriesltd,"osaka, japan",japan,,,,,"84,870",masanori togawa,55580000000,manufacturing,industrials,building products & equipment,,https://www.daikin.com,160,,,,,,
,,paycom software inc,"oklahoma city, ok, united states",usa,,,,1998,"5,385",chad r richison,19870000000,"software, tech",technology,softwareapplication,us$1.06 billion (2021)us$841.1 million (2020),"https://www.paycom.com, https://en.wikipedia.org/wiki/paycom",308,,,,,,
,,bystronic ag,,switzerland,,,,,,,1470000000,"manufacturing, machinerymanufacturing",industries,,,,712,,,,,,
,,lowe's companies,"mooresville, nc, united states",usa,,,,"march 25, 1921","300,000",marvin r ellison,143770000000,retail,consumer discretionary,home improvement retail,72148000000,"https://www.lowes.com, https://www.facebook.com/lowes, https://twitter.com/lowes, https://www.linkedin.com/company/lowe's-home-improvement, https://en.wikipedia.org/wiki/lowe%27s",206,,,,,,
,,philip morris manufacturing & technology bologna spa,"new york, ny, united states",usa,,,,2008,"69,600",jacek olczak,157930000000,tobacco,consumer staples,tobacco,"us$76.047 billion (fiscal year ended december 31, 2020)","https://www.pmi.com, https://www.facebook.com/insidepmi, https://twitter.com/insidepmi, https://www.linkedin.com/company/insidepmi, https://en.wikipedia.org/wiki/philip morris international",101,,,,,"via giacomo venturi 1-2, valsamoggia, 40053, bologna, italy",corporation
,,nestle' italiana spa,,switzerland,,,,,,ulf mark schneider,319530000000,food,consumer defensive,manufacturing,,,116,,,,,"via del mulino 6, assago, 20057, milano, italy",corporation
327,0.674483,hermes international,"paris, france",france,,,,1837,"17,595",axel dumas,166640000000,"luxurygoods, cac40",consumer discretionary,luxury goods,8.982 billion (2021),"https://finance.hermes.com, https://www.facebook.com/hermes/, https://twitter.com/hermes paris, https://en.wikipedia.org/wiki/herm%c3%a8s",1,,,,,,
996,0.6744676,united company rusal,"memphis, tn, united states",united states,,,,1898,"49,300",evgenii nikitin,190000000,"software, tech, videogames, entertainment",consumer discretionary,packaging & containers,20580000000,"https://internationalpaper.com, https://en.wikipedia.org/wiki/international paper",9,,,,,,
,,secunet security networks,"santa clara, ca, united states",united states,,,,2005,"11,527",nikesh arora cfa,59650000000,"itsecurity, tech",technology,softwareinfrastructure,4300000000,"https://www.paloaltonetworks.com, https://www.facebook.com/paloaltonetworks/, https://twitter.com/paloaltontwks, https://www.linkedin.com/company/palo-alto-networks/, https://en.wikipedia.org/wiki/palo alto networks",214,,,,,,
,,goodyear tire & rubber company,"dearborn, mi, united states",usa,,,,"june 16, 1903","183,000",james d farley jr,65739999999,tires,consumer discretionary,auto manufacturers,"us$136.341 billion (fiscal year ended december 31, 2021)","https://www.ford.com, https://twitter.com/fordcredit, https://en.wikipedia.org/wiki/ford",10,,,,,,
,,ca immobilien anlagen ag,,austria,,,,,,,3160000000,realestate,real estate,,,,31,,,,,,
337,0.674483,telenet group holding nv,,belgium,,,,,,,1660000000,telecommunication,communication services,,,,14,,,,,,
336,0.674483,mediobanca banca di credito finanziario,,italy,,,,,,,8060000000,"banks, financialservices",financial services,retail trade,,,9,,,,,"viale del lavoro 20, belfiore, 37050, verona, italy",corporation
,,gestamp automocion,,spain,,,,,,,2029999999,automotivesuppliers,consumer cyclical,,,,3,,,,,,
,,stroer se & co kgaa,"bad homburg vor der hohe, germany",germany,,,,,"316,078",stephan sturm,2560000000,,healthcare,medical care facilities,,https://www.fresenius.com,45,,,,,,
,,sasol italy spa,,south africa,,,,,,,10050000000,"oilgas, energy, chemicals",,manufacturing,,,15,,,,,"viale enrico forlanini 23, milano, 20134, milano, italy",corporation
335,0.674483,ubisoft entertainment sa,"dublin, ireland",ireland,,,,2 february 2016,"16,813",jeremy peter jackson,3660000000,"videogames, entertainment, tech",consumer discretionary,gambling,"6,036.2 million (2021)","https://www.flutter.com, https://twitter.com/ppbetfair, https://www.linkedin.com/company/flutter-entertainment-plc/, https://en.wikipedia.org/wiki/flutter entertainment",28,,,,,,
,,telstra corporation limited,"melbourne, vic, australia",australia,,,,1 july 1975,"26,728",andrew richard penn mba amp mba bec fcca hfaipm,35240000000,telecommunication,communication services,telecom services,a$26 billion (2017),"https://www.telstra.com.au, https://en.wikipedia.org/wiki/telstra",2,,,,,,
,,merck serono spa,"kenilworth, nj, united states",usa,,,,1891,"67,000",robert m davis jd,279120000000,"pharmaceuticals, dowjones, biotech",healthcare,manufacturing,47994000000,"https://www.merck.com, https://en.wikipedia.org/wiki/merck %26 co",110,,,,,"via casilina 125, roma, 00176, roma, italy",corporation
,,millicom international cellular,"bethesda, md, united states",united states,,,,"march 5, 1927","120,000",anthony g capuano jr,57180000000,"mediapress, telecommunication",consumer discretionary,lodging,10571000000,"https://www.marriott.com, https://en.wikipedia.org/wiki/marriott int%27l.",13,,,,,"via alessandro manzoni 41, milano, 20121, milano, italy",corporation
339,0.67448294,engie italia spa,,france,,,,,,catherine macgregor,36170000000,"cac40, electricity, utilitycompanies, energy",utilities,services,,,15,,,,,"viale fulvio testi 280, milano, 20126, milano, italy",corporation
,,bunge italia spa,,usa,,,,,,,14300000000,food,,manufacturing,,,95,,,,,"via baiona 203, ravenna, 48123, ravenna, italy",corporation
,,nucor corporation,"charlotte, nc, united states",usa,,,,,"28,800",leon j topalian,46860000000,"steelproducers, steelindustry",basic materials,steel,20139000000,"https://www.nucor.com, https://en.wikipedia.org/wiki/nucor",149,,,,,,
,,eon se,"essen, germany",germany,,,,,"63,227",leonhard birnbaum,31120000000,"electricity, dax, energy, utilitycompanies",utilities,utilitiesdiversified,,https://www.eon.com,9,,,,,"via dell'unione 1, milano, 20122, milano, italy",corporation
,,the mosaic company,"tampa, fl, united states",usa,,,,"october 22, 2004","12,525",james c o'rourke peng,25090000000,fertilizercompanies,basic materials,agricultural inputs,8900000000,"https://www.mosaicco.com, https://www.facebook.com/mosaiccompany, https://twitter.com/mosaiccompany, https://www.linkedin.com/company/mosaiccompany, https://en.wikipedia.org/wiki/the mosaic company",47,,,,,,
,,asos,,uk,,,,,,,740000000,"ecommerce, retail, clothing",consumer cyclical,,,,7,,,,,,
,,coca-cola europacific partners plc,"uxbridge, united kingdom",usa,,,,,"22,000",damian paul gammell,274769999999,"beverages, dowjones",consumer staples,beveragesnon-alcoholic,,https://www.cocacolaep.com,63,,,,,,
