rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
64,trumpf gmbh co kg,"3,995.9","13,420","leibinger, kammueller",1923,private,3,yes,yes,industrial manufacturing,ditzingen,bw,www.trumpf.de
65,webasto se,"3,930.6","13,435","baier, mey",1901,private,6,no,no,automotive,stockdorf,by,www.webasto.com
66,asklepios kliniken gmbh,"3,912.3","35,327",gro e broermann,1985,private,1,no,no,healthcare,hamburg,hh,www.asklepios.com
67,wieland group,"3,863.8","7,000","schwenk, schleicher",1820,private,6,no,no,industrial manufacturing,ulm,bw,www.wieland.com
68,hoyer energie,"3,682.5","1,700",hoyer,1924,private,4,yes,yes,energy and utilities,vi elhovede,ni,www.hoyer-energie.de
69,festo ag & co kg,"3,673.6","21,200",stoll,1925,private,3,no,no,industrial manufacturing,e lingen,bw,www.festo.com
70,sew-eurodrive,"3,663.8","17,500",blickle,1931,private,3,yes,no,industrial manufacturing,bruchsal,bw,www.sew-eurodrive.de
71,fti group,"3,643.5","10,000",gunz,1983,private,1,yes,no,profe ional services,munchen,by,www.fti.de
72,axel springer se,"3,562.7","16,282","springer, dopfner",1946,public,4,yes,no,media and entertainment,berlin,be,www.axelspringer.de
73,sixt se,"3,407.9","7,540",sixt,1912,public,4,yes,no,transportation and logistics,pullach,by,www.sixt.de
74,sgroup,"3,220.1","13,872",wei ,1871,private,4,yes,yes,industrial manufacturing,du eldorf,nw,www.sms-group.com
75,aunde group se,"3,205.9","24,500",bolten and konigs,1899,private,4,yes,yes,automotive,monchengladbach,nw,www.aunde.com
76,zech group gmbh,"3,205.9","10,700",zech,1909,private,3,yes,no,industrial manufacturing,bremen,hb,www.zech-group.com
77,goldbeck gmbh,"3,165.0","5,500",goldbeck,1969,private,2,yes,no,industrial manufacturing,bielefeld,nw,www.goldbeck.de
78,otto fuchs kg,"3,134.5","9,359",fuchs,1910,private,4,no,no,industrial manufacturing,meinerzhagen,nw,www.otto-fuchs.com
79,vorwerk & co kg,"3,127.9","13,000",mittelsten-scheid,1883,private,5,no,no,consumer products,wuppertal,nw,www.vorwerk.de
80,august storck kg,"3,091.4","6,050",oberwelland,1903,private,4,yes,no,foods and beverages,berlin,be,www.storck.com
81,hubert burda media holding kg,"3,058.8","12,135",burda,1903,private,4,yes,no,media and entertainment,munchen,by,www.burda.com
82,drager group,"3,027.1","14,603",drager,1889,public,5,yes,no,healthcare,lubeck,sh,www.draeger.de
83,peter cremer holding gmbh & co kg,"2,976.9","2,000",cremer,1946,private,2,yes,no,industrial manufacturing,hamburg,hh,www.cremer.de
84,phw group,"2,954.0","6,979",wesjohann,1932,private,3,yes,yes,foods and beverages,visbek,ni,www.phw-gruppe.de
85,leopold kostal gmbh & co kg,"2,935.7","17,946",kostal,1912,private,4,yes,no,technology,ludenscheid,nw,www.kostal.com
86,hellmann worldwide logistics gmbh & co kg,"2,918.4","13,034",hellmann,1871,private,4,yes,no,transportation and logistics,osnabruck,ni,www.hellmann.net
87,fuchs petrolub se,"2,876.8","5,456",fuchs,1931,public,3,yes,yes,industrial manufacturing,mannheim,bw,www.fuchs-oil.de
88,alfred karcher se & co kg,"2,862.8","12,300",karcher,1935,private,2,no,no,industrial manufacturing,winnenden,bw,www.kaercher.de
89,vaillant group,"2,782.6","12,070",vaillant,1874,private,5,no,no,industrial manufacturing,remscheid,nw,www.vaillant-group.com
90,bauer media group,"2,776.1","11,500",bauer,1875,private,5,yes,yes,media and entertainment,hamburg,hh,www.bauermedia.com
