name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
conocophillips,cop,92,ryan m lance,united states,energy,oil & gas e&p,"houston, tx, united states","9,900",30 august 2002,136320000000,"us$19.256 billion (fiscal year ended december 31, 2020)","-us$2.655 billion (fiscal year ended december 31, 2020)","https://www.conocophillips.com, https://www.facebook.com/conocophillips, https://twitter.com/conocophillips, https://www.linkedin.com/company/conocophillips, https://en.wikipedia.org/wiki/conocophillips"
honeywell,hon,91,darius e adamczyk,united states,industrials,specialty industrial machinery,"charlotte, nc, united states","99,000",1906,136479999999,"us$34.392 billion (fiscal year ended december 31, 2021)","us$5.610 billion (fiscal year ended december 31, 2021)","https://www.honeywell.com, https://en.wikipedia.org/wiki/honeywell"
totalenergies,tte,90,patrick pouyanna,france,energy,oil & gas integrated,"paris, france","105,476",28 march 1924,137500000000,205800000000,15500000000,"https://www.totalenergies.com, https://twitter.com/totalenergies, https://en.wikipedia.org/wiki/total se"
china mobile,0941,89,xin dong,hong kong,communication services,telecom services,"hong kong, hong kong","449,934",,139300000000,,,https://www.chinamobileltd.com
hsbc,hsba,88,noel paul quinn,united kingdom,financials,banks,"london, united kingdom","219,697",first established on 3 march 1865,140150000000,49552000000,14693000000,"https://www.hsbc.com, https://www.facebook.com/hsbcindia, https://twitter.com/hsbc, https://www.linkedin.com/company/hsbc/, https://en.wikipedia.org/wiki/hsbc"
bank of china,601988,87,,china,financials,banks,"beijing, china","309,084",,141220000000,,,https://www.boc.cn
amgen,amgn,86,robert a bradway,united states,healthcare,drug manufacturersgeneral,"thousand oaks, ca, united states","24,200","april 8, 1980",141720000000,25424000000,7842000000,"https://www.amgen.com, https://www.facebook.com/amgenbiotech/, https://twitter.com/amgen, https://www.linkedin.com/company/amgen, https://en.wikipedia.org/wiki/amgen"
lowe's,low,85,marvin r ellison,united states,consumer discretionary,home improvement retail,"mooresville, nc, united states","300,000","march 25, 1921",143770000000,72148000000,4280999999,"https://www.lowes.com, https://www.facebook.com/lowes, https://twitter.com/lowes, https://www.linkedin.com/company/lowe's-home-improvement, https://en.wikipedia.org/wiki/lowe%27s"
china life insurance company limited,lfc,150,,china,financials,insurancelife,"beijing, china","104,160",1949,97310000000,"768,438,310,000 renminbi (2018)",,"https://www.e-chinalife.com, https://en.wikipedia.org/wiki/china life insurance company"
airbus,air,149,guillaume mjd faury,netherlands,industrials,aerospace & defense,"leiden, netherlands","121,056",,97410000000,,,https://www.airbus.com
petroleo brasileiro sa - petrobras,pbr,148,joaquim silva e luna,brazil,energy,oil & gas integrated,"rio de janeiro, rj, brazil","46,416",3 october 1953,98370000000,76600000000,10100000000,"https://petrobras.com.br/pt, https://en.wikipedia.org/wiki/petrobras"
allianz se,alv,147,oliver bate,germany,financials,insurancediversified,"munich, germany","155,411",,98470000000,,,https://www.allianz.com
chubb limited,cb,146,evan g greenberg,switzerland,financials,insuranceproperty & casualty,"zurich, switzerland","31,000","hamilton, bermuda 1985",98570000000,"us$35.994 billion (fiscal year ended december 31, 2020)","us$3.533 billion (fiscal year ended december 31, 2020)","https://www.chubb.com/us-en, https://en.wikipedia.org/wiki/ace limited"
daimler ag,dai,145,ola kallenius,germany,consumer discretionary,auto manufacturers,"stuttgart, germany","289,282",,98790000000,,,https://www.daimler.com
general electric,ge,144,h lawrence culp jr,united states,industrials,specialty industrial machinery,"boston, ma, united states","168,000","april 15, 1892",99220000000,74196000000,us$ -3.325 billion (2021),"https://www.ge.com, https://www.facebook.com/ge, https://twitter.com/generalelectric, https://www.linkedin.com/company/ge, https://en.wikipedia.org/wiki/general electric"
the estee lauder companies inc,el,143,fabrizio freda,united states,consumer staples,household & personal products,"new york, ny, united states","44,640",1946,100160000000,14290000000,,"https://www.elcompanies.com, https://www.facebook.com/elcompanies, https://www.twitter.com/aveda, https://www.linkedin.com/company/the-estee-lauder-companies-inc-, https://en.wikipedia.org/wiki/est%c3%a9e lauder companies"
s&p global inc,spgi,142,douglas l peterson mba,united states,financials,financial data & stock exchanges,"new york, ny, united states","22,850",1917,100840000000,8297000000,3024000000,"https://www.spglobal.com, https://en.wikipedia.org/wiki/s%26p global"
stryker corporation,syk,141,kevin a lobo,united states,healthcare,medical devices,"kalamazoo, mi, united states","46,000",1941,101410000000,17108000000,1994000000,"https://www.stryker.com, https://www.facebook.com/strykercareers, https://twitter.com/stryker jobs, https://www.linkedin.com/company/stryker, https://en.wikipedia.org/wiki/stryker corp."
british american tobacco plc,bats,140,jack marie henry david bowles,united kingdom,consumer staples,tobacco,"london, united kingdom","54,365",1902,101440000000,25.684 billion (2021),6.974 billion (2021),"https://www.bat.com, https://twitter.com/batpress, https://www.linkedin.com/company/british-american-tobacco, https://en.wikipedia.org/wiki/british american tobacco"
altria group inc,mo,139,william f gifford jr,united states,consumer staples,tobacco,"richmond, va, united states","6,000",1985,102980000000,"us$26.153 billion (fiscal year ended december 31, 2020)","us$4.454 billion (fiscal year ended december 31, 2020)","https://www.altria.com, https://www.facebook.com/altria-group-147856125304229/, https://twitter.com/altrianews, https://www.linkedin.com/company/altria/, https://en.wikipedia.org/wiki/altria"
nippon telegraph & telephone corp,9432,138,jun sawada,japan,communication services,telecom services,"tokyo, japan","324,667",,103750000000,,,https://group.ntt
saudi basic industries corp,2010,137,yousef bin abdullah al-benyan,saudi arabia,basic materials,chemicals,"riyadh, saudi arabia",,,104000000000,,,https://www.sabic.com
byd company,002594,136,chuan-fu wang,china,consumer discretionary,auto manufacturers,"shenzhen, china","224,280",,104420000000,,,https://www.byd.com
charter communications,chtr,135,thomas m rutledge,united states,communication services,entertainment,"stamford, ct, united states","93,700",1993,104970000000,48097000000,3222000000,"https://corporate.charter.com, https://en.wikipedia.org/wiki/charter communications"
edwards lifesciences corporation,ew,200,michael a mussallem,united states,healthcare,medical devices,"irvine, ca, united states","15,700",1958,73380000000,5200000000,,"https://www.edwards.com, https://www.facebook.com/pages/edwards-lifesciences/143318615703224, https://twitter.com/edwardslifesci, https://www.linkedin.com/company/edwards-lifesciences, https://en.wikipedia.org/wiki/edwards lifesciences"
zurich insurance group ag,zurn,199,mario greco,switzerland,financials,insurancediversified,"zurich, switzerland","55,000",,73580000000,,,https://www.zurich.com
atlassian corporation plc,team,198,michael cannon-brookes,australia,technology,softwareapplication,"sydney, nsw, australia","7,388",2002,73720000000,2100000000,,"https://www.atlassian.com, https://www.facebook.com/atlassiansoftware/, https://twitter.com/atlassian, https://www.linkedin.com/company/atlassian/, https://en.wikipedia.org/wiki/atlassian"
the tjx companies inc,tjx,197,ernie l herrman,united states,consumer discretionary,apparel retail,"framingham, ma, united states","270,000",1987,73990000000,38937000000,3060000000,"https://www.tjx.com, https://www.facebook.com/pages/the-tjx-companies/1396229077291923 fref=ts, https://twitter.com/tjxco, https://www.linkedin.com/company/tjx, https://en.wikipedia.org/wiki/tjx companies"
intercontinental exchange inc,ice,196,jeffrey c sprecher,united states,financials,financial data & stock exchanges,"atlanta, ga, united states","8,858","may 11, 2000",74170000000,7150000000,4099999999,"https://www.ice.com, https://en.wikipedia.org/wiki/intercontinental exchange"
canadian natural resources limited,cnq,195,,canada,energy,oil & gas e&p,"calgary, ab, canada","9,735",,74780000000,,,https://www.cnrl.com
truist financial corporation,tfc,194,william henry rogers jr,united states,financials,banks,"charlotte, nc, united states","50,283",1872,74790000000,20370000000,4492000000,"https://www.truist.com, https://en.wikipedia.org/wiki/truist financial"
regeneron pharmaceuticals inc,regn,193,leonard s schleifer md phd,united states,healthcare,biotechnology,"tarrytown, ny, united states","10,368",1988,74910000000,8497000000,3513000000,"https://www.regeneron.com, https://en.wikipedia.org/wiki/regeneron pharmaceuticals"
gilead sciences inc,gild,192,daniel p o'day,united states,healthcare,drug manufacturersgeneral,"foster city, ca, united states","14,400","june 22, 1987",76150000000,22450000000,5390000000,"https://www.gilead.com, https://www.facebook.com/gilead-sciences-162678203751209/, https://twitter.com/gileadsciences, https://www.linkedin.com/company/gilead-sciences, https://en.wikipedia.org/wiki/gilead sciences"
becton dickinson and company,bdx,191,thomas e polen jr,united states,healthcare,medical instruments & supplies,"franklin lakes, nj, united states","75,000","east rutherford, new jersey 1897",76980000000,"us$20.248 billion (fiscal year ended september 30, 2021)","us$2.002 billion (fiscal year ended september 30, 2021)","https://www.bd.com, https://www.facebook.com/bectondickinsonandco, https://twitter.com/bdandco, https://www.linkedin.com/company/bd1, https://en.wikipedia.org/wiki/bd  company "
