name,address,nation,hhid,industry,sic_code,type,est_of_ownership
marcegaglia holding srl,"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",it02466980204,h-it0046685529,manufacturing,mfg steel pipe/tubes  3317 ,corporation,2015
vodafone italia spa,"via guglielmo jervis 13, ivrea, 10015, torino, italy",it08539010010,h-it0065547691,"transportation, communications, electric, gas, and sanitary services",telephone communications  4813 ,corporation,2002
edison energia spa,"foro buonaparte 31, milano, 20121, milano, italy",it08526440154,h-it0073491527,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1986
italpreziosi spa,"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy",it01111420517,h-it0034827331,manufacturing,primary nonferrous metal producer  3339 ,corporation,1984
assicurazioni generali spa,"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy",it00079760328,h-it0009234624,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1831
groupe psa italia spa,"via plava 80, torino, 10135, torino, italy",it00882090152,h-it0009740473,retail trade,ret new/used automobiles  5511 ,corporation,1969
finanziaria d'investimento fininvest spa,"via pietro paleocapa 3, milano, 20121, milano, italy",it04942331002,h-it0009613331,"finance, insurance, and real estate",misc business credit institutions  6159 ,corporation,1978
cassa depositi e prestiti spa,"via goito 4, roma, 00185, roma, italy",it07756511007,h-it0067760325,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,1946
aurelia srl,"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy",it01899810061,h-it0038913984,"finance, insurance, and real estate",holding company  6719 ,corporation,1983
aia agricola italiana alimentare spa,"via valpantena 18/g, verona, 37142, verona, italy",it00233470236,h-it0008022720,wholesale trade,whol meats/products  5147 ,corporation,1967
banco bpm spa,"piazza nogara 2, verona, 37121, verona, italy",it09722490969,h-it0053576578,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,2016
acea spa,"piazzale ostiense 2, roma, 00154, roma, italy",it05394801004,h-it0025525573,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1908
b&d holding spa,"via giovanni da verrazzano 15, novara, 28100, novara, italy",it02324900030,h-it0005985013,"finance, insurance, and real estate",holding company  6719 ,corporation,2012
de agostini spa,"via giovanni da verrazzano 15, novara, 28100, novara, italy",it01257120038,h-it0049388177,"finance, insurance, and real estate",holding company  6719 ,corporation,1901
gs spa,"via caldera 21, milano, 20153, milano, italy",it12683790153,h-it0074764403,retail trade,ret groceries  5411 ,corporation,1965
cnp vita assicurazione spa,"via angelo scarsellini 14, milano, 20161, milano, italy",it10210040159,h-it0069629781,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1990
cnp vita assicura spa,"via angelo scarsellini 14, milano, 20161, milano, italy",it09269930153,h-it0061929387,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1988
pac 2000 a soc coop,"via del rame snc, perugia, 06134, perugia, italy",it00163040546,h-it0023035021,wholesale trade,whol groceries  5149 ,cooperative,1972
ludo spa,"via antonio fogazzaro 28, milano, 20135, milano, italy",it08566460963,h-it0044271190,"finance, insurance, and real estate",holding company  6719 ,corporation,2014
prada spa,"via lungarno 1213-61, terranuova bracciolini, 52028, arezzo, italy",it10115350158,h-it0026598132,retail trade,ret family clothing  5651 ,corporation,1990
acciaierie d'italia spa,"viale certosa 239, milano, 20151, milano, italy",it10354890963,h-it0061222844,manufacturing,blast furnace-steel works  3312 ,corporation,1995
acciaierie d'italia holding spa,"viale certosa 239, milano, 20151, milano, italy",it09520030967,h-it0051081903,manufacturing,blast furnace-steel works  3312 ,corporation,2016
allianz global investors gmbh,"via durini 1, milano, 20122, milano, italy",it08009620967,h-it0007437188,"finance, insurance, and real estate",misc business credit institutions  6159 ,foreign company,2012
sony europe bv,"via angelo rizzoli 4, milano, 20132, milano, italy",it10496660969,h-it0063085380,wholesale trade,whol non durable goods  5199 ,foreign company,2018
sorgenia spa,"via alessandro algardi 4, milano, 20148, milano, italy",it12874490159,h-it0008852677,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1999
f2i er 1 spa,"via san protaso 5, milano, 20121, milano, italy",it08731340967,h-it0042738679,"finance, insurance, and real estate",holding company  6719 ,corporation,2014
fimedi spa,"corso re umberto 10, torino, 10121, torino, italy",it01123470013,h-it0003008487,"finance, insurance, and real estate",holding company  6719 ,corporation,1974
buzzi unicem spa,"via luigi buzzi 6, casale monferrato, 15033, alessandria, italy",it01772030068,h-it0034644245,manufacturing,mfg hydraulic cement  3241 ,corporation,1907
genertellife spa,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",it06515871009,h-it0071050442,"finance, insurance, and real estate",insurance carrier  6399 ,corporation,1999
logista italia spa,"via valadier 37, roma, 00193, roma, italy",it06741351008,h-it0058278001,wholesale trade,whol tobacco products  5194 ,corporation,2001
pirelli tyre spa,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",it07211330159,h-it0037438514,manufacturing,mfg tires/inner tubes  3011 ,corporation,1983
hera comm spa,"via molino rosso 8, imola, 40026, bologna, italy",it02221101203,h-it0074275860,"transportation, communications, electric, gas, and sanitary services",natural gas distribution  4924 ,corporation,2001
autogrill spa,"galleria san babila 4/a, milano, 20122, milano, italy",it01630730032,h-it0072773472,retail trade,drinking place  5813 ,corporation,1946
rete ferroviaria italiana spa,"piazza della croce rossa 1, roma, 00161, roma, italy",it01008081000,h-it0059184531,"transportation, communications, electric, gas, and sanitary services",local/suburban transportation  4111 ,corporation,1992
swietelsky baugesellschaft mbh,"via del sole 34, andriano, 39010, bolzano, italy",it02606390215,h-it0018329365,construction,trade contractor  1799 ,foreign company,2008
cnh industrial italia spa,"viale delle nazioni 55, modena, 41122, modena, italy",it00370290363,h-it0009369996,manufacturing,mfg farm machinery/equipment  3523 ,corporation,1973
iren mercato spa,"via dei santi giacomo e filippo 7, genova, 16122, genova, italy",it01178580997,h-it0074908405,"transportation, communications, electric, gas, and sanitary services",natural gas distribution  4924 ,corporation,2000
duferco italia holding spa,"via armando diaz 248, san zeno naviglio, 25010, brescia, italy",it00948900329,h-it0054109205,"finance, insurance, and real estate",holding company  6719 ,corporation,1990
trasporti internazionali agenzia marittima savino del bene spa,"via del botteghino 24/26, scandicci, 50018, firenze, italy",it05300610481,h-it0072354240,"transportation, communications, electric, gas, and sanitary services",transportation services  4789 ,corporation,1920
unieuro spa,"via piero maroncelli 10, forli', 47121, forli'-cesena, italy",it00876320409,h-it0012529079,retail trade,ret misc general merchandise  5399 ,corporation,1935
axpo italia spa,"via xii ottobre 1, genova, 16121, genova, italy",it01141160992,h-it0061745170,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,2000
sind international srl,"via bigli 21, milano, 20121, milano, italy",it11073430156,h-it0071805583,"finance, insurance, and real estate",holding company  6719 ,corporation,1993
danieli & c officine meccaniche spa,"via nazionale 41, buttrio, 33042, udine, italy",it00167460302,h-it0018276334,manufacturing,mfg rolling mill machinery  3547 ,corporation,1962
md spa,"zona a.s.i.capan  18, gricignano di aversa, 81030, caserta, italy",it03185210618,h-it0072485272,retail trade,ret groceries  5411 ,corporation,2005
isab srl,"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy",it01629050897,h-it0002560844,manufacturing,petroleum refiner  2911 ,corporation,2008
astm spa,"corso regina margherita 165, torino, 10144, torino, italy",it00488270018,h-it0021352054,"finance, insurance, and real estate",holding company  6719 ,corporation,1928
alessanpatane' srl,"via amaseno 24, latina, 04100, latina, italy",it01943060598,h-it0071980229,services,computer related services  7379 ,corporation,1999
fpt industrial spa,"via puglia 15, torino, 10156, torino, italy",it09397710014,h-it0002560879,manufacturing,mfg motor vehicle/car bodies  3711 ,corporation,1974
luxottica group spa,"piazzale luigi cadorna 3, milano, 20123, milano, italy",it10182640150,h-it0049397494,wholesale trade,whol photo equipment/supplies  5043 ,corporation,1981
de' longhi spa,"via lodovico seitz 47, treviso, 31100, treviso, italy",it03162730265,h-it0075487071,"finance, insurance, and real estate",holding company  6719 ,corporation,1992
bridgestone europe nv sa,"via energy park 14, vimercate, 20871, monza e brianza, italy",it09712150961,h-it0053437772,manufacturing,mfg tires/inner tubes  3011 ,foreign company,2013
gi group spa,"piazza iv novembre 5, milano, 20124, milano, italy",it11629770154,h-it0073103470,services,help supply services  7363 ,corporation,1995
cnp unicredit vita spa,"via emilio cornalia 30, milano, 20124, milano, italy",it13362170154,h-it0073419680,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1996
mapei spa,"viale edoardo jenner 4, milano, 20159, milano, italy",it01649960158,h-it0008538875,manufacturing,mfg paints/allied products  2851 ,corporation,1961
emme esse vi srl,"via sassoferrato 1, milano, 20135, milano, italy",97462220159,h-it1046469591,"finance, insurance, and real estate",holding company  6719 ,corporation,2007
nintendo of europe gmbh,"via torri bianche 6, vimercate, 20871, monza e brianza, italy",it03359860966,h-it0072796405,services,advertising agency  7311 ,foreign company,2002
snam spa,"piazza santa barbara 7, san donato milanese, 20097, milano, italy",it13271390158,h-it0057455139,"finance, insurance, and real estate",holding company  6719 ,corporation,1941
a2a energia spa,"corso di porta vittoria 4, milano, 20122, milano, italy",it12883420155,h-it0051290006,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1999
grimaldi group spa,"via marchese campodisola 13, napoli, 80133, napoli, italy",it00117240820,h-it0029356407,"transportation, communications, electric, gas, and sanitary services",water freight transportation  4449 ,corporation,1945
veronesi holding spa,"via valpantena 18/g, verona, 37142, verona, italy",it02429770239,h-it0029714915,services,data processing/preparation  7374 ,corporation,1984
nuovo pig international srl,"via felice matteucci 2, firenze, 50127, firenze, italy",it04880930484,h-it0073428639,manufacturing,mfg general industrial machinery  3569 ,corporation,1954
gruppo unicomm spa,"via enrico mattei 50, dueville, 36031, vicenza, italy",it00169710241,h-it0027831833,"finance, insurance, and real estate",holding company  6719 ,corporation,1969
chiesi farmaceutici spa,"via palermo 26/a, parma, 43122, parma, italy",it01513360345,h-it0061929093,manufacturing,mfg pharmaceutical preparations  2834 ,corporation,1935
valline srl,"stradello marche 6, parma, 43121, parma, italy",08995890152,h-it0009252584,"finance, insurance, and real estate",holding company  6719 ,corporation,1990
eni fuel spa,"viale giorgio ribotta 51, roma, 00144, roma, italy",it02701740108,h-it0008914168,retail trade,gasoline service station  5541 ,corporation,1985
comifar spa,"via fratelli di dio 2, novate milanese, 20026, milano, italy",it00724400155,h-it0008052069,"finance, insurance, and real estate",misc business credit institutions  6159 ,corporation,1944
whirlpool emea spa,"strada provinciale arceviese 139/a, fabriano, 60044, ancona, italy",it00693740425,h-it0011430680,manufacturing,mfg electric housewares/fans  3634 ,corporation,1930
bmw italia spa,"via dell'unione europea 1, san donato milanese, 20097, milano, italy",it12532500159,h-it0009532196,retail trade,ret new/used automobiles  5511 ,corporation,1973
conad nord ovest societa' cooperativa a rl,"via bure vecchia nord 10, pistoia, 51100, pistoia, italy",it01977130473,h-it0216517075,wholesale trade,whol general groceries  5141 ,corporation,1964
