name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
schlumberger limited,57630000000,slb,united states,energy,oil & gas equipment & services,"houston,tx,unitedstates", 1926," 92,000",olivier le peuch
pernod ricard sa,57750000000,ri,france,consumer staples,beverageswineries & distilleries,"paris,france",," 18,500",alexan ricard
air products and chemicals inc,57820000000,apd,united states,basic materials,chemicals,"allentown,pa,unitedstates", 1940," 20,000",seifollah ghasemi
marvell technology group ltd,58360000000,mrvl,bermuda,                                        technology                                    ,                                        semiconductors                                    ,"hamilton,bermuda", 1995," 6,695",matthew j murphy
relx plc,58530000000,rel,united kingdom,communication services,publishing,"london,unitedkingdom", 1993," 33,500",erik engstrom
workday inc,58700000000,wday,united states,technology,softwareapplication,"pleasanton,ca,unitedstates", march 2005," 15,200",aneel bhusri
vinci sa,59010000000,dg,france,industrials,engineering & construction,"rueil-malmaison,france",," 218,569",xavier m p huillard
shenzhen mindray bio-medical electronics co ltd,59260000000,300760,china,healthcare,medical devices,"shenzhen,china",," 11,833",
southern copper corporation,59460000000,scco,united states,basic materials,copper,"phoenix,az,unitedstates", 1952," 14,700",oscar gonzalez rocha
saudi telecom company,59470000000,7010,saudi arabia,communication services,telecom services,"riyadh,saudiarabia",,,
nongfu spring co ltd,59500000000,9633,china,consumer staples,beveragesnon-alcoholic,"hangzhou,china",," 20,773",
reckitt benckiser group plc,59530000000,rkt,united kingdom,consumer staples,household & personal products,"slough,unitedkingdom", 1814," 43,000",
australia and new zealand banking group limited,59550000000,anz,australia,financials,banks,"melbourne,vic,australia", 1 october 1970," 39,684",shayne cary elliott bcom bcom
palo alto networks inc,59650000000,panw,united states,technology,softwareinfrastructure,"santaclara,ca,unitedstates", 2005," 11,527",nikesh arora cfa
emerson electric co,59660000000,emr,united states,industrials,specialty industrial machinery,"saintlouis,mo,unitedstates", 1890," 86,700",surendralal lanca karsanbhai
capital one financial corporation,59670000000,cof,united states,financials,credit services,"mclean,va,unitedstates"," july 21, 1994"," 50,767",richard d fairbank
hong kong exchanges & clearing ltd,59750000000,0388,hong kong,financials,financial data & stock exchanges,"central,hongkong",," 2,146",alejannicolas aguzin
netease inc,59760000000,9999,china,communication services,internet content & information,"hangzhou,china", june 1997," 18,129",lei ding
deutsche post ag,59800000000,dpwa,germany,industrials,integrated freight & logistics,"bonn,germany",," 548,042",frank appel
block inc,59950000000,sq,united states,technology,softwareinfrastructure,"sanfrancisco,ca,unitedstates"," february 14, 2009"," 8,521",jack dorsey
nutrien ltd,60060000000,ntr,canada,basic materials,agricultural inputs,"saskatoon,sk,canada",," 23,500",kenneth a seitz
cnooc limited,60190000000,0883,hong kong,energy,oil & gas e&p,"central,hongkong", august 1999," 18,151",keqiang xu
