name,industry,sector,headquarters,founded
eaton corporation,conglomerate,-,dublin,1911
eason & son,consumer services,specialty retailers,dublin,1819
ebs,financials,banks,dublin,1935
eddie rocket's,consumer services,food retailers & wholesalers,dublin,1989
edun,consumer goods,clothing & accessories,dublin,2005
eir,telecommunications,fixed line telecommunications,dublin,1999
eir sport,consumer services,broadcasting & entertainment,dublin,1990
energia group,utilities,conventional electricity,belfast,1998
eqtec,utilities,alternative electricity,cork,2005
ervia,utilities,gas distribution,cork,1976
esb group,utilities,conventional electricity,dublin,1927
experian,financials,business services,dublin,1996
fbd holdings,financials,full line insurance,dublin,1969
fineos,technology,software,dublin,1993
first trust bank,financials,banks,belfast,1991
four star pizza,consumer services,food retailers & wholesalers,dublin,1986
fyffes,consumer goods,food products,dublin,1888
glanbia,consumer goods,food products,kilkenny,1997
glendimplex,consumer goods,consumer electronics,dublin,1973
gocar,consumer services,specialized consumer services,dublin,2008
greencore,consumer goods,food products,dublin,1991
guineys,consumer services,apparel retailers,dublin,1971
guinness,consumer goods,brewers,dublin,1759
havok,technology,software,dublin,1998
heatons,consumer services,broadline retailers,dublin,1946
horizon therapeutics,consumer services,biopharmaceutical,dublin,2005
iarnrod eireann,consumer services,travel & tourism,dublin,1987
independent news & media,consumer services,publishing,dublin,1904
insomnia coffee company,consumer services,food retailers & wholesalers,dublin,1997
intel ireland,technology,semiconductors,leixlip,1989
iona technologies,technology,software,dublin,1991
irish citylink,consumer services,travel & tourism,dublin,1994
irish continental group,industrials,industrial transportation,dublin,1972
irish ferries,industrials,industrial transportation,dublin,1992
johnson controls,industrials,electrical components & equipment,cork,1885
kbc bank ireland,financials,banks,dublin,1973
kerry group,consumer goods,food products,tralee,1972
kingspan group,industrials,building materials,dublin,1966
laya healthcare,financials,life insurance,little island,1997
magnet networks,telecommunications,fixed line telecommunications,dublin,2004
mannok,industrials,building materials & fixtures,derrylin,1973
medtronic,health care,medical equipment,dublin,1949
meteor,telecommunications,mobile telecommunications,dublin,1998
metro,consumer services,travel & tourism,belfast,1973
musgrave group,consumer services,food retailers & wholesalers,cork,1876
national lottery,consumer services,gambling,dublin,1987
ni railways,consumer services,travel & tourism,belfast,1967
norkom,technology,software,dublin,1998
northern ireland electricity,utilities,conventional electricity,belfast,1991
northern ireland transport holding company,consumer services,travel & tourism,belfast,1967
ntr plc,utilities,alternative electricity,dublin,1978
oatfield,consumer goods,food products,letterkenny,1927
o'briens irish sandwich bars,consumer services,food retailers & wholesalers,dublin,1988
openet,technology,software,dublin,1999
paddy power,consumer services,gambling,dublin,1988
pat the baker,consumer goods,baked goods,granard,1953
permanent tsb,financials,life insurance,dublin,1884
penneys,consumer services,apparel retailers,dublin,1962
rabobank ireland,financials,banks,dublin,1994
raidio teilifis eireann,consumer services,broadcasting & entertainment,dublin,1960
ryanair,consumer services,airlines,dublin,1985
shire,health care,pharmaceuticals,dublin,1986
smart telecom,telecommunications,mobile telecommunications,dublin,1989
smurfit kappa,consumer goods,paper,dublin,1934
smyths,consumer services,specialty retailers,galway,1986
stobart air,consumer services,airlines,dublin,2014
supermac's,consumer services,food retailers & wholesalers,ballybrit,1978
supervalu,consumer services,food retailers & wholesalers,cork,1968
teilifis na gaeilge,consumer services,broadcasting & entertainment,baile na habhann,2007
tesco ireland,consumer services,food retailers & wholesalers,dublin,1997
the airporter,consumer services,travel & tourism,derry,1990
thomas crosbie holdings,consumer services,publishing,cork,1841
three ireland,telecommunications,fixed line telecommunications,dublin,2005
tipperary natural mineral water,consumer goods,beverages,borrisoleigh,1986
today fm,consumer services,broadcasting & entertainment,dublin,1997
trane technologies,conglomerate,-,swords,1871
transport infrastructure ireland,industrials,heavy construction,dublin,2015
virgin media television,consumer services,broadcasting & entertainment,dublin,1998
udg healthcare,health care,pharmaceuticals,dublin,1948
ulster bank,financials,banks,dublin,1836
ulsterbus foyle,consumer services,travel & tourism,derry,2006
ulsterbus,consumer services,travel & tourism,belfast,1967
vhi healthcare,financials,life insurance,purcellsinch,1957
virgin media ireland,telecommunications,fixed line telecommunications,dublin,2005
vizor,technology,software,dublin,2000
vodafone ireland,telecommunications,mobile telecommunications,dublin,1984
wireless group,consumer services,broadcasting & entertainment,belfast,2007
wrightbus,industrials,commercial vehicles & trucks,ballymena,1946
asl airlines hungary,consumer services,airlines,budapest,1990
association of hungarian record companies,consumer services,broadcasting & entertainment,budapest,1992
balabit,technology,computer services,budapest,2000
bkv zrt,consumer services,travel & tourism,budapest,1968
borsod brewery,consumer goods,brewers,bocs,1969
borsodchem,basic materials,specialty chemicals,budapest,1949
budapest aircraft service,consumer services,airlines,budapest,1991
cba,consumer services,food retailers & wholesalers,alsonemedi,1992
amc networks international central europe,consumer services,broadcasting & entertainment,budapest,2014
cib bank,financials,banks,budapest,1979
cinema city hungary,consumer services,recreational services,budapest,1997
cityline hungary,consumer services,airlines,vecses,2003
cls music,consumer services,broadcasting & entertainment,budapest,2002
corvin film,consumer services,broadcasting & entertainment,budapest,1914
corvus hungary,industrials,aerospace,balloszog,2011
csepel,consumer goods,automobiles,szigetszentmiklos,1944
danubius hotels group,consumer services,hotels,budapest,1972
digital reality,technology,software,budapest,1991
dreher brewery,consumer goods,brewers,budapest,1854
fegyver- es gepgyar,industrials,building materials & fixtures,budapest,1891
fhb mortgage bank,financials,banks,budapest,1997
ganz works,consumer goods,automobiles,budapest,1844
richter gedeon co,health care,pharmaceuticals,budapest,1901
gramy records,consumer services,broadcasting & entertainment,budapest,1999
graphisoft,technology,software,budapest,1982
gundel,consumer services,restaurants & bars,budapest,1910
gyori keksz,consumer goods,food products,gyor,1880
halozat tv,consumer services,broadcasting & entertainment,budapest,2002
hell energy,consumer goods,food & beverage,miskolc,2006
herend porcelain manufactory,consumer goods,durable household products,herend,1826
hungarian national bank,financials,banks,budapest,1924
hungarian state railways,industrials,railroads,budapest,1869
hungaroton,consumer services,broadcasting & entertainment,budapest,1951
hunnia film studio,consumer services,broadcasting & entertainment,budapest,
ikarus bus,industrials,commercial vehicles & trucks,budapest,1895
international training center for bankers,financials,banks,budapest,1988
invictus games,technology,software,debrecen,2000
ip systems,technology,software,budapest,2008
iwiw,technology,internet,budapest,2002
k&h bank,financials,banks,budapest,1987
lehel,consumer goods,durable household products,jaszbereny,1945
magyar posta,industrials,delivery services,budapest,1867
magyar telekom,telecommunications,fixed line telecommunications,budapest,1991
mal hungarian aluminium,basic materials,aluminum,ajka,1995
malev,consumer services,airlines,budapest,1956
match,consumer services,food retailers & wholesalers,budapest,1952
mkb bank,financials,banks,budapest,1950
mol group,oil & gas,exploration & production,budapest,1957
mtva,consumer services,broadcasting & entertainment,budapest,2011
mvk zrt,consumer services,travel & tourism,miskolc,1954
mvm group,utilities,conventional electricity,budapest,1948
neocoregames,technology,software,budapest,2005
oncotherm,health care,medical equipment,budapest,1988
organica technologies,utilities,water,budapest,1998
orion electronics,industrials,electronic equipment,budapest,1913
otp bank,financials,banks,budapest,1949
pannon,telecommunications,mobile telecommunications,torokbalint,1994
pannonia film studio,consumer services,broadcasting & entertainment,budapest,1956
panrusgaz,oil & gas,exploration & production,budapest,1994
pecs brewery,consumer goods,brewers,pecs,1848
pick szeged,consumer goods,food products,szeged,1869
prezi,technology,software,budapest,2009
puli space technologies,industrials,aerospace,budapest,2010
raba,consumer goods,automobiles,gyor,1896
scarab research,technology,software,budapest,2009
state printing company,consumer services,publishing,budapest,1851
szerencsejatek zrt,consumer services,gambling,budapest,1991
takarekbank,financials,banks,budapest,1989
thalesnano,industrials,electronic equipment,budapest,2002
tisza cipo,consumer goods,clothing & accessories,martfu,1942
torley,consumer goods,distillers & vintners,budapest,1882
travel service,consumer services,airlines,budapest,2001
trigranit,financials,real estate holding & development,budapest,1997
tungsram,industrials,electrical components & equipment,ujpest,1896
turner broadcasting system hungary,consumer services,broadcasting & entertainment,budapest,
upc magyarorszag,telecommunications,fixed line telecommunications,budapest,1998
videoton,consumer goods,consumer electronics,szekesfehervar,1938
virusbuster,technology,computer services,budapest,1997
vodafone hungary,telecommunications,mobile telecommunications,budapest,1999
wizz air,consumer services,airlines,budapest,2003
zen studios,technology,software,budapest,2003
zsolnay,consumer goods,durable household products,pecs,1853
zwack,consumer goods,distillers & vintners,budapest,1790
4e tv,consumer services,media,thessaloniki,1994
abea,consumer goods,food products,chania,1889
achaia clauss,consumer goods,beverages,patras,1861
