name,industry,sector,headquarters,founded
nyfors,technology,telecommunications equipment,stockholm,1987
nynas,oil & gas,exploration & production,stockholm,1928
odd molly,consumer goods,clothing & accessories,stockholm,2002
ohlins,consumer goods,auto parts,upplands vasby,1976
onoff,consumer services,broadline retailers,upplands vasby,1971
orexo,health care,pharmaceuticals,uppsala,1995
oriflame,consumer goods,personal products,stockholm,1967
orrefors glassworks,industrials,building materials & fixtures,orrefors,1898
oskarshamn shipyard,industrials,commercial vehicles & trucks,oskarshamn,1863
ovako,basic materials,iron & steel,stockholm,1969
pagen,consumer goods,food products,malmo,1878
paradox interactive,technology,software,stockholm,1999
peab,industrials,heavy construction,forslov,1959
peltarion,technology,software,stockholm,2004
phadia,health care,medical equipment,uppsala,1971
pharmacia,health care,pharmaceuticals,stockholm,1911
polarbrod,consumer goods,food products,alvsbyn,1972
postnord,industrials,delivery services,solna,2009
postnord sverige,industrials,delivery services,solna,1636
primus ab,consumer goods,household goods,stockholm,1892
pripps,consumer goods,brewers,gothenburg,1828
profoto,industrials,building materials & fixtures,stockholm,1968
ps communication,industrials,business support services,stockholm,1997
ratos,financials,real estate holding & development,stockholm,1933
readsoft,technology,software,helsingborg,1991
recipharm,health care,pharmaceuticals,haninge,1995
rederi ab slite,consumer services,travel & tourism,gothenburg,1947
remograph,technology,software,linkoping,2005
resurs holding,financials,banks,helsingborg,2001
saab automobile,consumer goods,automobiles,trollhattan,1945
saab group,industrials,aerospace,stockholm,1937
samlogic,technology,software,stockholm,1992
sandvik,industrials,industrial engineering,stockholm,1862
sas group,consumer services,airlines,solna,1946
sca,basic materials,paper,stockholm,1929
scalado,technology,software,lund,2000
scandic hotels,consumer services,hotels,stockholm,1963
scania ab,consumer goods,automobiles,sodertalje,1891
seavus,technology,software,malmo,1999
seb group,financials,investment services,stockholm,1972
sector3 studios,technology,software,lidkoping,2003
securitas,industrials,business support services,stockholm,1934
securitas direct,industrials,business support services,malmo,1988
semcon,industrials,business support services,gothenburg,1980
sf studios,consumer services,broadcasting & entertainment,stockholm,1919
siba,consumer services,specialty retailers,gothenburg,1951
silva compass,consumer goods,recreational products,stockholm,1932
simogo,technology,software,malmo,2010
sj ab,consumer services,travel & tourism,stockholm,2001
skandia,financials,investment services,stockholm,1855
skandinaviska banken,financials,banks,gothenburg,1864
skanska,industrials,heavy construction,stockholm,1887
skelleftea kraft,utilities,conventional electricity,skelleftea,1906
skf,industrials,industrial suppliers,gothenburg,1907
skygoblin,technology,software,gothenburg,2005
smart eye,technology,software,gothenburg,1999
sodra,basic materials,paper,vaxjo,1938
specma,industrial,industrial engineering,gothenburg,1918
spendrups,consumer goods,brewers,stockholm,1897
spotify,technology,internet,stockholm,2006
sr international  radio sweden,consumer services,broadcasting & entertainment,stockholm,1938
ssab,basic materials,iron & steel,stockholm,1978
starbreeze studios,technology,software,stockholm,1998
stena line,consumer services,travel & tourism,gothenburg,1962
stena sphere,conglomerates,-,gothenburg,1939
stiga,consumer goods,durable household products,eskilstuna,1934
stockholm stock exchange,financials,investment services,stockholm,1863
stockholenskilda bank,financials,banks,stockholm,1856
studsvik,utilities,conventional electricity,nykoping,1947
sveriges television,consumer services,broadcasting & entertainment,stockholm,1956
sweco,industrials,business support services,stockholm,1997
swedbank,financials,banks,stockholm,1820
swedish match,consumer goods,tobacco,stockholm,1915
swedish meats,livestock,meat,stockholm,
swedish orphan biovitrum,health care,health care providers,stockholm,2001
swedish space corporation,industrials,aerospace,solna,1972
swegon,industrials,industrial machinery,gothenburg,2005
symsoft,telecommunications,mobile telecommunications,stockholm,1989
syncron international ab,technology,software,stockholm,1990
tarsier studios,technology,software,malmo,2004
tele2,telecommunications,fixed line telecommunications,stockholm,1993
telelogic,technology,software,malmo,1983
telia company,telecommunications,mobile telecommunications,stockholm,2003
teracom,consumer services,broadcasting & entertainment,stockholm,1992
terranet ab,telecommunications,mobile telecommunications,lund,2004
tetra pak,industrials,containers & packaging,lund,1951
thule group,consumer goods,automobiles,hillerstorp,1942
tradedoubler,technology,internet,stockholm,1999
transmode,telecommunications,fixed line telecommunications,stockholm,2000
trelleborg,industrials,business support services,trelleborg,1905
truecaller,technology,software,stockholm,2009
trustly,financials,banks,stockholm,2008
tv4 group,consumer services,broadcasting & entertainment,stockholm,1984
uddeholab,basic materials,iron & steel,hagfors,1668
umea energi,utilities,conventional electricity,umea,1887
urbanears,consumer goods,recreational products,stockholm,2009
v&s group,consumer goods,soft drinks,stockholm,1917
vabis,industrials,diversified industrials,sodertalje,1891
vattenfall,utilities,conventional electricity,stockholm,1909
vida ab,basic materials,forestry,alvesta,1969
volvo,industrials,commercial vehicles & trucks,gothenburg,1927
volvo buses,industrials,commercial vehicles & trucks,gothenburg,1968
volvo financial services,financials,investment services,gothenburg,2001
volvo penta,consumer goods,auto parts,skovde,1907
volvo trucks,industrials,commercial vehicles & trucks,gothenburg,1928
vsm group,consumer goods,durable household products,huskvarna,1872
wallenius lines,industrials,marine transportation,stockholm,1934
wasabrod,consumer goods,food products,skelleftea,1919
wayne's coffee,consumer services,restaurants & bars,stockholm,1994
wesc,consumer goods,clothing & accessories,stockholm,1999
wg film,consumer services,broadcasting & entertainment,malmo,1994
wm-data,technology,software,stockholm,1969
x5 music group,consumer services,broadcasting & entertainment,stockholm,2003
3scale,technology,software,barcelona,2007
abengoa,conglomerates,-,seville,1941
abertis,conglomerates,-,barcelona,2003
acciona,industrials,heavy construction,alcobendas,1997
acerinox,basic materials,iron & steel,madrid,1970
acs group,industrials,heavy construction,madrid,1997
afinsa,consumer services,specialty retailers,madrid,1980
akamon entertainment,technology,software,barcelona,2011
almirall,health care,pharmaceuticals,barcelona,1943
amadeus it group,technology,software,madrid,1987
astilleros y talleres del noroeste,industrials,shipbuilding,fene,1944
atresmedia,consumer services,broadcasting & entertainment,san sebastian de los reyes,1988
balay,consumer goods,durable household products,zaragoza,1947
banco bilbao vizcaya argentaria,financials,banks,bilbao,1857
banco popular espanol,financials,banks,madrid,1926
banco sabadell,financials,banks,sabadell,1881
banco santander,financials,banks,santander,1857
banesto,financials,banks,madrid,1902
bankinter,financials,banks,madrid,1965
bassols 1790,consumer goods,textiles,vic,1790
bolsas y mercados espanoles,financials,banks,madrid,1831
brb internacional,consumer services,broadcasting & entertainment,alcobendas,1972
budgetplaces,consumer services,travel & tourism,barcelona,2003
calidad pascual,consumer goods,food & beverage,madrid,1969
catuav,industrials,aerospace,moia,2007
chupa chups,consumer goods,food products,barcelona,1958
cie automotive,consumer goods,auto parts,bilbao,2002
cintra,industrials,heavy construction,madrid,1998
cepsa,oil & gas,exploration & production,madrid,1929
compania logistica de hidrocarburos,utilities,oil & gas distribution,madrid,1927
construcciones aeronauticas sa,industrials,aerospace,madrid,1923
construcciones y auxiliar de ferrocarriles,industrials,commercial vehicles & trucks,beasain,1917
copisa,industrials,heavy construction,barcelona,1959
correos,industrials,delivery services,madrid,1716
cortefiel,consumer services,apparel retailers,madrid,1880
cupra,consumer goods,automobiles,martorell,2018
curaxys,health care,biotechnology,cadiz,2009
deoleo,consumer goods,food products,cordoba,1955
dia,consumer services,food retailers & wholesalers,las rozas,1979
ebro foods,consumer goods,food products,madrid,1998
ebro trucks,consumer goods,automobiles,barcelona,1954
el corte ingles,consumer services,food retailers & wholesalers,madrid,1940
enagas,utilities,oil & gas distribution,madrid,1972
endesa,utilities,conventional electricity,madrid,1944
eroski,consumer services,food retailers & wholesalers,elorrio,1969
euskaltel,telecommunications,fixed line telecommunications,derio,1995
fagor,consumer goods,durable household products,mondragon,1956
ferrovial,industrials,heavy construction,madrid,1952
festina,consumer goods,clothing & accessories,barcelona,1902
fierro group,conglomerates,-,madrid,1961
fomento de construcciones y contratas,industrials,heavy construction,barcelona,1900
gamesa,oil & gas,renewable energy equipment,zamudio,1976
naturgy,utilities,oil & gas distribution,madrid,1991
gmv innovating solutions,conglomerates,-,tres cantos,1984
grundig mobile,technology,telecommunications equipment,malaga,2005
grupo agbar,utilities,water,barcelona,1867
grupo antolin,consumer goods,auto parts,burgos,1950
grupo calvo,consumer goods,food products,carballo,1940
grupo gea perona,utilities,oil & gas distribution,murcia,1927
grupo lo monaco,consumer goods,furnishings,granada,1996
grupo puma,industrials,building materials & fixtures,madrid,1985
hijos de rivera,consumer goods,brewers,a coruna,1906
hipercor,consumer services,food retailers & wholesalers,madrid,1979
iberdrola,utilities,conventional electricity,bilbao,1992
iberia,consumer services,airlines,madrid,1927
idilia foods,consumer goods,food products,barcelona,1940
inditex,consumer services,apparel retailers,arteixo,1985
insistemas,industrials,aerospace,madrid,1993
inmobiliaria colonial,financials,real estate holding & development,madrid,1946
irizar,industrials,commercial vehicles & trucks,ormaiztegi,1889
joma,consumer goods,clothing & accessories,portillo de toledo,1965
kelme,consumer services,apparel retailers,elche,1977
la caixa,financials,banks,valencia,1990
la casera,consumer services,food retailers & wholesalers,madrid,1949
lacasa,consumer goods,food products,zaragoza,1852
lladro,consumer goods,recreational products,tavernes blanques,1953
llaollao,consumer goods,food products,murcia,2009
mahou san miguel,consumer goods,brewers,madrid,1890
majorica,consumer goods,clothing & accessories,palma,1890
mango,consumer services,apparel retailers,palau-solita i plegamans,1984
mapfre,financials,full line insurance,majadahonda,1933
marfeel,technology,software,barcelona,2011
mediaset espana comunicacion,consumer services,broadcasting & entertainment,madrid,1989
melia hotels international,consumer services,hotels,palma,1956
mercadona,consumer services,food retailers & wholesalers,tavernes blanques,1977
mondragon corporation,conglomerates,-,mondragon,1956
mutua madrilena,financials,full line insurance,madrid,1930
naipes heraclio fournier,industrials,recreational products,vitoria-gasteiz,1868
natra,conglomerates,-,valencia,1943
navantia,industrials,shipbuilding,madrid,2005
nh hotel group,consumer services,hotels,madrid,1978
nodosa shipyard,industrials,shipbuilding,bueu,1982
obrascon huarte lain,industrials,heavy construction,madrid,1999
orbea,consumer goods,recreational products,mallabia,1931
pacha group,consumer services,travel & tourism,ibiza,1967
pescanova,consumer goods,food products,redondela,1960
planeta group,consumer services,publishing,barcelona,1949
porcelanosa,industrials,building materials & fixtures,villarreal,1973
prisa tv,consumer services,broadcasting & entertainment,tres cantos,1989
private media group,consumer services,broadcasting & entertainment,barcelona,1965
prosegur,industrials,business support services,madrid,1976
pyro studios,technology,software,alcobendas,1996
red electrica de espana,utilities,conventional electricity,alcobendas,1985
renfe,consumer services,travel & tourism,madrid,2005
repsol,oil & gas,integrated oil & gas,madrid,1987
rtve,consumer services,broadcasting & entertainment,madrid,2007
riu hotels,consumer services,hotels,majorca,1953
sacyr,industrials,heavy construction,madrid,1999
santana motor,consumer goods,automobiles,linares,1956
seat,consumer goods,automobiles,martorell,1950
sener,industrials,heavy construction,getxo,1956
sener aeronautica,industrials,aerospace,getxo,1956
talgo,industrials,commercial vehicles & trucks,las rozas de madrid,1942
tecnicas reunidas,oil & gas,oil equipment & services,madrid,1959
telefonica,telecommunications,fixed line telecommunications,madrid,1924
telepizza,consumer services,restaurants & bars,madrid,1987
terra,technology,internet,madrid,1999
uralita group,industrials,building materials & fixtures,madrid,1907
vidal,consumer goods,food products,molina de segura,1963
vitelcom,consumer goods,consumer electronics,malaga,2001
vodafone spain,telecommunications,mobile telecommunications,madrid,2000
vueling,consumer services,airlines,barcelona,2004
zara,consumer services,apparel retailers,arteixo,1974
zinkia entertainment,consumer services,broadcasting & entertainment,madrid,2001
academa,technology,software,ljubljana,1992
adria airways,consumer services,airlines,zgornji brnik,1961
adria mobil,consumer goods,automobiles,novo mesto,1965
akrapovic,consumer goods,automobiles,ivancna gorica,1990
alpina ziri,consumer goods,footwear,ziri,1948
amebis,technology,software,kamnik,2012
amis,telecommunications,fixed line telecommunications,maribor,1995
btc,consumer services,broadline retailers,ljubljana,1954
elan,consumer goods,recreational products,begunje na gorenjskem,1945
goodyear dunlop sava tires,consumer goods,automobiles,kranj,1998
gorenje,consumer goods,durable household products,velenje,1950
iskra company,industrials,diversified industrials,kranj,1946
istrabenz,conglomerates,-,koper,1948
krka,health care,pharmaceuticals,novo mesto,1954
litostroj,industrials,industrial machinery,ljubljana,1946
ljubljana joze pucnik airport,industrials,transportation services,ljubljana,1963
mercator,consumer services,food retailers & wholesalers,ljubljana,1949
mobitel,telecommunications,mobile telecommunications,ljubljana,1991
petrol group,consumer services,specialty retailers,ljubljana,1947
port of koper,industrials,transportation services,koper,1957
post of slovenia,industrials,delivery services,maribor,1995
slovenian railways,industrials,railroads,ljubljana,1991
slovenija ceste tehnika,industrials,construction & materials,ljubljana,1943
solinair,consumer services,airlines,ljubljana,1991
tomos,consumer goods,automobiles,koper,1954
xlab doo,technology,software,ljubljana,2001
zootfly,technology,software,ljubljana,2002
air slovakia,consumer services,airlines,bratislava,1993
cestne a stavebne mechanizmy tisovec,industrials,defense,detva,1955
doprastav,industrials,heavy construction,bratislava,1953
elnec,industrials,electronic equipment,presov,1991
eset,technology,computer services,bratislava,1992
glass lps,consumer goods,durable household products,medzilaborce,1999
istrobanka,financials,banks,bratislava,1992
j&t finance group,financials,investment services,bratislava,1993
jtre,real estate,real estate management & development,bratislava,1996
jj electronic,industrials,electrical components & equipment,cadca,1993
komercni banka bratislava,financials,banks,bratislava,1995
matador,consumer goods,tires,puchov,1947
ofz as istebne,basic materials,iron & steel,istebne,1999
orange slovensko,telecommunications,mobile telecommunications,bratislava,1997
penta investments,financials,investment services,bratislava,1994
postova banka,financials,banks,bratislava,1992
saris brewery,consumer goods,brewers,velky saris,1964
slovak airlines,consumer services,airlines,bratislava,1995
slovak telekom,telecommunications,fixed line telecommunications,bratislava,1999
slovalco,basic materials,aluminum,ziar nad hronom,1993
slovart music,consumer services,broadcasting & entertainment,bratislava,1993
slovenska posta,industrials,delivery services,banska bystrica,1993
slovenska sporitelna,financials,banks,bratislava,1819
slovenske elektrarne,utilities,conventional electricity,bratislava,1942
slovensky plynarensky priemysel,oil & gas,exploration & production,bratislava,2006
slovnaft,oil & gas,exploration & production,bratislava,1949
sygic,technology,software,bratislava,2004
tatra banka,financials,banks,bratislava,1990
o2 slovakia,telecommunications,mobile telecommunications,bratislava,2006
topvar,consumer goods,brewers,velky saris,1957
transpetrol as,oil & gas,pipelines,bratislava,1954
us steel kosice,basic materials,iron & steel,kosice,2000
vagonka,industrials,commercial vehicles & trucks,trebisov,1922
zeleznicna spolocnost slovensko,industrials,railroads,bratislava,2004
zlaty bazant,consumer goods,brewers,hurbanovo,1969
adevarul holding,consumer services,publishing,bucharest,2008
angst,consumer services,food retailers & wholesalers,buftea,1990
antibiotice iasi,health care,pharmaceuticals,iasi,1955
apulum,consumer goods,durable household products,alba iulia,1970
arctic sa,consumer goods,durable household products,gaesti,1968
automobile dacia,consumer goods,automobiles,mioveni,1966
banca comerciala romana,financials,banks,bucharest,1990
banca transilvania,financials,banks,cluj-napoca,1993
blue air,consumer services,airlines,bucharest,2004
brd  groupe societe generale,financials,banks,bucharest,1923
caile ferate romane,industrials,railroads,bucharest,1880
continental hotels,consumer services,hotels,bucharest,1991
dedeman,consumer services,retail services,bacau,1992
european drinks & foods,consumer goods,food products,stei,1993
farmec,consumer goods,personal products,cluj-napoca,1993
ford romania,consumer goods,automobiles,craiova,1976
gecad software,technology,software,bucharest,1992
grup feroviar roman,industrials,railroads,bucharest,2001
intact media group,consumer services,media agencies,bucharest,1991
jolidon,consumer goods,clothing & accessories,cluj-napoca,1993
mangalia shipyard,industrials,commercial vehicles & trucks,mangalia,1997
mega image,consumer services,food retailers & wholesalers,bucharest,1995
metrorex,consumer services,travel & tourism,bucharest,1976
mobexpert,consumer services,specialty retailers,bucharest,1993
napolact,consumer goods,food products,cluj-napoca,1905
orange romania,telecommunications,mobile telecommunications,bucharest,1997
petrom,oil & gas,integrated oil & gas,bucharest,1991
petromidia refinery,oil & gas,exploration & production,navodari,1974
posta romana,industrials,delivery services,bucharest,1862
raiffeisen romania,financials,banks,bucharest,1998
rcs & rds,telecommunications,fixed line telecommunications,bucharest,1993
realitatea-catavencu,consumer services,media agencies,bucharest,2006
regiotrans,consumer services,travel & tourism,brasov,2005
roman,industrials,commercial vehicles & trucks,brasov,1921
rompetrol,oil & gas,exploration & production,bucharest,1974
romstal,industrials,industrial suppliers,bucharest,1994
romtelecom,telecommunications,fixed line telecommunications,bucharest,1989
siveco romania,technology,software,bucharest,1992
softpedia,technology,software,bucharest,2001
softwin,technology,software,bucharest,1990
tarom,consumer services,airlines,otopeni,1954
tehnoton,consumer goods,consumer electronics,iasi,1972
telekom romania,telecommunications,fixed line telecommunications & mobile telecommunications,bucharest,1991
terapia ranbaxy,health care,pharmaceuticals,cluj-napoca,1920
tiriac holdings,conglomerates,-,bucharest,1990
transferoviar grup,industrials,railroads,cluj-napoca,2003
trilulilu,technology,internet,cluj-napoca,2007
ubisoft bucharest,technology,software,bucharest,1992
upc romania,telecommunications,fixed line telecommunications,bucharest,1992
ursus breweries,consumer goods,brewers,bucharest,1878
uti holdings,conglomerates,-,bucharest,1990
vodafone romania,telecommunications,mobile telecommunications,bucharest,1997
zentiva,health care,pharmaceuticals,bucharest,1962
altri,basic materials,paper,porto,2005
ambar  ideas on paper sa,industrials,industrial suppliers,porto,1939
banco comercial portugues,financials,banks,porto,1985
bial,health care,pharmaceuticals,trofa,1924
caixa geral de depositos,financials,banks,lisbon,1876
carris,consumer services,travel & tourism,lisbon,1872
central de cervejas,consumer goods,brewers,vila franca de xira,1934
chipidea,technology,semiconductors,oeiras,1997
churchill's port,wine making,port wine,porto,1981
ciberbit,technology,software,coimbra,1995
cimpor,industrials,building materials & fixtures,lisbon,1976
cms-helmets,consumer goods,clothing & accessories,anadia,1976
cofina,consumer services,publishing,porto,1856
comboios de portugal,consumer services,travel & tourism,lisbon,1856
conservas ramirez,consumer goods,food products,matosinhos,1853
continente,consumer services,food retailers & wholesalers,matosinhos,1985
corticeira amorim,basic materials,industrial suppliers,santa maria da feira,1870
critical software,technology,software,coimbra,1998
ctt correios de portugal sa,industrials,delivery services,lisbon,1520
delta cafes,consumer goods,food products,campo maior,1961
efacec,industrials,electronic equipment,matosinhos,1948
energias de portugal,utilities,conventional electricity,lisbon,1976
fabrica nacional de municoes de armas ligeiras,industrials,defense,lisbon,1947
galp energia,utilities,gas distribution,lisbon,1999
glintt,technology,software,lisbon,2008
grupo jose de mello,conglomerates,-,lisbon,1986
iberomoldes,industrials,general industries,marinha grande,1975
impresa,consumer services,media,oeiras,1972
jeronimo martins,consumer services,retail,lisbon,1792
lactogal,consumer goods,food & beverage,porto,1996
logoplaste,industrials,diversified industrials,cascais,1976
martifer,industrials,heavy construction,oliveira de frades,1990
media capital,consumer services,broadcasting & entertainment,oeiras,1988
medinfar,health care,pharmaceuticals,lisbon,1970
meo,telecommunications,mobile telecommunications,lisbon,1991
montepio,financials,banks,lisbon,1840
mota-engil,industrials,general industries,porto,1946
move interactive,technology,software,cascais,2008
nos,telecommunications,fixed line telecommunications,lisbon,1994
novabase,technology,software,lisbon,1989
novo banco,financials,banks,lisbon,2014
pingo doce,consumer services,food retailers & wholesalers,lisbon,1980
porto editora,consumer services,publishing,porto,1944
portugal telecom,telecommunications,fixed line telecommunications,lisbon,1994
quidgest,technology,software,lisbon,1988
radio e televisao de portugal,consumer services,broadcasting & entertainment,lisbon,1935
redes energeticas nacionais,utilities,conventional electricity,lisbon,1994
renova,basic materials,paper,torres novas,1939
sapo,telecommunications,fixed line telecommunications,lisbon,1995
semapa,industrials,building materials & fixtures,lisbon,1991
simoldes,industrials,diversified industrials,oliveira de azemeis,1959
soares da costa,industrials,heavy construction,porto,1918
sic,consumer services,broadcasting & entertainment,lisbon,1992
sonae industria,industrials,diversified industrials,maia,1959
sonae,conglomerates,-,maia,1959
sovena group,consumer goods,farming & fishing,oeiras,1956
sumol compal,consumer goods,food products,oeiras,2008
tabaqueira,consumer goods,tobacco,lisbon,1927
tap air portugal,consumer services,airlines,lisbon,1945
televisao independente,consumer services,broadcasting & entertainment,oeiras,1993
the navigator company,basic materials,paper,setubal,2001
tranquilidade,financials,full line insurance,lisbon,1871
tupam editores,consumer services,publishing,lisbon,1977
umm,industrials,diversified industrials,lisbon,1977
unicer brewery,consumer goods,brewers,matosinhos,1890
uniplaces,technology,internet,lisbon,2012
visabeira,conglomerates,-,viseu,1980
vista alegre,consumer goods,durable household products,ilhavo,1824
11 bit studios,technology,software,warsaw,2010
adamow coal mine,basic materials,coal,turek,1979
alior bank,financials,banks,warsaw,2008
amica,consumer goods,durable household products,wronki,1945
asseco,technology,software,rzeszow,1991
bank millennium,financials,banks,warsaw,1989
bank pekao,financials,banks,warsaw,1929
bechatow coal mine,basic materials,coal,bechatow,1955
biedronka,consumer services,food retailers & wholesalers,kostrzyn,1995
bochnia salt mine,basic materials,general mining,bochnia,1248
bogdanka coal mine,basic materials,coal,lublin voivodeship,1975
brainly,technology,software,krakow,2009
browar omza,consumer goods,brewers,omza,1968
carlsberg polska,consumer goods,brewers,warsaw,2004
cd projekt,technology,software,warsaw,1994
comarch,technology,software,krakow,1993
elbrewery,consumer goods,brewers,elblag,1998
elektrim,industrials,diversified industrials,warsaw,1992
enea sa,utilities,conventional electricity,poznan,2003
ericpol,technology,software,odz,1991
fablok,industrials,commercial vehicles & trucks,chrzanow,1919
fabryka samochodow maolitrazowych,consumer goods,automobiles,bielsko-biaa,1948
fabryka samochodow osobowych,consumer goods,automobiles,warszawa,1948
ft-krasnik,industrials,diversified industrials,krasnik,1938
fasing sa,industrials,diversified industrials,katowice,1913
gaworzyce mine,basic materials,nonferrous metals,gaworzyce,2004
gaz-system,utilities,gas distribution,warsaw,2004
gogow geboki-przemysowy mine,basic materials,nonferrous metals,polkowice,2004
grupa azoty,chemical industry,specialty chemicals,tarnow,1927
grupa lotos,oil & gas,exploration & production,gdansk,2003
gubin coal mine,basic materials,coal,gubin,1955
halemba coal mine,basic materials,coal,ruda slaska,1897
hortex,consumer goods,food products,warsaw,1958
ing bank slaski,financials,banks,katowice,1988
iti group,consumer services,broadcasting & entertainment,warsaw,1984
jabkowski brothers,consumer services,retail,warsaw,1884
jsw,basic materials,coal,jastrzebie-zdroj,1993
kghm polska miedz,basic materials,nonferrous metals,lubin,1961
kino polska,consumer services,broadcasting & entertainment,warsaw,2003
kodawa salt mine,basic materials,general mining,kodawa,1950
kompania piwowarska,consumer goods,brewers,poznan,1999
kompania weglowa,basic materials,coal,katowice,2003
lech browary wielkopolski,consumer goods,brewers,poznan,1975
livechat software,technology,software,wrocaw,2002
lot polish airlines,consumer services,airlines,warsaw,1929
lpp,consumer services,apparel retailers,gdansk,1991
maspex,food,food concern,wadowice,1990
multikino,consumer services,recreational services,warsaw,1998
netia,telecommunications,fixed line telecommunications,warsaw,1990
okocim brewery,consumer goods,brewers,brzesko,1845
optimus sa,technology,computer hardware,warsaw,1988
orange polska,telecommunications,mobile telecommunications,warsaw,1991
pesa sa,industrials,commercial vehicles & trucks,bydgoszcz,1851
pgnig,oil & gas,exploration & production,warsaw,1976
pkn orlen,oil & gas,exploration & production,pock,1999
play,telecommunications,mobile telecommunications,warsaw,2007
plus,telecommunications,mobile telecommunications,warsaw,1995
poczta polska,consumer services,delivery services,warsaw,1558
polcast television,consumer services,broadcasting & entertainment,warsaw,2006
polish state railways,industrials,railroads,warsaw,1926
polsat,consumer services,broadcasting & entertainment,warsaw,1992
polska grupa energetyczna,utilities,conventional electricity,warsaw,1990
polsteam,industrials,delivery services,szczecin,1951
powszechna kasa oszczednosci bank polski,financials,banks,warsaw,1948
powszechny zakad ubezpieczen,financials,full line insurance,warsaw,1803
pronar,consumer goods,machinery,narew,1988
przedsiebiorstwo komunikacji samochodowej,consumer services,travel & tourism,biaystok,1945
przewozy regionalne,consumer services,travel & tourism,warsaw,2001
pse polskie sieci elektroenergetyczne,utilities,conventional electricity,konstancin-jeziorna,2004
pudliszki,food products,fruit and vegetable processing,pudliszki,1847
qumak,technology,software,warsaw,1985
smyk department store,consumer services,general retailers,warszawa,2000
solaris bus & coach,industrials,commercial vehicles & trucks,bolechowo,2001
tele-fonika kable,industrials,diversified industrials,bydgoszcz,1920
telewizja polska,consumer services,broadcasting & entertainment,warsaw,1952
t-mobile polska,telecommunications,mobile telecommunications,warsaw,1996
tvn24,consumer services,broadcasting & entertainment,warsaw,2001
tvn 7,consumer services,broadcasting & entertainment,warsaw,2002
tvn group,consumer services,broadcasting & entertainment,warsaw,1995
tymbark,consumer goods,soft drinks,tymbark,1936
van pur,consumer goods,brewers,rakszawa,1989
wieliczka salt mine,consumer services,recreational services,wieliczka,1252
zabka,consumer services,food retailers & wholesalers,poznan,1998
zmt sa,industrials,defense,tarnow,1917
aalberts,industrials,electrical components & equipment,utrecht,1981
abellio,transport,"bus, ferry and train services",utrecht,2001
abn amro,financials,banks,amsterdam,1991
adyen,financials,payments industry,amsterdam,2006
accell group,consumer goods,recreational products,heerenveen,1998
aegon nv,financials,life insurance,the hague,1983
ahold delhaize,consumer services,food retailers & wholesalers,zaandam,2016
akzonobel,basic materials,specialty chemicals,amsterdam,1994
amstel brewery,consumer goods,brewers,zoeterwoude,1870
apm terminals,industrials,transportation services,the hague,2001
apollo vredestein bv,consumer goods,automobiles parts,amsterdam,1909
arcadis,industrials,engineering,amsterdam,1888
asml holding,industrials,industrial machinery,veldhoven,1984
asn bank,financials,banks,the hague,1960
atradius,financials,non-life insurance,amsterdam,1925
australian homemade,consumer services,restaurants & bars,veenendaal,1979
avebe,consumer goods,food products,veendam,1919
bavaria brewery,consumer goods,brewers,lieshout,1680
beter bed,consumer services,specialty retailers,uden,1981
blendle,technology,internet,utrecht,2013
bookingcom,consumer services,travel & tourism,amsterdam,1996
catawiki,technology,internet,amsterdam,2008
chipshol,real estate,real estate investment and services,amsterdam,1986
cnh global,industrials,commercial vehicles & trucks,amsterdam,1999
corendon dutch airlines,consumer services,airlines,lijnden,2010
daf trucks,consumer goods,automobiles,eindhoven,1993
damen group,industrials,industrial transportation & defense,gorinchem,1927
dockwise,industrials,marine transportation,breda,1993
donkervoort,consumer goods,automobiles,lelystad,1978
douwe egberts,consumer goods,soft drinks,utrecht,1753
dsm,health care,pharmaceuticals,heerlen,1902
ebuddy,technology,internet,amsterdam,2003
elsevier,consumer services,publishing,amsterdam,1880
endemol,consumer services,broadcasting & entertainment,amsterdam,1994
exact software,technology,software,delft,1984
exor,financials,investment services,amsterdam,1927
feadship,consumer goods,recreational products,haarlem,1949
fraba,industrials,industrial automation,heerlen,1918
frieslandcampina,consumer goods,food products,amersfoort,2008
fugro,oil & gas,exploration & production,leidschendam,1962
general logistics systems,industrials,delivery services,amsterdam,1999
grolsch brewery,consumer goods,brewers,enschede,1615
guerrilla games,technology,software,amsterdam,2000
g-star raw,consumer goods,apparel retailers,amsterdam,1989
heerema marine contractors,oil & gas,oil equipment & services,leiden,1948
heineken international,consumer goods,brewers,amsterdam,1864
hema,consumer goods,variety,amsterdam,1926
high-logic,technology,software,de bilt,1997
hotelsnl,consumer services,travel & tourism,groningen,2001
hunkemoller,consumer services,apparel retailers,hilversum,1886
hunter douglas,industrials,building,rotterdam,1919
ikea,consumer services,home improvement retailers,leiden,1942
ing group,financials,banks,amsterdam,1991
interxion,technology,datacentres,schiphol-rijk,1998
iptp networks,telecommunications,fixed line telecommunications,amsterdam,1996
jumbo,consumer goods,food retailers & wholesalers,veghel,1921
just eat takeaway,technology,consumer digital services,amsterdam,2000
klm,consumer services,airlines,amstelveen,1919
kpmg,industrials,business support services,amstelveen,1987
kpn,telecommunications,fixed line telecommunications,the hague,1852
landfighter,consumer goods,automobiles,best,2011
leaseplan,consumer services,rental and leasing services,amsterdam,1963
liander,utilities,conventional electricity,arnhem,2008
lucas bols,consumer goods,distillers & vintners,amsterdam,1575
martinair,consumer services,airlines,schiphol-oost,1958
