rank,name,in_2021_ranking,in_2020_ranking,country,sector,absolute_growth_rate_%,compound_annual_growth_rate_(cagr)_%,revenue_2020_(),revenue_2017_(),number_of_employees_2020,number_of_employees_2017,founding_year
678,glenholme healthcare group,no,no,uk,health,234.00,49.48,"14,845,073","4,476,517",415,132,2011
679,audensiel,yes,yes,france,technology,233.96,49.47,"57,451,279","17,203,160",720,230,2013
680,ivnosys,no,no,spain,technology,233.95,49.47,"8,743,069","2,618,069",106,34,2011
681,mulconsa,no,no,spain,construction,233.87,49.46,"6,687,402","2,002,982",45,30,2012
682,50nrth,no,no,germany,retail,233.75,49.44,"35,107,348","10,518,963",54,14,2004
683,delecto,no,no,croatia,retail,233.68,49.43,"2,649,288","793,957",10,6,2008
684,mardruk opakowania,no,no,poland,industrial goods,233.32,49.38,"3,226,645","1,058,063",47,7,2015
685,manang,no,no,france,construction,233.23,49.36,"6,205,559","1,862,272",40,15,2012
686,bestbion dx,no,no,germany,health,233.18,49.36,"14,863,628","4,461,170",27,21,2011
687,avamore capital,no,no,uk,financial services,232.57,49.27,"2,552,248","772,943",21,7,2015
688,solaris and more,no,no,germany,energy,231.75,49.14,"4,692,660","1,414,501",30,13,2011
689,clearcycle,no,no,uk,retail,231.73,49.14,"2,176,368","660,767",11,8,2015
690,opteamis,yes,yes,france,support services,231.45,49.10,"13,856,500","4,180,523",35,12,2005
691,codenor,no,no,spain,construction,231.36,49.08,"6,385,196","1,926,967",20,10,2010
692,happybulle,yes,no,france,ecommerce,231.14,49.05,"4,209,975","1,271,353",18,8,2015
693,aurora energy research,no,no,uk,energy,231.05,49.04,"15,079,425","4,587,687",158,46,2013
694,bacci,no,no,spain,fashion,231.00,49.03,"24,048,302","7,265,350",14,19,2003
695,emilia foods,yes,yes,italy,food & beverage,230.75,48.99,"26,824,140","8,110,160",25,8,2013
696,team - ti educa a migliorare,no,no,italy,health,230.22,48.91,"3,370,490","1,020,690",211,82,2001
697,brainhub,yes,no,poland,technology,230.16,48.90,"3,513,741","1,163,241",75,30,2016
698,assitech,yes,no,italy,construction,230.03,48.89,"2,675,750","810,750",9,10,2016
699,schott packaging,no,no,uk,ecommerce,229.61,48.82,"2,272,847","694,501",11,4,2016
700,alba,yes,no,italy,energy,229.36,48.78,"3,299,330","1,001,740",30,12,2010
701,fintru,yes,no,uk,financial services,229.03,48.73,"32,392,546","9,915,609",740,219,2013
702,global edilizia,no,no,italy,construction,228.55,48.66,"4,028,000","1,226,000",5,4,2011
703,tpximpact,no,no,uk,management consulting,228.30,48.62,"57,093,437","17,515,305",381,2,2016
704,lgs sportlab,no,no,italy,advertising,228.26,48.62,"4,014,220","1,222,870",9,6,2010
705,weiser brandschutz & technik,yes,no,germany,construction,227.87,48.56,"5,986,199","1,825,769",45,4,2005
706,fairfax and favor,no,no,uk,fashion,226.81,48.40,"18,178,322","5,602,279",47,13,2013
707,fao consulting,no,no,france,technology,226.39,48.34,"7,781,600","2,384,156",85,39,2014
708,gruppo del barba consulting,yes,yes,italy,financial services,226.35,48.33,"5,855,040","1,794,120",37,8,2010
709,exclaimer,yes,yes,uk,technology,226.05,48.28,"26,143,857","8,075,796",109,62,2003
710,join business management consulting,yes,no,italy,management consulting,225.69,48.23,"10,189,790","3,128,700",77,25,2013
711,vennes,no,no,germany,construction,225.10,48.14,"17,048,000","5,244,000",57,27,2003
712,piggy,no,no,the netherlands,technology,225.06,48.13,"2,946,126","906,341",31,7,2013
713,epassi,no,no,finland,fintech,224.82,48.10,"205,312,456","63,207,258",130,40,2007
714,atheneum partners,yes,yes,germany,technology,224.27,48.01,"33,400,000","10,300,000",315,150,2010
715,pharmacy2u,yes,no,uk,technology,223.91,47.96,"156,232,906","48,580,102",454,211,1999
716,phoenix developpement,no,no,france,support services,223.16,47.85,"1,797,294","556,159",18,6,2011
717,wiwie transport,no,no,germany,transport,223.08,47.83,"4,200,000","1,300,000",25,10,2016
718,mevas auto center,no,no,romania,automobiles,222.96,47.81,"2,595,034","834,708",31,23,2003
719,bk beachhouse mode,yes,no,germany,retail,222.78,47.79,"5,172,479","1,602,458",35,21,2015
720,flli urso,no,no,italy,construction,222.59,47.76,"2,009,090","622,800",9,3,2015
721,gohenry,yes,yes,uk,financial services,222.24,47.70,"22,020,382","6,882,489",166,61,2011
722,adrilog,yes,no,italy,transport,221.85,47.64,"57,057,180","17,727,950",816,634,2014
723,attachment,yes,yes,uk,advertising,221.77,47.63,"7,191,249","2,250,946",6,2,2015
724,paris herbes,yes,no,france,agricultural commodities,221.73,47.63,"12,934,943","4,020,469",25,15,2015
725,interlog logistic,no,no,france,transport,221.69,47.62,"5,480,946","1,703,819",28,37,2015
726,conglomerati bituminosi,yes,no,italy,construction,221.08,47.53,"33,371,870","10,393,680",75,34,1975
727,nikkel art,no,no,belgium,ecommerce,220.83,47.49,"3,762,160","1,172,617",26,5,2010
