name,master_cap,country,industry,sector
kingfisher plc,7100000000,united kingdom,home improvement retail,consumer discretionary
rightmove plc,7090000000,united kingdom,internet content & information,communication services
airtel africa plc,7020000000,united kingdom,telecom services,communication services
barratt developments plc,7020000000,united kingdom,residential construction,consumer discretionary
intermediate capital group plc,6770000000,united kingdom,asset management,financials
electrocomponents plc,6640000000,united kingdom,industrial distribution,industrials
british land company plc,6510000000,united kingdom,reitdiversified,real estate
endeavour mining corporation,6350000000,united kingdom,gold,basic materials
taylor wimpey plc,6250000000,united kingdom,residential construction,consumer discretionary
hargreaves lansdown plc,6250000000,united kingdom,asset management,financials
the unite group plc,6120000000,united kingdom,reitdiversified,real estate
janus henderson group plc,6100000000,united kingdom,asset management,financials
the berkeley group holdings plc,6070000000,united kingdom,residential construction,consumer discretionary
f&c investment trust plc,6060000000,united kingdom,asset management,financials
pepco group nv,6030000000,united kingdom,discount stores,consumer staples
howden joinery group plc,5980000000,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
nvent electric plc,5970000000,united kingdom,electrical equipment & parts,industrials
investec plc,"(jan. 1, 2022)",united kingdom,capital markets,financials
pennon group plc,5910000000,united kingdom,utilitiesregulated water,utilities
ds smith plc,5780000000,united kingdom,packaging & containers,consumer discretionary
the weir group plc,5740000000,united kingdom,specialty industrial machinery,industrials
dechra pharmaceuticals plc,5720000000,united kingdom,drug manufacturersgeneral,healthcare
sareum holdings plc,5600000000,united kingdom,biotechnology,healthcare
convatec group plc,5490000000,united kingdom,medical instruments & supplies,healthcare
tritax big box reit plc,5480000000,united kingdom,reitretail,real estate
farfetch limited,5290000000,united kingdom,internet retail,consumer discretionary
rit capital partners,5280000000,united kingdom,asset management,financials
mimecast limited,5120000000,united kingdom,softwareinfrastructure,technology
international game technology plc,5060000000,united kingdom,gambling,consumer discretionary
direct line insurance group plc,4920000000,united kingdom,insurancediversified,financials
derwent london plc,4820000000,united kingdom,reitoffice,real estate
imi plc,4790000000,united kingdom,specialty industrial machinery,industrials
johnson matthey plc,4790000000,united kingdom,specialty chemicals,basic materials
hicl infrastructure plc,4590000000,united kingdom,asset management,financials
wizz air holdings plc,4520000000,united kingdom,airlines,industrials
atotech ltd,4480000000,united kingdom,electronic components,technology
computacenter plc,4440000000,united kingdom,information technology services,technology
frasers group plc,4330000000,united kingdom,specialty retail,consumer discretionary
man group plc,4330000000,united kingdom,asset management,financials
royal mail plc,4310000000,united kingdom,integrated freight & logistics,industrials
softcat plc,4310000000,united kingdom,information technology services,technology
itv plc,4300000000,united kingdom,broadcasting,communication services
diploma plc,4250000000,united kingdom,industrial distribution,industrials
rotork plc,"(jan. 1, 2022)",united kingdom,specialty industrial machinery,industrials
abcam plc,4210000000,united kingdom,biotechnology,healthcare
future plc,4200000000,united kingdom,publishing,communication services
darktrace plc,4130000000,united kingdom,softwareinfrastructure,technology
3i infrastructure plc,4110000000,united kingdom,asset management,financials
drax group plc,4110000000,united kingdom,utilitiesrenewable,utilities
ig group holdings plc,4040000000,united kingdom,capital markets,financials
polar capital technology trust,4040000000,united kingdom,asset management,financials
nomad foods limited,4040000000,united kingdom,packaged foods,consumer staples
tate & lyle plc,4010000000,united kingdom,packaged foods,consumer staples
livanova plc,3990000000,united kingdom,medical devices,healthcare
william hill plc,"(march 13, 2021)",united kingdom,gambling,consumer discretionary
bellway plc,3950000000,united kingdom,residential construction,consumer discretionary
alliance trust plc,3930000000,united kingdom,asset management,financials
greencoat uk wind plc,3920000000,united kingdom,asset management,financials
atlantica sustainable infrastructure plc,3870000000,united kingdom,utilitiesrenewable,utilities
safestore holdings plc,3760000000,united kingdom,reitindustrial,real estate
homeserve plc,3720000000,united kingdom,specialty business services,industrials
the renewables infrastructure group limited,3710000000,united kingdom,asset management,financials
international public partnerships ld,3700000000,united kingdom,asset management,financials
renishaw plc,3660000000,united kingdom,scientific & technical instruments,technology
travis perkins plc,3630000000,united kingdom,building products & equipment,industrials
technipfmc plc,3580000000,united kingdom,oil & gas equipment & services,energy
watches of switzerland group plc,3570000000,united kingdom,luxury goods,consumer discretionary
big yellow group plc,3570000000,united kingdom,reitindustrial,real estate
beazley plc,3450000000,united kingdom,insuranceproperty & casualty,financials
smithson investment trust plc,3430000000,united kingdom,asset management,financials
monks investment trust,3420000000,united kingdom,asset management,financials
inchcape plc,3410000000,united kingdom,auto & truck dealerships,consumer discretionary
jet2 plc,3350000000,united kingdom,travel services,consumer discretionary
osb group plc,3350000000,united kingdom,mortgage finance,financials
greggs plc,3330000000,united kingdom,grocery stores,consumer staples
easyjet plc,3330000000,united kingdom,airlines,industrials
virgin money uk plc,3310000000,united kingdom,banks,financials
londonmetric property plc,3310000000,united kingdom,reitdiversified,real estate
martens plc,3170000000,united kingdom,footwear & accessories,consumer discretionary
quilter plc,3160000000,united kingdom,asset management,financials
games workshop group plc,3140000000,united kingdom,leisure,consumer discretionary
shaftesbury plc,3100000000,united kingdom,reitretail,real estate
ultra electronics holdings plc,3100000000,united kingdom,aerospace & defense,industrials
britvic plc,2930000000,united kingdom,beveragesnon-alcoholic,consumer staples
dunelm group plc,2910000000,united kingdom,specialty retail,consumer discretionary
energean plc,2830000000,united kingdom,oil & gas e&p,energy
worldwide healthcare,2770000000,united kingdom,asset management,financials
fevertree drinks plc,2770000000,united kingdom,beveragesnon-alcoholic,consumer staples
vistry group plc,2760000000,united kingdom,residential construction,consumer discretionary
hays plc,2690000000,united kingdom,staffing & employment services,industrials
grainger plc,2680000000,united kingdom,real estate services,real estate
itm power plc,2640000000,united kingdom,electronic components,technology
primary health properties plc,2610000000,united kingdom,reithealthcare facilities,real estate
witan investment trust plc,2600000000,united kingdom,asset management,financials
caledonia investments plc,2590000000,united kingdom,asset management,financials
pershing square holdings ltd,"(sept. 1, 2018)",united kingdom,asset management,financials
deliveroo plc,2550000000,united kingdom,internet retail,consumer discretionary
cranswick plc,2520000000,united kingdom,packaged foods,consumer staples
great portland estates plc,"(jan. 1, 2022)",united kingdom,reitoffice,real estate
hgcapital trust plc,2480000000,united kingdom,asset management,financials
zimplats holdings limited,2480000000,united kingdom,other precious metals & mining,basic materials
wh smith plc,2480000000,united kingdom,specialty retail,consumer discretionary
finsbury growth & income trust plc,2460000000,united kingdom,asset management,financials
redrow plc,2440000000,united kingdom,residential construction,consumer discretionary
playtech plc,2440000000,united kingdom,gambling,consumer discretionary
close brothers group plc,2430000000,united kingdom,capital markets,financials
pets at home group plc,2370000000,united kingdom,specialty retail,consumer discretionary
ssp group plc,2350000000,united kingdom,restaurants,consumer discretionary
assura plc,2350000000,united kingdom,reithealthcare facilities,real estate
diversey holdings ltd,2350000000,united kingdom,personal services,consumer discretionary
the city of london investment trust plc,2340000000,united kingdom,asset management,financials
serco group plc,2340000000,united kingdom,specialty business services,industrials
manchester united plc,2330000000,united kingdom,leisure,consumer discretionary
domino's pizza group plc,2320000000,united kingdom,restaurants,consumer discretionary
vivo energy plc,2270000000,united kingdom,oil & gas refining & marketing,energy
qinetiq group plc,2270000000,united kingdom,aerospace & defense,industrials
mercantile investment trust the plc,2260000000,united kingdom,asset management,financials
sequoia economic infrastructure inc ord,2240000000,united kingdom,asset management,financials
balfour beatty plc,2240000000,united kingdom,engineering & construction,industrials
kainos group plc,2220000000,united kingdom,softwareapplication,technology
aggreko plc,"(march 13, 2021)",united kingdom,rental & leasing services,industrials
personal assets trust,2180000000,united kingdom,asset management,financials
babcock international group plc,2160000000,united kingdom,engineering & construction,industrials
ashmore group plc,2140000000,united kingdom,asset management,financials
murray international trust plc,2109999999,united kingdom,asset management,financials
pagegroup plc,2109999999,united kingdom,staffing & employment services,industrials
harbourvest global private equity limited,"(march 13, 2021)",united kingdom,asset management,financials
gamesys group plc,"(march 13, 2021)",united kingdom,gambling,consumer discretionary
john laing group plc,"(march 13, 2021)",united kingdom,engineering & construction,industrials
dixons carphone plc,"(march 13, 2021)",united kingdom,specialty retail,consumer discretionary
victrex plc,2060000000,united kingdom,specialty chemicals,basic materials
s4 capital plc,2049999999,united kingdom,advertising agencies,communication services
savills plc,2040000000,united kingdom,real estate services,real estate
asos plc,2029999999,united kingdom,internet retail,consumer discretionary
brewin dolphin holdings plc,2029999999,united kingdom,asset management,financials
calisen plc,"(march 13, 2021)",united kingdom,electrical equipment & parts,industrials
jpmorgan american investment trust plc,1980000000,united kingdom,asset management,financials
burford capital limited,1970000000,united kingdom,asset management,financials
yougov plc,1960000000,united kingdom,advertising agencies,communication services
capital & counties properties plc,1950000000,united kingdom,reitretail,real estate
sanne group plc,1940000000,united kingdom,asset management,financials
secure income reit ord,1940000000,united kingdom,reitdiversified,real estate
national express group plc,1920000000,united kingdom,railroads,industrials
globaldata plc,1900000000,united kingdom,consulting services,industrials
polypipe group plc,"(march 13, 2021)",united kingdom,building products & equipment,industrials
tr property investment trust,1890000000,united kingdom,asset management,financials
countryside properties plc,1870000000,united kingdom,residential construction,consumer discretionary
spirent communications plc,1870000000,united kingdom,softwareinfrastructure,technology
rws holdings plc,1870000000,united kingdom,consulting services,industrials
integrafin holdings plc,1860000000,united kingdom,asset management,financials
mitchells & butlers plc,1850000000,united kingdom,restaurants,consumer discretionary
the bankers investment trust plc,1830000000,united kingdom,asset management,financials
ascential plc,1830000000,united kingdom,advertising agencies,communication services
micro focus international plc,1810000000,united kingdom,softwareinfrastructure,technology
hammerson plc,1790000000,united kingdom,reitretail,real estate
sirius real estate limited,1790000000,united kingdom,real estate services,real estate
marshalls plc,1780000000,united kingdom,building materials,basic materials
jpmorgan emerging markets investment trust plc,1780000000,united kingdom,asset management,financials
ceres power holdings plc,1770000000,united kingdom,electrical equipment & parts,industrials
blackrock world mining trust plc,1770000000,united kingdom,asset management,financials
impax environmental markets trust plc,1740000000,united kingdom,asset management,financials
james halstead plc,"(jan. 1, 2022)",united kingdom,building products & equipment,industrials
hipgnosis songs fund limited,1710000000,united kingdom,asset management,financials
alphawave ip group plc,1710000000,united kingdom,semiconductors,technology
impax asset management group plc,1700000000,united kingdom,asset management,financials
paragon banking group plc,1700000000,united kingdom,mortgage finance,financials
contourglobal plc,1680000000,united kingdom,utilitiesrenewable,utilities
synthomer plc,1680000000,united kingdom,specialty chemicals,basic materials
oxford instruments plc,1670000000,united kingdom,semiconductor equipment & materials,technology
aj bell plc,1660000000,united kingdom,capital markets,financials
gamma communications plc,1660000000,united kingdom,telecom services,communication services
cvs group plc,1650000000,united kingdom,personal services,consumer discretionary
workspace group plc,1650000000,united kingdom,reitoffice,real estate
rsa insurance group plc,1650000000,united kingdom,insuranceproperty & casualty,financials
auction technology group plc,1640000000,united kingdom,softwareapplication,technology
daily mail and general trust plc,"(jan. 1, 2022)",united kingdom,publishing,communication services
blue prism group plc,"(jan. 1, 2022)",united kingdom,softwareinfrastructure,technology
fidelity european values plc,1630000000,united kingdom,asset management,financials
helios towers plc,1610000000,united kingdom,telecom services,communication services
next fifteen communications group plc,1610000000,united kingdom,advertising agencies,communication services
clinigen group plc,1610000000,united kingdom,medical distribution,healthcare
trainline plc,1600000000,united kingdom,travel services,consumer discretionary
aberforth smaller companies trust plc,1600000000,united kingdom,asset management,financials
fdm group holdings plc,1600000000,united kingdom,information technology services,technology
herald investment trust,1590000000,united kingdom,asset management,financials
learning technologies group plc,1590000000,united kingdom,education & training services,consumer staples
bodycote plc,1580000000,united kingdom,specialty industrial machinery,industrials
atrium european real estate ltd,"(jan. 1, 2022)",united kingdom,real estate services,real estate
telecom plus plc,1580000000,united kingdom,utilitiesdiversified,utilities
draper esprit plc,1570000000,united kingdom,asset management,financials
tp icap plc,1570000000,united kingdom,capital markets,financials
hill & smith holdings plc,1550000000,united kingdom,engineering & construction,industrials
bytes technology group plc,1540000000,united kingdom,softwareapplication,technology
talktalk telecom group plc,"(march 13, 2021)",united kingdom,telecom services,communication services
globalworth real estate investments limited,1540000000,united kingdom,real estate services,real estate
rathbone brothers plc,1530000000,united kingdom,asset management,financials
uk commercial property reit limited,1520000000,united kingdom,asset management,financials
bbgi global infrastructure sa,1520000000,united kingdom,asset management,financials
jupiter fund management plc,1500000000,united kingdom,asset management,financials
octopus titan vct plc,"(jan. 1, 2022)",united kingdom,asset management,financials
jtc plc,1490000000,united kingdom,asset management,financials
aston martin lagonda global holdings plc,1490000000,united kingdom,auto manufacturers,consumer discretionary
coats group plc,1460000000,united kingdom,textile manufacturing,consumer discretionary
john wood group plc,1450000000,united kingdom,oil & gas integrated,energy
cairn energy plc,1450000000,united kingdom,oil & gas e&p,energy
clarkson plc,1440000000,united kingdom,marine shipping,industrials
edinburgh investment trust plc,1430000000,united kingdom,asset management,financials
serica energy plc,1430000000,united kingdom,oil & gas e&p,energy
morgan sindall group plc,1430000000,united kingdom,engineering & construction,industrials
avi global trust plc,1420000000,united kingdom,asset management,financials
syncona limited,1420000000,united kingdom,asset management,financials
euromoney institutional investor plc,1410000000,united kingdom,financial data & stock exchanges,financials
redde northgate plc,1400000000,united kingdom,rental & leasing services,industrials
ferroglobe plc,1380000000,united kingdom,other industrial metals & mining,basic materials
