industry,founded,revenue,name,location
drugs & biotechnology,1958,5,edwards lifesciences,"irvine, california"
banking,1946,2,taiwan cooperative financial,"taipei, taiwan"
"food, drink & tobacco",1945,8,constellation brands,"victor, new york"
construction,2004,14,china jinmao,"hong kong, hong kong"
capital goods,1972,6,fanuc,"minamitsuru, japan"
construction,,12,yango group,"shanghai, china"
capital goods,1860,8,legrand,"limoges, france"
drugs & biotechnology,1994,33,shanghai pharmaceuticals,"shanghai, china"
chemicals,1907,15,agc,"tokyo, japan"
construction,,23,shaanxi construction engineering group,"xi'an, china"
materials,1997,25,hunan valin steel,"changsha, china"
construction,1989,1,goodman group,"sydney, australia"
insurance,1892,13,ia financial corporation,"quebec, canada"
insurance,1848,12,unum,"chattanooga, tennessee"
household & personal products,1991,7,anta sports products,"xiamen, china"
oil & gas operations,1967,5,continental resources,"oklahoma city, oklahoma"
insurance,1864,11,baloise group,"basel, switzerland"
technology hardware & equipment,2007,45,pegatron,"taipei, taiwan"
construction,1783,19,jones lang lasalle,"chicago, illinois"
insurance,1959,6,american financial group,"cincinnati, ohio"
diversified financials,1902,5,daiwa securities,"tokyo, japan"
transportation,1953,19,deutsche lufthansa,"cologne, germany"
diversified financials,1935,7,invesco,"atlanta, georgia"
diversified financials,1971,5,nasdaq,"new york, new york"
capital goods,1874,12,schindler holding,"hergiswil, switzerland"
banking,1849,3,comerica,"dallas, texas"
banking,1923,4,mizrahi tefahot bank,"ramat gan, israel"
health care equipment & services,1952,2,bio-rad laboratories,"hercules, california"
chemicals,2003,4,industries qatar,"doha, qatar"
it software & services,1995,5,kakao,"jejusi, south korea"
business services & supplies,1984,7,ashtead group,"london, united kingdom"
banking,1895,12,punjab national bank,"new delhi, india"
technology hardware & equipment,1975,11,delta electronics,"taipei, taiwan"
health care equipment & services,1945,8,alcon,"geneva, switzerland"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1980,42,td synnex,"fremont, california"
materials,1888,7,antofagasta,"london, united kingdom"
construction,1950,13,pultegroup,"atlanta, georgia"
transportation,,8,wan hai lines,"taipei, taiwan"
diversified financials,1998,6,equinix,"redwood city, california"
materials,1939,14,reliance steel,"los angeles, california"
chemicals,1978,14,ptt global chemical,"bangkok, thailand"
banking,1965,2,bankinter,"madrid, spain"
drugs & biotechnology,1944,15,teva pharmaceutical,"tel aviv, israel"
transportation,1905,23,ch robinson,"eden prairie, minnesota"
utilities,1947,5,verbund,"vienna , austria"
banking,1955,3,zions bancorp,"salt lake city, utah"
banking,1996,4,bank of chengdu,"chengdu, china"
diversified financials,,331,3i group,"london, united kingdom"
banking,2006,1,alinma bank,"riyadh, saudi arabia"
food & drink,2018,8,jde peet's,"amsterdam, netherlands"
oil & gas operations,2015,21,cosmo energy holdings,"tokyo, japan"
construction,1996,10,risesun real estate development,"langfang, china"
"food, drink & tobacco",1967,17,uni-president,"tainan, taiwan"
consumer durables,1945,11,mahin& mahindra,"mumbai, india"
telecommunications services,1855,13,telenor,"fornebu, norway"
drugs & biotechnology,1928,6,ucb,"brussels, belgium"
business services & supplies,1930,10,interpublic group,"new york, new york"
chemicals,1969,11,akzo nobel,"amsterdam, netherlands"
chemicals,1918,8,celanese,"irving, texas"
diversified financials,1978,2,avalonbay communities,"arlington, virginia"
business services & supplies,1960,29,randstad nv,"diemen, netherlands"
materials,2002,11,sibanye stillwater,"weltevreden park, south africa"
banking,2003,2,first financial holding,"taipei, taiwan"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1989,6,microchip technology,"chandler, arizona"
technology hardware & equipment,1969,25,flex,"singapore, singapore"
media,1991,11,liberty media corporation series a liberty formula one,"englewood, colorado"
health care equipment & services,1999,6,agilent technologies,"santa clara, california"
consumer durables,1997,11,guangzhou automobile group,"guangzhou, china"
utilities,,14,rosseti,"moscow, russia"
materials,,20,beijing shougang,"beijing, china"
it software & services,1976,9,cgi,"montreal, canada"
diversified financials,2005,6,csc financial,"beijing, china"
conglomerates,1999,42,thyssenkrupp group,"essen, germany"
health care equipment & services,1991,4,shenzhen mindray bio-medical electronics,"shenzhen, china"
technology hardware & equipment,1944,5,hoya,"tokyo, japan"
"food, drink & tobacco",1995,9,tongwei,"chengdu, china"
banking,1977,3,kuwait finance house,"kuwait city, kuwait"
"food, drink & tobacco",1945,17,grupo bimbo,"mexico city, mexico"
consumer durables,1998,13,lkq,"chicago, illinois"
utilities,1951,24,chubu electric power,"nagoya, japan"
retailing,1946,25,lithia motors,"medford, oregon"
conglomerates,1816,11,swire pacific,"hong kong, hong kong"
banking,2011,1,unicaja banco,"malaga, spain"
automotive  automotive and suppliers ,1920,28,mazda motor,"hiroshima, japan"
telecommunications services,1994,18,telecom italia,"rome, italy"
diversified financials,2007,5,china galaxy securities,"beijing, china"
capital goods,1920,5,cnpc capital,"beijing, china"
transportation,1988,15,china southern airlines,"guangzhou, china"
it software & services,1981,5,dassault systemes,"velizy-villacoublay, france"
utilities,1992,23,gd power development,"beijing, china"
business services & supplies,1971,4,paychex,"rochester, new york"
insurance,1871,7,genworth financial,"richmond, virginia"
"food, drink & tobacco",1985,5,monster beverage,"corona, california"
utilities,1993,5,china longyuan power,"beijing, china"
oil & gas operations,1881,10,ovintiv,"denver, colorado"
banking,1967,4,bdo unibank,"makati city, philippines"
retailing,1991,26,autonation,"fort lauderdale, florida"
construction,2007,10,china aoyuan group,"guangzhou, china"
oil & gas operations,1989,7,chesapeake energy,"oklahoma city, oklahoma"
transportation,1961,13,jb hunt transport services,"lowell, arkansas"
banking,1946,3,mediobanca,"milan, italy"
banking,1995,4,credicorp,"lima, peru"
diversified financials,1969,2,realty income,"san diego, california"
conglomerates,1997,10,beijing enterprises,"hong kong, hong kong"
oil & gas operations,1989,3,coterra energy,"houston, texas"
banking,1907,5,siam commercial bank,"bangkok, thailand"
food & drink,1996,4,nongfu spring,"hangzhou, china"
trading companies,1971,36,finatis,"paris, france"
construction,1995,15,greentown china holdings,"hangzhou, china"
insurance,2007,11,meritz financial group,"seoul, south korea"
capital goods,,9,tbea,"changji, china"
capital goods,1903,7,rockwell automation,"milwaukee, wisconsin"
materials,,10,west fraser timber co,"vancouver, canada"
insurance,1996,13,helvetia holding,"st. gallen, switzerland"
consumer durables,1929,11,chow tai fook jewellery,"hong kong, hong kong"
"construction, oil & gas operations, mining and chemicals",1895,7,givaudan,"vernier, switzerland"
materials,2006,5,polyus,"moscow, russia"
retailing,1998,6,lululemon athletica,"sumner, washington"
retailing,1990,11,bath & body works,"columbus, ohio"
technology hardware & equipment,1966,30,jabil circuit,"st. petersburg, florida"
technology hardware & equipment,2003,12,innolux,"miaoli, taiwan"
diversified financials,1996,3,partners group holding,"baar, switzerland"
"food, drink & tobacco",1573,2,luzhou lao jiao,"luzhou, china"
insurance,1855,17,scor,"paris, france"
conglomerates,1955,8,dover,"downers grove, illinois"
banking,1998,1,east west bancorp,"pasadena, california"
retail and wholesale,1869,40,j sainsbury,"london, united kingdom"
construction,1999,9,kaisa group holdings,"shenzhen, china"
diversified financials,1999,11,china huarong asset management,"beijing, china"
technology hardware & equipment,1996,13,au optronics,"hsinchu, taiwan"
retailing,1990,8,ulta beauty,"bolingbrook, illinois"
diversified financials,1968,3,korea investment holdings,"seoul, south korea"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1966,1,itausa,"sao paulo, brazil"
consumer durables,1958,27,baic motor,"beijing, china"
telecommunications services,2008,3,cellnex telecom,"barcelona, spain"
utilities,1981,11,aes,"arlington, virginia"
materials,1992,13,evraz group,"london, united kingdom"
aerospace & defense,1948,16,leonardo,"rome, italy"
materials,1967,8,impala platinum holdings,"northlands, south africa"
chemicals,1976,15,lotte chemical,"seoul, south korea"
"food, drink & tobacco",1995,3,foshan haitian flavouring and food,"foshan, china"
"engineering, manufacturing",1906,15,rolls-royce holdings,"london, united kingdom"
business services & supplies,1966,22,sodexo,"issy-les-moulineaux, france"
media,2001,10,altice usa,"long island city, new york"
banking,1946,4,bank negara indonesia,"jakarta, indonesia"
health care equipment & services,2000,11,davita,"denver, colorado"
diversified financials,2017,16,old mutual,"cape town, south africa"
"hotels, restaurants & leisure",1987,9,yum china holdings,"shanghai, china"
retail and wholesale,1992,25,penske automotive,"bloomfield hills, michigan"
consumer durables,1918,16,yamaha motor,"iwata, japan"
retailing,1982,18,kingfisher,"london, united kingdom"
insurance,1982,13,storebrand,"lysaker, norway"
"hotels, restaurants & leisure",1968,9,darden restaurants,"orlando, florida"
oil & gas operations,1920,7,hess,"new york, new york"
"food, drink & tobacco",1953,30,cj corporation,"seoul, south korea"
retailing,1937,15,falabella,"santiago, chile"
retailing,2010,18,coupang,"seoul, south korea"
construction,2000,1,capitaland investment,"singapore, singapore"
construction,2005,1,fastighets balder,"gothenburg, sweden"
diversified financials,1970,4,welltower,"toledo, ohio"
construction,1840,18,kajima,"tokyo, japan"
materials,1954,13,steel authority of india,"new delhi, india"
travel & leisure,1937,9,caesars entertainment,"las vegas, nevada"
construction,1970,8,new world development,"hong kong, hong kong"
aerospace & defense,1923,12,textron,"providence, rhode island"
construction,1906,14,cemex,"san pedro garza garcia, mexico"
conglomerates,1969,5,hexagon,"stockholm, sweden"
transportation,1945,10,zim integrated shipping services,"haifa, israel"
construction,1953,20,china national chemical,"beijing, china"
trading companies,1967,6,fastenal,"winona, minnesota"
drugs & biotechnology,1995,4,chongqing zhifei biological products,"chongqing, china"
business services & supplies,1962,9,secom,"tokyo, japan"
materials,1997,21,angang steel,"anshan, china"
construction,2001,39,sto express,"shanghai, china"
it software & services,2011,4,zoom video communications,"san jose, california"
materials,1932,11,magnitogorsk iron & steel,"magnitogorsk, russia"
construction,,8,nvr,"reston, virginia"
utilities,1909,5,evergy,"kansas city, missouri"
construction,2013,5,alpha dhabi holding,"abu dhabi, united arab emirates"
"food, drink & tobacco",1907,16,kirin holdings,"tokyo, japan"
banking,1997,5,bank of changsha,"changsha, china"
materials,1938,16,voestalpine,"linz, austria"
drugs & biotechnology,1938,30,china resources pharmaceutical group,"hong kong, hong kong"
it software & services,2014,12,kuaishou technology,"beijing, china"
construction,2005,18,bbmg,"beijing, china"
retailing,1996,28,suningcom,"nanjing, china"
banking,1841,2,national bank of greece,"athens, greece"
oil & gas operations,2005,17,targa resources,"houston, texas"
technology hardware & equipment,1968,7,olympus,"tokyo, japan"
materials,1904,28,umicore,"brussels, belgium"
business services & supplies,1996,8,expedia group,"seattle, washington"
diversified financials,1919,2,hua nan financial,"taipei, taiwan"
"food, drink & tobacco",2002,3,jiangsu yanghe brewery,"suqian, china"
"food, drink & tobacco",1972,8,kerry group,"tralee, ireland"
household & personal products,1882,9,beiersdorf,"hamburg, germany"
"it, internet, software & services",1969,13,leidos,"reston, virginia"
chemicals,1920,10,eastman,"kingsport, tennessee"
utilities,,13,vistra energy,"irving, texas"
utilities,1951,19,tohoku electric power,"sendai, japan"
insurance,1997,6,banca mediolanum,"basiglio, italy"
utilities,1990,12,pge polska grupa energetyczna,"warsaw, poland"
aerospace & defense,2003,4,transdigm group,"cleveland, ohio"
business services & supplies,1996,5,experian,"dublin, ireland"
diversified financials,1999,3,mirae asset financial group,"seoul, south korea"
diversified financials,2011,1,eqt ab,"stockholm, sweden"
oil & gas operations,1984,11,gail india,"new delhi, india"
materials,1999,13,inner mongolia baotou steel,"baotou, china"
oil & gas operations,1982,6,towngas,"hong kong, hong kong"
semiconductors,1999,6,on semiconductor corp,"phoenix, arizona"
utilities,1999,3,terna,"rome, italy"
travel & leisure      ,1972,3,carnival corporation,"miami, florida"
diversified financials,2016,1,vici properties,"new york, new york"
"hotels, restaurants & leisure",1993,7,chipotle mexican grill,"newport beach, california"
business services & supplies,1900,13,toppan printing,"tokyo, japan"
capital goods,2004,19,shanghai electric group,"shanghai, china"
transportation,1933,10,turkish airlines,"istanbul, turkey"
consumer durables,1947,5,ferrari,"maranello, italy"
insurance,1887,9,old republic international,"chicago, illinois"
food markets,1792,24,jeronimo martins,"lisbon, portugal"
health care equipment & services,1927,7,zimmer biomet,"warsaw, indiana"
materials,1888,12,alcoa,"pittsburgh, pennsylvania"
oil & gas operations,1954,4,santos,"adelaide, australia"
capital goods,1928,15,alstom,"saint-ouen-sur-seine, france"
utilities,1951,16,kyushu electric power,"fukuoka, japan"
automotive  automotive and suppliers ,1898,17,goodyear,"akron, ohio"
materials,2001,6,tenaris,"luxembourg, luxembourg"
materials,2002,12,bluescope steel,"melbourne, australia"
chemicals,1998,5,petronas chemicals,"kuala lumpur, malaysia"
drugs & biotechnology,1998,4,illumina,"san diego, california"
it software & services,1986,4,synopsys,"mountain view, california"
utilities,1994,15,datang international power,"beijing, china"
oil & gas operations,2008,17,top frontier investment holdings,"makati, philippines"
chemicals,2004,11,arkema,"colombes, france"
chemicals,1881,9,nippon paint,"osaka, japan"
materials,1905,18,kobe steel,"kobe, japan"
banking,1927,1,bank of greece,"athens, greece"
banking,1997,4,bank of guiyang,"guiyang, china"
capital goods,1972,24,hd hyundai,"daegu, south korea"
transportation and logistics,1516,17,royal mail,"london, united kingdom"
diversified financials,1944,3,lundbergs,"stockholm, sweden"
construction,1994,12,guangzhou r&f,"guangzhou, china"
utilities,1995,10,china gas holdings,"hong kong, hong kong"
"food, drink & tobacco",,2,shanxi xinghuacun fen wine factory,"luliang, china"
health care equipment & services,1985,5,hologic,"marlborough, massachusetts"
banking,1995,2,western alliance bancorp,"phoenix, arizona"
trading companies,1992,87,wuchan zhongda group,"hangzhou, china"
food markets,1947,14,metro,"montreal, canada"
retailing,,30,raizen,"rio de janeiro, brazil"
transportation,1934,5,old dominion freight line,"thomasville, north carolina"
banking,1935,3,israel discount bank,"tel aviv, israel"
banking,1993,5,bangkok bank,"bangkok, thailand"
banking,1948,6,akbank,"istanbul, turkey"
chemicals,1997,13,mitsui chemicals,"tokyo, japan"
construction,2017,11,midea real estate holding,"foshan city, china"
consumer durables,1912,22,sharp,"sakai, japan"
telecommunications services,1989,6,kpn,"rotterdam, netherlands"
retailing,1962,19,kohl's,"menomonee falls, wisconsin"
consumer durables,1996,16,chongqing changan auto,"chongqing, china"
conglomerate,1922,13,canadian tire,"toronto, canada"
insurance,1824,12,vienna insurance group,"vienna, austria"
"food, drink & tobacco",1998,19,new hope liuhe,"chengdu, china"
construction,,13,sichuan road & bridge,"chengdu, china"
business services & supplies,1982,3,copart,"dallas, texas"
retail and wholesale,1948,12,dick's sporting goods,"coraopolis, pennsylvania"
drugs & biotechnology,1970,4,jiangsu hengrui medicine,"lianyungang, china"
health care equipment & services,1979,12,universal health services,"king of prussia, pennsylvania"
banking,1985,3,grupo inbursa,"mexico city, mexico"
banking,1952,3,dongguan rural commercial bank,"dongguan, china"
aerospace & defense,1911,8,dassault aviation,"paris, france"
chemicals,2003,16,yara international,"oslo, norway"
banking,1881,7,banco de sabadell,"alicante, spain"
"food, drink & tobacco",1989,35,olam group,"singapore, singapore"
drugs & biotechnology,2000,3,wuxi apptec,"shanghai, china"
banking,1893,2,popular,"san juan, united states"
utilities,2015,5,hyone,"toronto, canada"
transportation,2006,13,sg holdings,"kyoto, japan"
trading companies,2003,18,sojitz,"tokyo, japan"
technology hardware & equipment,2001,12,goertek,"weifang, china"
telecommunications services,,6,frontier communications parent,"norwalk, connecticut"
construction,,692,samhallsbyggnadsbolaget i norden,"stockholm, sweden"
consumer durables,1905,16,schaeffler,"herzogenaurach, germany"
insurance,1974,11,migdal insurance,"petach tikva, israel"
utilities,1997,15,inter rao,"moscow, russia"
banking,1888,6,nedbank,"sandton, south africa"
construction,1992,4,hopson development holdings,"hong kong, hong kong"
conglomerates,1930,5,ametek,"berwyn, pennsylvania"
chemicals,1958,4,lg,"seoul, south korea"
"construction, oil & gas operations, mining and chemicals",1887,16,skanska,"stockholm, sweden"
materials,2008,15,hbis,"shijiazhuang, china"
banking,2017,5,banco bpm,"milan, italy"
construction,,10,china fortune land development,"beijing, china"
it software & services,2006,7,adyen,"amsterdam, netherlands"
transportation and logistics,2004,16,air france-klm,"paris, france"
"construction, oil & gas operations, mining and chemicals",1947,14,jacobs engineering,"dallas, texas"
utilities,2001,11,china resources power,"hong kong, hong kong"
utilities,1994,5,ppl,"allentown, pennsylvania"
banking,1825,3,aib group,"dublin, ireland"
transportation,1996,2,transurban group,"docklands, australia"
oil & gas operations,2008,3,tourmaline oil,"calgary, canada"
banking,1949,1,arab national bank,"riyadh, saudi arabia"
semiconductors,1995,4,marvell technology,"wilmington, delaware"
semiconductors,2002,5,skyworks solutions,"irvine, california"
technology hardware & equipment,2004,2,arista networks,"santa clara, california"
utilities,1985,1,china three gorges renewables group,"beijing, china"
consumer durables,1982,6,electronic arts,"redwood city, california"
"hotels, restaurants & leisure",1988,8,flutter entertainment,"dublin, ireland"
insurance,1863,7,brighthouse financial,"charlotte, north carolina"
transportation,1974,9,international airlines,"london, united kingdom"
materials,1925,8,boliden,"stockholm, sweden"
chemicals,1946,6,cf industries holdings,"deerfield, illinois"
banking,1966,4,krung thai bank,"bangkok, thailand"
it software & services,2013,26,didi global,"beijing, china"
insurance,1955,13,hyundai marine & fire,"seoul, south korea"
materials,1941,8,csn,"sao paulo, brazil"
oil & gas operations,1954,8,apa,"houston, texas"
materials,,11,ssab ab,"stockholm, sweden"
business services & supplies,1978,8,teleperformance,"paris, france"
"food, drink & tobacco",1869,8,campbell soup,"camden, new jersey"
diversified financials,1956,118,sofina,"brussels, belgium"
trading companies,1854,14,bunzl,"london, united kingdom"
"food, drink & tobacco",2007,23,cj cheiljedang,"seoul, south korea"
food markets,1994,25,magnit,"krasnodar, russia"
construction,1994,15,huadian power international,"beijing, china"
capital goods,,6,nari technology development,"nanjing, china"
oil & gas operations,1887,5,marathon oil,"houston, texas"
diversified financials,1969,7,eurazeo,"paris, france"
oil & gas operations,1885,17,tokyo gas,"tokyo, japan"
banking,1998,7,guangzhou rural commercial bank,"guangzhou, china"
construction,,1,heimstaden ab pref shs,"malmo, sweden"
technology hardware & equipment,2014,5,keysight technologies,"santa rosa, california"
diversified financials,1804,4,schroders,"london, united kingdom"
diversified financials,,47,stonex group,"new york, new york"
materials,1866,20,aurubis,"hamburg, germany"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1989,5,garmin,"schaffhausen, switzerland"
technology hardware & equipment,1984,44,compal electronics,"taipei, taiwan"
chemicals,,17,enn natural gas,"shijiazhuang, china"
insurance,,8,phoenix holdings,"givatayim, israel"
"food, drink & tobacco",1889,6,mccormick,"baltimore, maryland"
banking,1907,6,indian bank,"chennai, india"
health care equipment & services,1983,3,idexx laboratories,"westbrook, maine"
materials,1934,11,smurfit kappa group,"dublin, ireland"
materials,2011,2,xinjiang daqo new energy,"shihezi, china"
banking,1933,7,halkbank,"istanbul, turkey"
business services & supplies,2002,6,waste connections,"woodbridge, canada"
consumer durables,1983,8,swatch group,"biel, switzerland"
materials,2015,6,south32,"perth, australia"
construction,1955,8,china overseas grand oceans group,"hong kong, hong kong"
business services & supplies,1969,11,tokyo century,"tokyo, japan"
diversified financials,1878,1,japan exchange group,"tokyo, japan"
health care equipment & services,1921,6,terumo,"tokyo, japan"
construction,2008,1,leg immobilien ag,"dusseldorf, germany"
drugs & biotechnology,1993,5,sun pharma industries,"mumbai, india"
"food, drink & tobacco",1870,3,brown-forman,"louisville, kentucky"
insurance,1892,10,assurant,"new york, new york"
"food, drink & tobacco",1917,10,ajinomoto,"tokyo, japan"
chemicals,2003,14,indorama ventures,"bangkok, thailand"
diversified financials,2002,2,taishin financial holdings,"taipei, taiwan"
capital goods,1992,10,zoomlion heavy industry,"changsha, china"
capital goods,,13,xcmg construction machinery,"xuzhou, china"
construction,2007,6,powerlong real estate,"shanghai, china"
construction,,8,yuexiu property,"hong kong, hong kong"
health care equipment & services,,7,sonic healthcare,"sydney, australia"
technology hardware & equipment,1992,6,netapp,"san jose, california"
media,1987,5,wolters kluwer,"alphen aan den rijn, netherlands"
oil & gas operations,1999,19,galp energia,"lisbon, portugal"
it software & services,2002,2,nexon,"tokyo, japan"
"hotels, restaurants & leisure",1997,1,royal caribbean group,"miami, florida"
diversified financials,2004,1,extra space storage,"salt lake city, utah"
banking,1997,6,shengjing bank,"shenyang, china"
food markets,1975,29,x5 retail group,"moscow, russia"
it software & services,,3,cadence design,"san jose, california"
banking,1954,7,vakifbank,"istanbul, turkey"
capital goods,1990,11,agco,"duluth, georgia"
materials,1934,15,shanxi taigang stainless,"taiyuan, china"
retailing,1950,7,grupo elektra,"mexico city, mexico"
utilities,1989,6,sdic power holdings,"beijing, china"
diversified financials,1999,8,wuestenrot & wuerttembergische,"stuttgart, germany"
business services & supplies,1998,2,msci,"new york, new york"
banking,1867,4,bper banca,"modena, italy"
construction,1936,17,obayashi,"tokyo, japan"
banking,2011,4,bnk financial group,"busan, south korea"
materials,1949,13,oji holdings,"tokyo, japan"
it software & services,2007,11,spotify technology,"luxembourg, luxembourg"
health care equipment & services,1957,3,coloplast,"humlebaek, denmark"
trading companies,2006,17,brenntag,"essen, germany"
"food, drink & tobacco",1993,10,wens foodstuff group,"yunfu, china"
insurance,,9,first american financial,"santa ana, california"
diversified financials,2014,1,euronext,"amsterdam, netherlands"
banking,2006,1,masraf al rayan,"doha, qatar"
it software & services,1999,7,mercadolibre,"montevideo, uruguay"
materials,1959,7,packaging corp of america,"lake forest, illinois"
materials,1871,15,mitsubishi materials,"tokyo, japan"
diversified financials,,2,wharf real estate investment,hong kong
materials,1967,14,berry global group,"evansville, indiana"
materials,1993,17,maanshan iron & steel,"wanchai, china"
health care equipment & services,1947,5,perkinelmer,"waltham, massachusetts"
diversified financials,2013,3,navient,"wilmington, delaware"
media,1973,7,rtl group,"luxembourg, luxembourg"
food markets,1940,13,kesko,"helsinki, finland"
diversified financials,1982,2,samsung securities,"seoul, south korea"
construction,1997,13,quanta services,"houston, texas"
construction,1993,10,beijing capital development,"beijing, china"
business services & supplies,2008,5,far east horizon,"hong kong, hong kong"
automotive  automotive and suppliers ,1997,18,faurecia,"paris, france"
business services & supplies,1986,2,indian railway finance,"new delhi, india"
telecommunications services,1991,988,liberty broadband,"englewood, colorado"
trading companies,,72,xiamen international trade group,"xiamen, china"
travel & leisure      ,2008,6,airbnb,"san francisco, california"
retailing,,26,china grand automotive services,"shanghai, china"
transportation,1995,10,china eastern airlines,"shanghai, china"
business services & supplies,1996,24,adecco,"zurich, switzerland"
diversified financials,2008,2,agnc investment,"bethesda, maryland"
capital goods,1869,7,westinghouse air brake technologies,"pittsburgh, pennsylvania"
transportation,1919,6,kawasaki kisen kaisha,"tokyo, japan"
food markets,1963,23,empire,"stellarton, canada"
"food, drink & tobacco",1998,14,guangdong haid group,"guangzhou, china"
consumer durables,1921,5,shimano,"sakai, japan"
banking,1911,4,attijariwafa bank,"casablanca, morocco"
business services & supplies,2009,2,chailease holding,"taipei, taiwan"
health care equipment & services,1932,12,henry schein,"melville, new york"
"food, drink & tobacco",1899,11,suntory beverage & food,"tokyo, japan"
conglomerates,1991,3,mettler-toledo international,"columbus, ohio"
diversified financials,1704,8,wendel,"paris, france"
oil & gas operations,1897,13,osaka gas,"osaka, japan"
consumer durables,1980,14,thor industries,"elkhart, indiana"
retail and wholesale,1956,8,williams-sonoma,"san francisco, california"
transportation,,71,xiamen xiangyu,"xiamen, china"
automotive,2009,55,rivian,"irvine, california"
transportation and logistics,2006,12,kion group,"frankfurt am main, germany"
construction,1993,10,sino-ocean group holding,"beijing, china"
chemicals,1892,8,olin,"clayton, missouri"
diversified financials,1973,1,kimco realty,"jericho, new york"
banking,1996,3,bank of chongqing,"chongqing, china"
technology hardware & equipment,2000,3,fortinet,"sunnyvale, california"
household & personal products,1846,5,church & dwight,"ewing, new jersey"

