industry,founded,revenue,name,location
trading companies,1952,48,sumitomo,"tokyo, japan"
construction,1912,29,holcim,"zug, switzerland"
"food, drink & tobacco",1919,21,altria group,"richmond, virginia"
semiconductors,1967,24,applied materials,"santa clara, california"
transportation,,47,daimler truck holding,"leinfelden-echterdingen, germany"
materials,1986,37,zijin mining group,"longyan, china"
banking,1953,8,the saudi national bank,"riyadh, saudi arabia"
"clothing, shoes, sports equipment",1988,19,richemont,"bellevue, switzerland"
"clothing, shoes, sports equipment",1963,20,kering,"paris, france"
utilities,2000,18,saudi electricity,"riyadh, saudi arabia"
"food, soft beverages, alcohol & tobacco",1919,28,da,"paris, france"
materials,1950,57,nippon steel,"tokyo, japan"
chemicals,1947,37,lg chem,"seoul, south korea"
banking and financial services,1985,12,discover financial services,"riverwoods, illinois"
food markets,1980,58,couche tard,"laval, canada"
banking,1992,26,huaxia bank,"beijing, china"
insurance,1845,22,nn group,"the hague, netherlands"
business services & supplies,1938,100,fannie mae,"washington, district of columbia"
health care equipment & services,1912,44,fresenius,"bad homburg, germany"
insurance,1905,20,marsh & mclennan,"new york, new york"
diversified financials,1894,13,ameriprise financial,"minneapolis, minnesota"
health care equipment & services,1897,19,becton dickinson,"franklin lakes, new jersey"
consumer durables,1918,66,panasonic,"osaka, japan"
insurance,2008,41,ms&ad insurance,"tokyo, japan"
business services & supplies,1964,22,orix,"tokyo, japan"
diversified financials,1995,11,citic securities,"shenzhen, china"
banking,1968,8,first abu dhabi bank,"abu dhabi, united arab emirates"
telecommunications services,1970,18,bce,"verdun, canada"
oil & gas operations,1926,23,schlumberger,"sugar land, texas"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1930,18,texas instruments,"dallas, texas"
banking,1895,12,bank rakyat indonesia bri,"jakarta, indonesia"
banking,1969,18,standard chartered,"london, united kingdom"
"construction, oil & gas operations, mining and chemicals",1970,31,crh,"dublin, ireland"
banking,1995,19,bank of beijing,"beijing, china"
media,2019,28,paramount,"norwood, new york"
banking,2007,17,bank of jiangsu,"nanjing, china"
"construction, oil & gas operations, mining and chemicals",2017,16,dupont de nemours,"wilmington, delaware"
consumer durables,1991,27,gree electric appliances,"zhuhai, china"
oil & gas operations,1959,72,indian oil,"new delhi, india"
retailing,1939,34,dollar general,"goodlettsville, tennessee"
"food, soft beverages, alcohol & tobacco",2015,26,kraft heinz company,"chicago, illinois"
"food, drink & tobacco",1991,65,wilmar international,"singapore, singapore"
business services & supplies,1970,62,freddie mac,"mclean, virginia"
"it, internet, software & services",2015,27,hewlett packard enterprise,"spring, texas"
"food, drink & tobacco",1985,21,japan tobacco,"tokyo, japan"
insurance,1925,37,poste italiane,"rome, italy"
banking,1935,8,united overseas bank,"singapore, singapore"
telecommunications services,2000,50,china unicom,"victoria, hong kong"
oil & gas operations,1980,114,valero energy,"san antonio, texas"
transportation,1827,13,csx,"jacksonville, florida"
banking,1871,24,danske bank,"copenhagen, denmark"
materials,2003,20,fortescue metals group,"east perth, australia"
construction,1948,157,china railway construction,"beijing, china"
drugs & biotechnology,2010,18,moderna,"camebridge, massachusetts"
food markets,1924,38,woolworths,"sydney, australia"
construction,1997,26,anhui conch cement,"wuhu city, china"
"it, internet, software & services",1982,16,adobe,"san jose, california"
insurance,1810,22,hartford financial services,"hartford, connecticut"
diversified financials,1792,11,state street,"boston, massachusetts"
banking,1957,6,al rajhi bank,"riyadh, saudi arabia"
