link,name,country,industry,revenue,employees,founded
https://glocalnet.jp/,glocal net,japan,telecoms,24,9,2016
http://www.wafour.com/,wafour corporation,south korea,media,2,11,2017
https://www.bomsen.co.kr/,bomsen,south korea,advertising,2,20,2017
https://www.sbworks.jp/,sbworks,japan,technology,4,18,2016
https://instasafe.com/,instasafe,india,cyber security,1,40,2012
https://crowdbank.jp/,crowd bank,japan,financial services,27,30,2014
https://sunfinance.group/,sun finance,latvia,fintech,"121,306,296",800,2012
https://octopus.energy,octopus energy,uk,energy,"1,376,444,096",595,2015
https://www.instaff.jobs%20,instaff & jobs,germany,support services,5,22,2014
https://www.farmermobil.de/,farmermobil,germany,industrial goods,7,34,2014
http://www.2017ad.co.kr/,ad corp,south korea,chemicals,1,8,2017
https://www.42maru.ai/,42maru,south korea,technology,2,65,2015
https://vyaparapp.in/,vyapar,india,fintech,1,"2,217",2016
https://www.kimura-gumi.jp/,kimura,japan,construction,7,15,2011
https://www.crowdcredit.jp/,crowd credit,japan,fintech,4,70,2013
https://www.shopback.sg/,ecommerce enablers,singapore,ecommerce,28,465,2014
https://www.credimi.com/,credimi,italy,financial services,"11,301,520",56,2015
https://www.sirplus.de/,sirplus,germany,retail,"4,540,000",133,2017
https://www.kickmaker.fr,kickmaker,france,technology,"8,809,760",90,2016
https://www.eskimoz.fr,eskimoz,france,support services,6,60,2010
https://www.holidu.de/,holidu,germany,technology,13,100,2014
https://www.feiniko.de/,feiniko handelsgesellschaft,germany, sales & marketing ,25,6,2014
https://corp.siksinhot.com/,siksin,south korea,technology,2,29,2010
https://www.lawtalk.co.kr/,lawtalk,south korea,law,2,53,2012
https://www.imweb.me/,imweb,south korea,ecommerce,6,40,2010
https://mothergoose.jp/,mothergoose,japan,education,2,108,1994
https://www.classe365.com/,classe365,australia,education,1,19,2013
https://www.aihr.com/,aihr | academy to innovate hr,the netherlands,education,"3,584,553",31,2016
https://www.privitar.com,privitar,uk,technology,"7,004,555",122,2014
https://www.talea-naturkosmetik.de,tantal,germany,ecommerce,11,45,2003
https://gustavo-gusto.de/,franco fresco,germany,food & beverage,15,180,2014
https://www.solbari.com/,solbari,australia,ecommerce,3,16,2013
https://instasafe.com/,instasafe,india,technology,2,40,2012
https://www.bluewireless.com/,blue wireless,singapore,telecoms,4,50,2015
http://www.archisound.co.kr/,archisound,south korea,support services,3,9,2010
http://www.hlj.com.tw/,hlj technology,taiwan,technology,22,270,2001
https://maxkelsen.com/,max kelsen,australia,technology,3,24,2015
https://www.logisticscapitalpartners.com/,logistics capital partners lcp,luxembourg,property,"210,563,743",27,2015
https://suedwest-invest.de/,sudwest invest,germany,property,"5,820,402",10,2017
https://www.amco-shop.com,amco-bulgaria,bulgaria,retail,"6,729,216",15,2011
https://www.buzzoole.com,buzzoole,italy,media,4,65,2013
https://www.frameryacoustics.com,framery,finland,interiors,39,129,2010
https://www.messengerpeople.com/,messengerpeople,germany,technology,6,68,2015
https://footdistrict.com/,foot district,spain,ecommerce,5,18,2012
https://www.jcojewellery.com/,jco jewelry,singapore,ecommerce,6,21,2016
https://torana.co.jp/,torana toysub,japan,education,1,160,2015
https://www.wadiz.kr/,wadiz,south korea,fintech,19,271,2012
http://www.goodmonitoring.com/,goodmonitoring,south korea,support services,1,21,2013
https://redhill.world/,redhill communications,singapore,advertising,3,75,2014
http://www.jejuangeltour.com/,jeju angel car,south korea,travel & leisure,4,25,2013
https://www.plurimmo.com/,corade plurimmo,france,property,"56,018,731",7,2000
https://www.carrancosl.com/,carranco,spain,food & beverage,"4,176,440",5,2006
https://www.eocharging.com,eo charging,uk,technology,"5,327,671",50,2015
https://www.metacrew.de,metacrew group,germany,advertising,14,52,2008
https://www.camptoo.com/,deelit ventures,netherlands,travel & leisure,7,21,2014
https://www.pragmastrategy.com/,pragma,singapore,cyber security,1,18,2016
https://projectcompany.co.jp/,projectcompany,japan,management consulting,10,40,2016
https://www.safegold.com/,safegold,india,financial services,56,42,2017
https://rxmxcorp.com/,rxmx,australia,technology,10,70,2015
https://tutor2you.com.au/,tutor2you,australia,education,1,40,2013
https://www.supplycart.my/,supplycart,malaysia,technology,1,26,2016
https://telemedi.com/pl/,telemedi,poland,health,"4,452,513",50,2014
https://www.inkitt.com/,inkitt,germany,technology,"5,926,970",56,2014
https://fastnedcharging.com,fastned,netherlands,technology,"6,398,000",47,2012
https://www.greenfroggenovate.co.uk,gf genovate,united kingdom,energy,20,43,2014
https://idfinance.com/,id finance investments,spain,fintech,41,399,2015
https://www.getair.eu/,getair,germany,industrial goods,5,,2014
https://www.minfytech.com/,minfy technologies,india,technology,13,250,2010
https://m2pfintech.com/,m2p fintech,india,fintech,5,330,2014
https://www.cardoc.co.kr/,cardoc,south korea,technology,14,67,2014
https://www.northstar.co.jp/,north star management,japan,management consulting,2,9,2016
http://www.agilesoda.ai/,agilesoda,south korea,financial services,3,62,2015
https://www.zaigenkakuho.com/,hope,japan,support services,132,167,2005
https://www.kadamanitrading.it/,hktrading,italy,retail,"5,721,590",2,2016
https://footdistrict.com,foot district,spain,ecommerce,"10,393,000",40,2012
https://www.tenderhut.com,tenderhut,poland,technology,3,200,2010
https://www.pastbook.com/,pastbook,netherlands,ecommerce,9,15,2012
https://www.supermercato24.it/,supermercato24,italy,ecommerce,14,80,2014
http://www.motnt.kr/,ggdp,south korea,advertising,1,14,2017
https://www.excess2sell.com/,excess2sell,india,ecommerce,13,12,2016
https://www.joinreflow.com/,reflow hub,australia,technology,25,10,2017
https://www.ryukyustyle.co.jp/,ryukyu style,japan,advertising,11,9,2014
https://www.zomato.com/,zomato,india,ecommerce,5,,2010
https://www.askattest.com/,attest,uk,technology,"4,864,178",124,2015
https://www.idfinance.com,id finance investments,spain,fintech,"81,424,000",400,2015
https://and.digital,and digital,united kingdom,technology,20,234,2013
